# Reference      Predicted      Error          #atoms         
-31.76897       -31.77912       0.01016         8.00000        
-31.83397       -31.83940       0.00543         8.00000        
-31.76184       -31.76914       0.00730         8.00000        
-31.87444       -31.87272       0.00172         8.00000        
-31.67396       -31.67496       0.00100         8.00000        
-31.01453       -31.00579       0.00874         8.00000        
-31.01113       -31.00185       0.00928         8.00000        
-30.99072       -30.97659       0.01412         8.00000        
-31.02274       -31.00786       0.01488         8.00000        
-31.06654       -31.04490       0.02163         8.00000        
-30.33713       -30.34780       0.01066         8.00000        
-30.33938       -30.34895       0.00957         8.00000        
-30.33929       -30.34706       0.00777         8.00000        
-30.32783       -30.33204       0.00421         8.00000        
-30.30310       -30.30340       0.00030         8.00000        
-29.72703       -29.75310       0.02607         8.00000        
-29.72619       -29.75314       0.02695         8.00000        
-29.74376       -29.77219       0.02843         8.00000        
-29.77205       -29.78068       0.00862         8.00000        
-29.87232       -29.86255       0.00977         8.00000        
-29.35163       -29.26673       0.08489         8.00000        
-29.29712       -29.26712       0.02999         8.00000        
-29.28340       -29.25804       0.02536         8.00000        
-29.29843       -29.28458       0.01384         8.00000        
-29.29674       -29.30852       0.01178         8.00000        
-28.91063       -28.89200       0.01863         8.00000        
-28.89650       -28.87727       0.01923         8.00000        
-28.93212       -28.95902       0.02690         8.00000        
-28.93499       -28.97288       0.03789         8.00000        
-28.91163       -28.93081       0.01918         8.00000        
-31.76897       -31.77912       0.01016         8.00000        
-31.76433       -31.77383       0.00949         8.00000        
-31.77496       -31.78130       0.00634         8.00000        
-31.86366       -31.86317       0.00049         8.00000        
-31.81630       -31.81853       0.00223         8.00000        
-31.01453       -31.00579       0.00874         8.00000        
-31.02083       -31.01084       0.00999         8.00000        
-30.97880       -30.96831       0.01050         8.00000        
-30.96507       -30.95287       0.01220         8.00000        
-30.99662       -30.97464       0.02199         8.00000        
-30.33713       -30.34780       0.01066         8.00000        
-30.33445       -30.34406       0.00961         8.00000        
-30.32642       -30.33458       0.00816         8.00000        
-30.30657       -30.31084       0.00427         8.00000        
-30.23774       -30.23223       0.00550         8.00000        
-29.72703       -29.75310       0.02607         8.00000        
-29.73062       -29.75733       0.02671         8.00000        
-29.73320       -29.76130       0.02809         8.00000        
-29.72967       -29.75093       0.02126         8.00000        
-29.60830       -29.61821       0.00991         8.00000        
-29.35163       -29.26673       0.08489         8.00000        
-29.29392       -29.26310       0.03081         8.00000        
-29.31579       -29.30186       0.01393         8.00000        
-29.28583       -29.26816       0.01768         8.00000        
-29.21940       -29.21768       0.00172         8.00000        
-28.91063       -28.89200       0.01863         8.00000        
-28.91096       -28.92414       0.01319         8.00000        
-28.90938       -28.91271       0.00333         8.00000        
-28.86977       -28.89859       0.02882         8.00000        
-28.90701       -28.95569       0.04868         8.00000        
# MSE = 5.47368E-04
# Maxerror = 8.48935E-02
