# Reference      Predicted      Error          
-0.03844        -0.03453        0.00391        
0.27730         0.27623         0.00107        
-0.03844        -0.03453        0.00391        
0.27730         0.27623         0.00107        
0.03844         0.03453         0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
-0.27730        -0.27623        0.00107        
-0.14246        -0.14117        0.00129        
0.29632         0.29416         0.00216        
-0.03325        -0.03056        0.00269        
0.22457         0.22509         0.00052        
0.08976         0.08707         0.00269        
-0.27418        -0.27283        0.00135        
0.07318         0.07151         0.00167        
-0.23393        -0.23326        0.00067        
0.17130         0.16591         0.00539        
0.11882         0.12654         0.00772        
0.05635         0.05934         0.00299        
0.31473         0.31956         0.00483        
0.04215         0.03575         0.00640        
-0.36129        -0.35822        0.00308        
0.01938         0.01123         0.00815        
-0.36144        -0.36011        0.00133        
0.00535         0.00730         0.00195        
0.37251         0.37675         0.00424        
0.25008         0.26076         0.01068        
0.39563         0.39950         0.00386        
-0.12750        -0.13481        0.00731        
-0.37633        -0.37882        0.00248        
-0.08849        -0.09510        0.00661        
-0.43126        -0.43559        0.00433        
-0.23614        -0.23295        0.00320        
0.03973         0.03813         0.00160        
-0.22517        -0.22315        0.00202        
0.26874         0.26952         0.00078        
0.19808         0.19378         0.00430        
-0.23084        -0.22844        0.00240        
0.23716         0.23515         0.00201        
-0.05157        -0.05205        0.00048        
-0.02207        -0.02386        0.00179        
0.15542         0.14968         0.00573        
-0.02207        -0.02386        0.00179        
0.15542         0.14968         0.00573        
0.02207         0.02386         0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
-0.15542        -0.14968        0.00573        
-0.06631        -0.06853        0.00222        
0.08414         0.07706         0.00707        
-0.07366        -0.07641        0.00275        
0.15452         0.14513         0.00940        
0.13186         0.13501         0.00314        
-0.16304        -0.15134        0.01170        
0.06682         0.07006         0.00324        
-0.13433        -0.13098        0.00335        
-0.04622        -0.04945        0.00323        
0.04331         0.04439         0.00108        
-0.23628        -0.23589        0.00039        
-0.03238        -0.04813        0.01575        
0.20020         0.20181         0.00160        
-0.01574        -0.00865        0.00709        
0.18452         0.18803         0.00351        
-0.09742        -0.09211        0.00531        
0.08153         0.08164         0.00010        
0.19971         0.19871         0.00100        
0.14988         0.14628         0.00360        
0.35890         0.36112         0.00222        
-0.18012        -0.17957        0.00056        
-0.25940        -0.26201        0.00261        
-0.12750        -0.12765        0.00015        
-0.22299        -0.21852        0.00448        
-0.12198        -0.10686        0.01512        
-0.09576        -0.09546        0.00030        
-0.09055        -0.09353        0.00298        
0.07976         0.06988         0.00989        
0.09280         0.09928         0.00648        
0.11005         0.10642         0.00363        
0.40267         0.43022         0.02755        
-0.37699        -0.40994        0.03296        
-0.00697        -0.00642        0.00055        
0.04853         0.04732         0.00121        
-0.00697        -0.00642        0.00055        
0.04853         0.04732         0.00121        
0.00697         0.00642         0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
-0.04853        -0.04732        0.00121        
0.04731         0.04577         0.00154        
0.00894         0.00468         0.00426        
-0.12482        -0.12172        0.00310        
0.07648         0.07621         0.00027        
0.03648         0.03445         0.00203        
-0.07733        -0.07484        0.00249        
0.02755         0.02887         0.00132        
0.00540         0.00659         0.00119        
0.04297         0.04752         0.00455        
0.15944         0.16056         0.00112        
0.15331         0.15045         0.00286        
-0.02809        -0.02562        0.00246        
-0.04787        -0.05082        0.00295        
-0.09138        -0.09234        0.00097        
-0.11333        -0.11496        0.00164        
-0.07506        -0.07478        0.00028        
-0.04215        -0.04668        0.00452        
-0.16097        -0.16503        0.00405        
-0.17123        -0.16304        0.00819        
0.22323         0.21948         0.00376        
0.00424         0.00970         0.00547        
0.12698         0.12313         0.00385        
-0.01720        -0.01432        0.00288        
0.03711         0.03675         0.00036        
0.24864         0.25016         0.00152        
0.17675         0.17710         0.00035        
0.24239         0.24891         0.00653        
0.29394         0.29554         0.00161        
-0.31370        -0.31925        0.00555        
-0.25407        -0.24251        0.01156        
-0.07108        -0.07891        0.00783        
-0.32286        -0.33105        0.00819        
0.00654         0.00459         0.00195        
-0.04557        -0.05254        0.00697        
0.00654         0.00459         0.00195        
-0.04557        -0.05254        0.00697        
-0.00654        -0.00459        0.00195        
0.04557         0.05254         0.00697        
-0.00654        -0.00459        0.00195        
0.04557         0.05254         0.00697        
-0.10733        -0.10950        0.00217        
-0.08842        -0.07649        0.01193        
-0.05124        -0.05278        0.00154        
-0.09048        -0.10819        0.01771        
0.10382         0.10803         0.00421        
0.11360         0.08838         0.02522        
0.00389         0.00686         0.00297        
0.11617         0.14369         0.02753        
0.10298         0.10057         0.00242        
0.02215         0.02463         0.00248        
0.16021         0.15554         0.00467        
-0.06076        -0.08880        0.02805        
-0.13430        -0.13323        0.00107        
0.02693         0.08004         0.05311        
-0.00046        -0.00321        0.00275        
-0.11676        -0.13554        0.01877        
0.07387         0.06759         0.00628        
-0.06670        -0.05601        0.01070        
0.18541         0.17829         0.00712        
-0.22759        -0.23464        0.00705        
0.10290         0.10518         0.00228        
-0.03737        -0.02672        0.01065        
-0.16508        -0.16554        0.00046        
0.13456         0.13184         0.00272        
0.17727         0.17283         0.00444        
-0.46395        -0.44798        0.01597        
-0.22081        -0.23517        0.01436        
-0.17025        -0.12498        0.04528        
0.05186         0.05245         0.00059        
0.39556         0.36029         0.03528        
0.54647         0.54657         0.00010        
-0.31615        -0.32401        0.00786        
0.01826         0.01799         0.00028        
-0.18774        -0.16716        0.02057        
0.01826         0.01799         0.00028        
-0.18774        -0.16716        0.02057        
-0.01826        -0.01799        0.00028        
0.18774         0.16716         0.02057        
-0.01826        -0.01799        0.00028        
0.18774         0.16716         0.02057        
0.05446         0.05442         0.00004        
-0.13701        -0.14192        0.00491        
0.06488         0.06475         0.00013        
-0.24294        -0.18785        0.05510        
-0.06620        -0.06487        0.00133        
0.25697         0.19503         0.06195        
0.02161         0.02101         0.00060        
0.04824         0.05944         0.01120        
-0.13260        -0.13382        0.00122        
-0.23422        -0.24280        0.00858        
-0.18713        -0.18722        0.00009        
-0.14666        -0.10888        0.03778        
0.15869         0.15815         0.00054        
0.02958         0.09225         0.06267        
0.02080         0.02190         0.00110        
