# Reference      Predicted      Error          #atoms         
-73.00294       -74.44039       1.43745         13.00000       
-61.33545       -58.36960       2.96585         10.00000       
-96.40155       -99.40317       3.00163         18.00000       
-61.89408       -62.68064       0.78655         11.00000       
-84.18726       -83.99200       0.19525         15.00000       
-84.62958       -83.99079       0.63880         15.00000       
-74.49237       -74.44050       0.05188         13.00000       
-84.33286       -83.99200       0.34086         15.00000       
-62.54868       -62.68064       0.13196         11.00000       
-56.74893       -58.36960       1.62067         10.00000       
-56.72541       -58.35139       1.62598         10.00000       
-55.29798       -58.25142       2.95344         10.00000       
-55.99074       -58.36960       2.37886         10.00000       
-55.89346       -58.36960       2.47614         10.00000       
-55.54916       -58.36960       2.82044         10.00000       
-55.83686       -58.36960       2.53274         10.00000       
-55.91594       -58.02377       2.10782         10.00000       
-56.21340       -58.36960       2.15620         10.00000       
-56.23141       -58.36960       2.13819         10.00000       
-55.91404       -58.17578       2.26174         10.00000       
-55.54594       -58.10346       2.55751         10.00000       
-56.22497       -58.36604       2.14107         10.00000       
-56.25671       -58.24106       1.98435         10.00000       
-56.32070       -58.27258       1.95188         10.00000       
-56.47396       -57.97492       1.50096         10.00000       
-56.36952       -57.95094       1.58141         10.00000       
-56.24419       -58.36942       2.12523         10.00000       
-56.69793       -58.35113       1.65320         10.00000       
-56.64964       -58.36960       1.71996         10.00000       
-56.22004       -58.36943       2.14939         10.00000       
-56.80335       -58.36960       1.56625         10.00000       
-56.62358       -58.36960       1.74602         10.00000       
-56.45073       -58.36960       1.91887         10.00000       
-56.07020       -57.95576       1.88556         10.00000       
-55.94722       -58.36960       2.42238         10.00000       
-56.19629       -58.36949       2.17321         10.00000       
-56.25920       -57.79019       1.53098         10.00000       
-56.33993       -58.29463       1.95471         10.00000       
-56.89052       -58.36960       1.47907         10.00000       
-56.47883       -58.27279       1.79396         10.00000       
-56.66164       -58.36960       1.70796         10.00000       
-56.39073       -58.29220       1.90147         10.00000       
-55.97855       -58.20316       2.22461         10.00000       
-56.44165       -58.31030       1.86865         10.00000       
-56.19369       -58.35678       2.16308         10.00000       
-56.16665       -58.29976       2.13311         10.00000       
-55.84648       -55.58792       0.25856         10.00000       
-55.87238       -55.58468       0.28770         10.00000       
-55.95191       -58.36960       2.41769         10.00000       
-56.56834       -58.35349       1.78515         10.00000       
-56.23583       -58.32267       2.08684         10.00000       
-56.51816       -58.34786       1.82970         10.00000       
-56.05991       -58.36124       2.30133         10.00000       
-56.14983       -58.32163       2.17180         10.00000       
-56.05316       -58.31228       2.25912         10.00000       
-56.48731       -58.36960       1.88229         10.00000       
-56.52521       -58.36945       1.84425         10.00000       
-56.22117       -58.35906       2.13789         10.00000       
-56.72487       -58.35636       1.63149         10.00000       
-57.73358       -58.31874       0.58515         10.00000       
-56.12151       -58.36960       2.24809         10.00000       
-56.34945       -58.36960       2.02015         10.00000       
-57.66314       -58.34506       0.68191         10.00000       
-58.27705       -58.36960       0.09255         10.00000       
-58.01230       -58.36960       0.35730         10.00000       
-57.35017       -58.14299       0.79282         10.00000       
-57.18413       -58.36960       1.18547         10.00000       
-57.38840       -58.25709       0.86868         10.00000       
-57.95656       -58.17847       0.22191         10.00000       
-57.25876       -58.36960       1.11084         10.00000       
-57.28444       -58.36960       1.08516         10.00000       
-58.60777       -58.29980       0.30798         10.00000       
-57.28012       -58.36960       1.08948         10.00000       
-57.46789       -58.36935       0.90146         10.00000       
-58.47247       -58.15849       0.31398         10.00000       
-58.19678       -58.36960       0.17282         10.00000       
-57.46971       -58.36960       0.89989         10.00000       
-56.93564       -58.36960       1.43396         10.00000       
-56.65533       -58.36960       1.71427         10.00000       
-56.83313       -58.36960       1.53647         10.00000       
-56.59322       -58.36960       1.77638         10.00000       
-56.85348       -58.36960       1.51612         10.00000       
-57.03732       -58.36960       1.33228         10.00000       
-57.09669       -58.36960       1.27291         10.00000       
-57.42511       -58.36960       0.94449         10.00000       
-57.61181       -58.35111       0.73930         10.00000       
-57.83009       -58.34040       0.51031         10.00000       
-57.81907       -58.31042       0.49135         10.00000       
-58.39923       -58.34867       0.05056         10.00000       
-57.98000       -57.66247       0.31754         10.00000       
-57.18513       -57.30104       0.11591         10.00000       
-57.31213       -58.35234       1.04021         10.00000       
-57.07887       -57.37345       0.29458         10.00000       
-57.34488       -57.58717       0.24229         10.00000       
-57.88559       -58.36960       0.48401         10.00000       
-57.25135       -58.36960       1.11825         10.00000       
-56.57969       -58.36960       1.78991         10.00000       
-57.44678       -58.36960       0.92282         10.00000       
-57.85365       -58.36960       0.51595         10.00000       
-57.71983       -58.36189       0.64206         10.00000       
-57.32975       -57.00137       0.32837         10.00000       
-57.23028       -58.36759       1.13732         10.00000       
-57.62148       -58.36960       0.74812         10.00000       
-57.06732       -58.36960       1.30228         10.00000       
-58.32299       -58.36960       0.04661         10.00000       
-56.64210       -58.36960       1.72750         10.00000       
-57.09199       -58.36945       1.27746         10.00000       
-57.49399       -58.12627       0.63228         10.00000       
-57.06815       -58.03106       0.96291         10.00000       
-57.52939       -58.36960       0.84021         10.00000       
-57.89857       -58.36960       0.47103         10.00000       
-56.72434       -58.36960       1.64526         10.00000       
-57.67016       -58.36960       0.69944         10.00000       
-56.86144       -58.36960       1.50816         10.00000       
-58.37298       -58.36960       0.00338         10.00000       
-57.71791       -58.36960       0.65169         10.00000       
-57.87565       -58.36960       0.49395         10.00000       
-57.58181       -58.36960       0.78779         10.00000       
-57.61545       -58.27664       0.66119         10.00000       
-56.79886       -58.36960       1.57074         10.00000       
-57.35761       -58.34594       0.98834         10.00000       
-56.85781       -58.36960       1.51178         10.00000       
-58.62663       -58.36960       0.25703         10.00000       
-58.16930       -58.36960       0.20030         10.00000       
-59.46575       -58.36960       1.09615         10.00000       
-58.25967       -58.36943       0.10976         10.00000       
-58.79510       -58.36960       0.42550         10.00000       
-59.10290       -58.36960       0.73330         10.00000       
-58.19211       -58.36955       0.17744         10.00000       
-59.14874       -58.36960       0.77914         10.00000       
-58.89916       -58.36960       0.52956         10.00000       
-59.07819       -58.36783       0.71037         10.00000       
-58.86381       -58.36960       0.49421         10.00000       
-50.70294       -58.36960       7.66666         10.00000       
-58.73617       -58.36960       0.36657         10.00000       
-59.89390       -58.36960       1.52430         10.00000       
-59.48138       -58.36960       1.11178         10.00000       
-59.09059       -58.36960       0.72099         10.00000       
-52.01038       -58.36960       6.35922         10.00000       
-59.17605       -58.36246       0.81359         10.00000       
-51.91158       -58.36960       6.45801         10.00000       
-59.16970       -58.32266       0.84704         10.00000       
-58.30471       -58.26848       0.03623         10.00000       
-51.11144       -58.36960       7.25816         10.00000       
-59.37946       -58.36960       1.00986         10.00000       
-58.73992       -58.36960       0.37032         10.00000       
-58.73427       -58.36960       0.36467         10.00000       
-47.85008       -58.36960       10.51952        10.00000       
-50.72022       -58.36960       7.64938         10.00000       
-48.14256       -58.36960       10.22704        10.00000       
-48.35408       -58.36960       10.01552        10.00000       
-46.78182       -58.36960       11.58778        10.00000       
-50.85808       -58.36701       7.50893         10.00000       
-46.78858       -58.36960       11.58102        10.00000       
-50.83637       -58.36960       7.53323         10.00000       
-51.33686       -58.36960       7.03274         10.00000       
-50.89580       -58.36926       7.47346         10.00000       
-49.05910       -58.36960       9.31050         10.00000       
-51.34615       -58.36960       7.02345         10.00000       
-47.30996       -58.36409       11.05413        10.00000       
-46.96893       -58.36960       11.40067        10.00000       
-50.36092       -58.36960       8.00868         10.00000       
-49.83833       -58.36960       8.53127         10.00000       
-47.71672       -58.36960       10.65288        10.00000       
-47.53974       -58.36960       10.82986        10.00000       
-47.64640       -58.36960       10.72320        10.00000       
-50.55074       -58.36960       7.81886         10.00000       
-50.11478       -58.36960       8.25482         10.00000       
-51.10501       -58.36960       7.26459         10.00000       
-58.97839       -58.36960       0.60879         10.00000       
-50.32616       -58.35550       8.02935         10.00000       
-50.17990       -58.36950       8.18960         10.00000       
-50.82598       -58.36084       7.53486         10.00000       
-50.72446       -58.36960       7.64514         10.00000       
-50.20433       -58.36833       8.16400         10.00000       
-49.80947       -58.36960       8.56013         10.00000       
-49.25621       -58.36960       9.11339         10.00000       
-47.79597       -58.36960       10.57363        10.00000       
-50.93845       -58.36960       7.43114         10.00000       
-49.52855       -58.36960       8.84105         10.00000       
-48.57851       -58.36960       9.79109         10.00000       
-50.96585       -58.36960       7.40375         10.00000       
-48.75323       -58.36960       9.61637         10.00000       
-51.15768       -58.36960       7.21192         10.00000       
-49.64146       -58.36960       8.72814         10.00000       
-50.71342       -58.36960       7.65618         10.00000       
-47.86548       -58.36960       10.50412        10.00000       
-50.65416       -58.36960       7.71544         10.00000       
-50.80659       -58.36960       7.56301         10.00000       
-50.90478       -58.36960       7.46482         10.00000       
