# Reference      Predicted      Error          #atoms         
-1529.90762     -1529.90762     0.00000         360.00000      
-1531.13626     -1531.13629     0.00002         360.00000      
-1531.15535     -1531.15533     0.00002         360.00000      
-1531.52778     -1531.52778     0.00000         360.00000      
-1537.55480     -1537.55480     0.00000         360.00000      
-1537.44479     -1537.44479     0.00000         360.00000      
-1533.41835     -1533.41835     0.00000         360.00000      
-1538.40910     -1538.40910     0.00000         360.00000      
-1538.25053     -1538.25053     0.00000         360.00000      
-1529.59696     -1529.59696     0.00000         360.00000      
-1525.62682     -1525.62682     0.00000         360.00000      
-1530.69375     -1530.69375     0.00000         360.00000      
-1530.79686     -1530.79686     0.00000         360.00000      
-1537.56037     -1537.56037     0.00000         360.00000      
-1533.25725     -1533.25725     0.00000         360.00000      
-1527.55831     -1527.55831     0.00000         360.00000      
-1534.25692     -1534.25692     0.00000         360.00000      
-1533.84957     -1533.84957     0.00000         360.00000      
# MSE = 4.77486E-11
# Maxerror = 2.19192E-05
