# Reference      Predicted      Error          #atoms         
2442.52133      2442.30349      0.21784         960.00000      
2436.25485      2436.39236      0.13751         960.00000      
2518.05777      2518.16258      0.10481         960.00000      
2615.13434      2615.23329      0.09895         960.00000      
2528.99101      2529.15145      0.16044         960.00000      
1408.10318      1408.10694      0.00376         960.00000      
1431.54773      1431.54377      0.00396         960.00000      
1462.01417      1462.09067      0.07649         960.00000      
1481.64260      1481.69147      0.04887         960.00000      
1562.56466      1562.63938      0.07472         960.00000      
1059.50197      1059.52257      0.02060         960.00000      
1065.44724      1065.45439      0.00715         960.00000      
1086.62937      1086.62649      0.00288         960.00000      
1133.06582      1133.01659      0.04923         960.00000      
1185.78059      1185.81083      0.03025         960.00000      
932.75015       932.82239       0.07224         960.00000      
943.37655       943.35170       0.02485         960.00000      
956.78014       956.70395       0.07619         960.00000      
1006.68884      1006.73429      0.04545         960.00000      
1037.33950      1037.29625      0.04325         960.00000      
879.69823       879.74747       0.04924         960.00000      
885.57236       885.52922       0.04314         960.00000      
905.08736       905.08781       0.00045         960.00000      
927.96628       927.94064       0.02564         960.00000      
984.79544       984.82550       0.03006         960.00000      
855.23187       855.29082       0.05895         960.00000      
862.90835       862.86020       0.04815         960.00000      
875.21035       875.17475       0.03560         960.00000      
919.24134       919.24488       0.00354         960.00000      
953.09174       953.07077       0.02098         960.00000      
2442.52133      2442.30349      0.21784         960.00000      
2459.06058      2459.36664      0.30606         960.00000      
2590.22863      2590.47584      0.24720         960.00000      
2688.87576      2688.88554      0.00978         960.00000      
2667.78772      2667.95678      0.16906         960.00000      
1408.10318      1408.10694      0.00376         960.00000      
1406.22503      1406.16626      0.05877         960.00000      
1454.00019      1453.84718      0.15301         960.00000      
1516.10201      1516.11984      0.01783         960.00000      
1598.79710      1598.74039      0.05671         960.00000      
1059.50197      1059.52257      0.02060         960.00000      
1067.81779      1067.76014      0.05764         960.00000      
1091.52115      1091.53441      0.01326         960.00000      
1142.82204      1142.76260      0.05944         960.00000      
1177.14200      1177.14831      0.00631         960.00000      
932.75015       932.82239       0.07224         960.00000      
939.85145       939.80611       0.04534         960.00000      
954.46755       954.45622       0.01133         960.00000      
982.43006       982.36932       0.06074         960.00000      
1046.66771      1046.69959      0.03187         960.00000      
879.69823       879.74747       0.04924         960.00000      
888.05977       887.99454       0.06523         960.00000      
903.80493       903.85418       0.04925         960.00000      
934.46395       934.39582       0.06813         960.00000      
996.01162       996.06522       0.05360         960.00000      
855.23187       855.29082       0.05895         960.00000      
864.23072       864.17959       0.05113         960.00000      
873.17752       873.08740       0.09012         960.00000      
903.11732       903.16560       0.04828         960.00000      
945.66946       945.66628       0.00318         960.00000      
2442.52133      2442.30349      0.21784         960.00000      
2449.79218      2450.08180      0.28962         960.00000      
2473.10523      2473.01335      0.09188         960.00000      
2518.54313      2518.70720      0.16408         960.00000      
2745.98656      2745.98649      0.00006         960.00000      
1408.10318      1408.10694      0.00376         960.00000      
1420.36268      1420.25622      0.10645         960.00000      
1446.38383      1446.40961      0.02578         960.00000      
1508.95147      1508.76089      0.19058         960.00000      
1583.49524      1583.61805      0.12281         960.00000      
1059.50197      1059.52257      0.02060         960.00000      
1069.15433      1069.14290      0.01144         960.00000      
1085.04682      1085.10473      0.05790         960.00000      
1127.95905      1128.05985      0.10080         960.00000      
1181.60831      1181.54374      0.06457         960.00000      
932.75015       932.82239       0.07224         960.00000      
940.12092       940.04182       0.07910         960.00000      
958.35850       958.32264       0.03585         960.00000      
982.19057       982.14869       0.04189         960.00000      
1045.42294      1045.40648      0.01646         960.00000      
879.69823       879.74747       0.04924         960.00000      
885.37131       885.30574       0.06557         960.00000      
905.43027       905.46988       0.03962         960.00000      
936.44880       936.46609       0.01729         960.00000      
984.48138       984.48996       0.00858         960.00000      
855.23187       855.29082       0.05895         960.00000      
861.13885       861.06208       0.07678         960.00000      
880.19470       880.14901       0.04569         960.00000      
914.18808       914.20332       0.01524         960.00000      
971.73017       971.74136       0.01119         960.00000      
2442.52133      2442.30349      0.21784         960.00000      
2447.21691      2447.30793      0.09102         960.00000      
2531.41704      2530.97728      0.43976         960.00000      
2585.97085      2585.60136      0.36948         960.00000      
2732.83945      2732.71173      0.12773         960.00000      
1408.10318      1408.10694      0.00376         960.00000      
1426.23337      1426.20061      0.03276         960.00000      
1457.52231      1457.47940      0.04291         960.00000      
1474.62352      1474.78830      0.16478         960.00000      
1595.04165      1595.10460      0.06295         960.00000      
1059.50197      1059.52257      0.02060         960.00000      
1067.53374      1067.55027      0.01653         960.00000      
1094.90848      1094.97254      0.06405         960.00000      
1125.21873      1125.18608      0.03266         960.00000      
1180.58044      1180.57845      0.00199         960.00000      
932.75015       932.82239       0.07224         960.00000      
937.27264       937.23238       0.04026         960.00000      
960.72075       960.69296       0.02779         960.00000      
994.34797       994.28681       0.06116         960.00000      
