# Reference      Predicted      Error          #atoms         
12546.36076     12546.36076     0.00000         960.00000      
12808.91030     12808.91030     0.00000         960.00000      
12802.78967     12802.78967     0.00000         960.00000      
12881.92028     12881.92028     0.00000         960.00000      
14161.76367     14161.76367     0.00000         960.00000      
7296.98921      7296.98921      0.00000         960.00000      
7373.40380      7373.40380      0.00000         960.00000      
7581.66652      7581.66652      0.00000         960.00000      
7894.17134      7894.17134      0.00000         960.00000      
8187.72400      8187.72400      0.00000         960.00000      
5395.98572      5395.98572      0.00000         960.00000      
5436.51305      5436.51305      0.00000         960.00000      
5556.07526      5556.07526      0.00000         960.00000      
5812.02711      5812.02711      0.00000         960.00000      
6115.88270      6115.88270      0.00000         960.00000      
4636.16921      4636.16921      0.00000         960.00000      
4663.37407      4663.37407      0.00000         960.00000      
4793.85710      4793.85710      0.00000         960.00000      
4967.35142      4967.35142      0.00000         960.00000      
5212.87796      5212.87796      0.00000         960.00000      
4289.75522      4289.75522      0.00000         960.00000      
4334.64601      4334.64601      0.00000         960.00000      
4431.46891      4431.46891      0.00000         960.00000      
4591.52280      4591.52280      0.00000         960.00000      
4864.21570      4864.21570      0.00000         960.00000      
4126.12294      4126.12294      0.00000         960.00000      
4164.79723      4164.79723      0.00000         960.00000      
4289.27586      4289.27586      0.00000         960.00000      
4431.27214      4431.27214      0.00000         960.00000      
4613.17005      4613.17005      0.00000         960.00000      
12546.36076     12546.36076     0.00000         960.00000      
12405.54283     12405.54283     0.00000         960.00000      
12596.61591     12596.61591     0.00000         960.00000      
13932.80432     13932.80432     0.00000         960.00000      
13080.88849     13080.88849     0.00000         960.00000      
7296.98921      7296.98921      0.00000         960.00000      
7331.56378      7331.56378      0.00000         960.00000      
7454.33365      7454.33365      0.00000         960.00000      
7842.88695      7842.88695      0.00000         960.00000      
8230.55103      8230.55103      0.00000         960.00000      
5395.98572      5395.98572      0.00000         960.00000      
5434.67985      5434.67985      0.00000         960.00000      
5559.51454      5559.51454      0.00000         960.00000      
5792.06637      5792.06637      0.00000         960.00000      
6087.62121      6087.62121      0.00000         960.00000      
4636.16921      4636.16921      0.00000         960.00000      
4671.56385      4671.56385      0.00000         960.00000      
4793.37766      4793.37766      0.00000         960.00000      
4999.03719      4999.03719      0.00000         960.00000      
5314.37182      5314.37182      0.00000         960.00000      
4289.75522      4289.75522      0.00000         960.00000      
4325.88745      4325.88745      0.00000         960.00000      
4406.47394      4406.47394      0.00000         960.00000      
4628.41475      4628.41475      0.00000         960.00000      
4870.22745      4870.22745      0.00000         960.00000      
4126.12294      4126.12294      0.00000         960.00000      
4153.60457      4153.60457      0.00000         960.00000      
4289.33125      4289.33125      0.00000         960.00000      
4383.08888      4383.08888      0.00000         960.00000      
4678.45352      4678.45352      0.00000         960.00000      
12546.36076     12546.36076     0.00000         960.00000      
12716.17334     12716.17334     0.00000         960.00000      
12473.35792     12473.35792     0.00000         960.00000      
13260.74492     13260.74492     0.00000         960.00000      
13841.58481     13841.58481     0.00000         960.00000      
7296.98921      7296.98921      0.00000         960.00000      
7330.66782      7330.66782      0.00000         960.00000      
7575.17317      7575.17317      0.00000         960.00000      
7758.81389      7758.81389      0.00000         960.00000      
7937.49874      7937.49874      0.00000         960.00000      
5395.98572      5395.98572      0.00000         960.00000      
5443.42031      5443.42031      0.00000         960.00000      
5582.31726      5582.31726      0.00000         960.00000      
5771.62633      5771.62633      0.00000         960.00000      
5934.35860      5934.35860      0.00000         960.00000      
4636.16921      4636.16921      0.00000         960.00000      
4667.75670      4667.75670      0.00000         960.00000      
4790.07442      4790.07442      0.00000         960.00000      
4972.53346      4972.53346      0.00000         960.00000      
5258.18757      5258.18757      0.00000         960.00000      
4289.75522      4289.75522      0.00000         960.00000      
4325.07632      4325.07632      0.00000         960.00000      
4425.57596      4425.57596      0.00000         960.00000      
4607.10259      4607.10259      0.00000         960.00000      
4833.38318      4833.38318      0.00000         960.00000      
4126.12294      4126.12294      0.00000         960.00000      
4167.25829      4167.25829      0.00000         960.00000      
4235.95560      4235.95560      0.00000         960.00000      
4436.79197      4436.79197      0.00000         960.00000      
4793.34415      4793.34415      0.00000         960.00000      
# MSE = 5.92131E-15
# Maxerror = 2.12902E-07
