# Reference      Predicted      Error          #atoms         
-194.90633      -195.21480      0.30847         64.00000       
-195.84503      -195.45574      0.38929         64.00000       
-194.17008      -194.26191      0.09183         64.00000       
-194.28434      -194.37193      0.08759         64.00000       
-195.63336      -195.31548      0.31788         64.00000       
-195.69816      -195.25546      0.44270         64.00000       
-195.27205      -195.37711      0.10506         64.00000       
-197.25076      -197.17841      0.07234         64.00000       
-195.39847      -195.25419      0.14428         64.00000       
-194.45658      -194.46249      0.00591         64.00000       
-195.31988      -195.52421      0.20434         64.00000       
-195.85749      -195.71639      0.14109         64.00000       
-194.45204      -194.31761      0.13443         64.00000       
-194.08694      -193.60145      0.48549         64.00000       
-196.41030      -196.32078      0.08952         64.00000       
-194.29812      -194.07610      0.22202         64.00000       
-196.47268      -196.30067      0.17200         64.00000       
-193.16369      -193.18487      0.02119         64.00000       
-196.10320      -196.17513      0.07194         64.00000       
-194.91505      -195.36100      0.44594         64.00000       
-193.89507      -194.06040      0.16532         64.00000       
-195.59165      -195.39657      0.19508         64.00000       
-195.59831      -195.61818      0.01987         64.00000       
-196.31302      -196.04255      0.27047         64.00000       
-194.95242      -195.18156      0.22914         64.00000       
-196.26056      -196.50359      0.24303         64.00000       
-195.71532      -195.55818      0.15714         64.00000       
-195.17204      -195.02180      0.15024         64.00000       
-195.39717      -195.17617      0.22100         64.00000       
-194.43792      -194.21856      0.21936         64.00000       
-194.69453      -194.91668      0.22215         64.00000       
-194.09550      -194.03153      0.06397         64.00000       
-192.34620      -192.47923      0.13303         64.00000       
-195.07975      -195.38086      0.30111         64.00000       
-194.40238      -194.42263      0.02025         64.00000       
-196.46367      -196.18535      0.27833         64.00000       
-194.00148      -194.18773      0.18625         64.00000       
-193.56256      -193.46738      0.09517         64.00000       
-196.23898      -196.09082      0.14816         64.00000       
-192.46195      -192.36924      0.09270         64.00000       
-196.47132      -196.51219      0.04087         64.00000       
-193.96957      -194.24151      0.27194         64.00000       
-195.18417      -195.43885      0.25468         64.00000       
-193.27204      -193.11625      0.15578         64.00000       
-194.58768      -194.53280      0.05488         64.00000       
-195.10432      -195.07905      0.02527         64.00000       
-195.36321      -195.46356      0.10034         64.00000       
-191.33387      -192.11850      0.78463         64.00000       
-195.01709      -195.01674      0.00035         64.00000       
-194.90391      -194.87756      0.02635         64.00000       
-196.22916      -196.43552      0.20637         64.00000       
-195.41449      -195.33727      0.07722         64.00000       
-194.58448      -194.42097      0.16351         64.00000       
-193.54434      -193.24732      0.29702         64.00000       
-195.38058      -195.20610      0.17448         64.00000       
-195.46636      -195.31019      0.15617         64.00000       
-194.73748      -194.98344      0.24596         64.00000       
-195.76964      -195.83696      0.06732         64.00000       
-194.67456      -194.83271      0.15815         64.00000       
-194.03270      -193.47397      0.55873         64.00000       
-193.09822      -193.29697      0.19875         64.00000       
-195.40237      -195.25371      0.14865         64.00000       
-195.07180      -195.07976      0.00797         64.00000       
-195.72111      -195.76723      0.04612         64.00000       
-196.18896      -196.34445      0.15549         64.00000       
-196.93628      -197.05485      0.11857         64.00000       
-196.03346      -195.66252      0.37093         64.00000       
-195.43052      -195.60541      0.17489         64.00000       
-196.34934      -196.36952      0.02018         64.00000       
-196.30210      -196.21269      0.08941         64.00000       
-195.47063      -195.57032      0.09969         64.00000       
-197.19290      -196.91831      0.27459         64.00000       
-196.11230      -195.94391      0.16839         64.00000       
-195.19530      -195.09353      0.10176         64.00000       
-194.25412      -194.33698      0.08286         64.00000       
-195.34339      -195.30421      0.03919         64.00000       
-195.63346      -195.54228      0.09118         64.00000       
-195.50443      -195.19380      0.31063         64.00000       
-194.20969      -194.76815      0.55846         64.00000       
-195.75824      -195.39576      0.36249         64.00000       
-196.74686      -196.52025      0.22661         64.00000       
-195.99040      -196.10890      0.11850         64.00000       
-195.31642      -195.11084      0.20557         64.00000       
-193.49802      -193.46863      0.02938         64.00000       
-197.48804      -197.49248      0.00443         64.00000       
-197.95519      -197.45655      0.49864         64.00000       
-194.51269      -194.45686      0.05583         64.00000       
-197.43749      -197.64563      0.20814         64.00000       
-195.36078      -195.28074      0.08003         64.00000       
-193.28009      -193.32640      0.04631         64.00000       
-196.72126      -196.56695      0.15432         64.00000       
-193.54712      -193.67168      0.12456         64.00000       
-194.36610      -194.48771      0.12161         64.00000       
-193.74800      -194.04905      0.30105         64.00000       
-196.72348      -196.94907      0.22560         64.00000       
-193.62707      -194.02549      0.39842         64.00000       
-194.50606      -194.17033      0.33573         64.00000       
-196.75234      -197.01050      0.25816         64.00000       
-194.56896      -194.62550      0.05654         64.00000       
-196.25255      -196.22650      0.02605         64.00000       
-195.10992      -195.31185      0.20193         64.00000       
-194.97407      -194.87000      0.10407         64.00000       
-194.37291      -194.84315      0.47025         64.00000       
-195.28795      -195.34337      0.05543         64.00000       
-195.21035      -194.99413      0.21623         64.00000       
-196.54553      -196.68672      0.14119         64.00000       
-194.49019      -194.51546      0.02527         64.00000       
-193.39106      -193.39825      0.00719         64.00000       
-195.10365      -195.36360      0.25995         64.00000       
-196.65821      -196.55740      0.10081         64.00000       
-195.46469      -195.43516      0.02953         64.00000       
-194.64520      -195.02199      0.37679         64.00000       
-194.64892      -194.94535      0.29643         64.00000       
-198.47920      -198.61369      0.13448         64.00000       
-194.55172      -194.06266      0.48907         64.00000       
-196.00472      -196.33616      0.33144         64.00000       
-196.40171      -196.36748      0.03422         64.00000       
-196.24235      -195.98666      0.25569         64.00000       
-195.27140      -195.31122      0.03981         64.00000       
-194.70728      -194.82143      0.11415         64.00000       
-196.58168      -196.98263      0.40096         64.00000       
-197.12188      -196.87167      0.25021         64.00000       
-194.16407      -194.18225      0.01818         64.00000       
-194.34151      -194.53274      0.19123         64.00000       
-194.68988      -194.76926      0.07938         64.00000       
-194.68901      -194.66284      0.02617         64.00000       
-194.67293      -194.78611      0.11317         64.00000       
-194.94235      -194.95901      0.01666         64.00000       
-194.97423      -194.87749      0.09673         64.00000       
-197.13229      -197.03112      0.10117         64.00000       
-196.82068      -196.43404      0.38663         64.00000       
-196.24584      -196.01038      0.23546         64.00000       
-195.96976      -195.60351      0.36625         64.00000       
-194.70031      -195.11396      0.41365         64.00000       
-194.99341      -195.12525      0.13184         64.00000       
-196.77758      -196.40961      0.36798         64.00000       
-194.08236      -194.11461      0.03225         64.00000       
-194.29863      -194.74375      0.44512         64.00000       
-195.77020      -195.90695      0.13675         64.00000       
-195.14824      -195.48426      0.33602         64.00000       
-195.13995      -195.21436      0.07441         64.00000       
-193.68472      -193.38821      0.29650         64.00000       
-196.22341      -196.34525      0.12184         64.00000       
-197.21659      -197.09854      0.11804         64.00000       
-192.88404      -193.02562      0.14158         64.00000       
-195.76302      -195.91591      0.15289         64.00000       
-193.48329      -193.91582      0.43254         64.00000       
-196.59108      -196.48307      0.10801         64.00000       
-195.83079      -195.99309      0.16230         64.00000       
-197.21964      -196.94481      0.27482         64.00000       
-194.89227      -195.00735      0.11507         64.00000       
-194.62218      -194.43027      0.19191         64.00000       
-196.47107      -196.33654      0.13453         64.00000       
-197.37355      -197.29995      0.07360         64.00000       
-194.53626      -194.53018      0.00608         64.00000       
-197.61188      -197.68526      0.07338         64.00000       
-193.26416      -193.07180      0.19237         64.00000       
-194.78586      -194.74114      0.04472         64.00000       
-195.70523      -195.97008      0.26485         64.00000       
-195.89639      -195.78559      0.11080         64.00000       
-197.39050      -197.19177      0.19873         64.00000       
-195.71346      -195.81044      0.09698         64.00000       
-195.31717      -195.28347      0.03369         64.00000       
-197.35114      -197.04435      0.30679         64.00000       
-194.36471      -194.83662      0.47191         64.00000       
-195.77927      -195.79253      0.01326         64.00000       
-194.72305      -194.57651      0.14654         64.00000       
-192.76653      -192.82064      0.05410         64.00000       
-193.61918      -193.68448      0.06530         64.00000       
-195.16453      -194.78448      0.38005         64.00000       
-196.20669      -196.18456      0.02213         64.00000       
-193.63202      -193.69800      0.06597         64.00000       
-193.89658      -194.02026      0.12368         64.00000       
-192.98007      -193.11741      0.13734         64.00000       
-194.41476      -194.63349      0.21873         64.00000       
-195.36624      -195.31399      0.05225         64.00000       
-194.80572      -194.66954      0.13619         64.00000       
-196.40381      -196.29954      0.10427         64.00000       
-195.66689      -195.72408      0.05719         64.00000       
-193.15311      -193.27299      0.11988         64.00000       
-194.41818      -194.62204      0.20387         64.00000       
-196.09670      -196.13772      0.04103         64.00000       
-196.73647      -196.81038      0.07391         64.00000       
-193.47050      -193.28800      0.18250         64.00000       
-195.39163      -195.34534      0.04629         64.00000       
-195.14695      -195.09133      0.05561         64.00000       
-195.09921      -195.12837      0.02915         64.00000       
-195.89789      -195.81055      0.08734         64.00000       
-192.64185      -192.71976      0.07792         64.00000       
-195.06730      -195.08807      0.02077         64.00000       
-197.86909      -197.83704      0.03204         64.00000       
-194.39876      -194.28319      0.11557         64.00000       
-194.78148      -194.66012      0.12136         64.00000       
-196.15513      -196.37550      0.22037         64.00000       
-196.95364      -196.82799      0.12565         64.00000       
-194.77897      -194.49871      0.28026         64.00000       
-196.32303      -196.38519      0.06216         64.00000       
-197.13917      -197.36965      0.23048         64.00000       
-194.71653      -194.77302      0.05649         64.00000       
-194.95534      -194.79837      0.15697         64.00000       
-206.02106      -206.15462      0.13357         64.00000       
-207.45369      -207.28840      0.16529         64.00000       
-205.61307      -205.65542      0.04235         64.00000       
-198.82534      -198.63553      0.18981         64.00000       
-209.77764      -209.83330      0.05566         64.00000       
-208.01876      -207.91638      0.10238         64.00000       
-207.25536      -207.21308      0.04228         64.00000       
-210.35477      -210.28677      0.06800         64.00000       
-206.35299      -206.41800      0.06501         64.00000       
-201.59134      -201.64060      0.04926         64.00000       
-206.26690      -206.24028      0.02662         64.00000       
-204.96302      -205.07681      0.11380         64.00000       
-208.11417      -208.14596      0.03179         64.00000       
-207.34459      -207.34178      0.00281         64.00000       
-205.11285      -205.20094      0.08809         64.00000       
-210.36852      -210.30799      0.06053         64.00000       
-208.63312      -208.58667      0.04644         64.00000       
-197.51237      -197.32385      0.18852         64.00000       
-209.59922      -209.55610      0.04312         64.00000       
-206.63228      -206.73101      0.09873         64.00000       
-206.23133      -206.27724      0.04591         64.00000       
-205.72285      -205.81792      0.09507         64.00000       
-207.38918      -207.37772      0.01147         64.00000       
-200.50072      -200.58740      0.08668         64.00000       
-206.52875      -206.69708      0.16833         64.00000       
-206.63725      -206.73288      0.09564         64.00000       
-204.43214      -204.49034      0.05820         64.00000       
-200.76203      -200.63722      0.12482         64.00000       
-206.98236      -207.08708      0.10472         64.00000       
-202.42511      -202.59664      0.17152         64.00000       
-205.22322      -205.21213      0.01109         64.00000       
-210.63167      -210.54859      0.08308         64.00000       
-204.74845      -204.96124      0.21279         64.00000       
-209.03655      -209.07313      0.03659         64.00000       
-203.52840      -203.41289      0.11551         64.00000       
-209.28117      -209.15051      0.13066         64.00000       
-204.34128      -204.37431      0.03302         64.00000       
-203.80784      -203.91256      0.10472         64.00000       
-206.06066      -206.09405      0.03339         64.00000       
-201.80032      -201.83262      0.03229         64.00000       
-199.74987      -199.59454      0.15533         64.00000       
-207.96084      -207.97629      0.01545         64.00000       
-208.98266      -209.00785      0.02519         64.00000       
-201.46483      -201.48957      0.02474         64.00000       
-201.40482      -201.29451      0.11031         64.00000       
-210.16667      -210.14302      0.02365         64.00000       
-202.17813      -202.21477      0.03664         64.00000       
-206.66829      -206.72662      0.05833         64.00000       
-209.90901      -209.86602      0.04299         64.00000       
-208.02003      -208.03871      0.01868         64.00000       
-205.01849      -204.98230      0.03619         64.00000       
-208.53778      -208.57005      0.03227         64.00000       
-208.19484      -208.14716      0.04768         64.00000       
-207.52792      -207.55014      0.02222         64.00000       
-206.91312      -206.81655      0.09657         64.00000       
-209.61186      -209.59270      0.01916         64.00000       
-208.80419      -208.85104      0.04685         64.00000       
-201.02995      -201.09212      0.06217         64.00000       
-207.89744      -207.91512      0.01768         64.00000       
-198.89380      -198.78631      0.10749         64.00000       
-207.68966      -207.65194      0.03772         64.00000       
-209.59643      -209.64683      0.05040         64.00000       
-203.20438      -203.07936      0.12502         64.00000       
-209.66305      -209.63246      0.03059         64.00000       
-208.55149      -208.45856      0.09292         64.00000       
-208.27531      -208.23908      0.03623         64.00000       
-205.99713      -206.04329      0.04615         64.00000       
-208.32575      -208.34627      0.02052         64.00000       
-207.23223      -207.18101      0.05122         64.00000       
-196.89780      -196.95904      0.06124         64.00000       
-210.39368      -210.28806      0.10562         64.00000       
-197.24657      -197.25052      0.00396         64.00000       
-206.54252      -206.65727      0.11476         64.00000       
-205.50822      -205.49433      0.01388         64.00000       
-206.27446      -206.39257      0.11811         64.00000       
-203.57021      -203.65159      0.08138         64.00000       
-208.03330      -207.99751      0.03578         64.00000       
-201.27515      -201.10083      0.17432         64.00000       
-209.73547      -209.63476      0.10072         64.00000       
-206.50666      -206.45196      0.05469         64.00000       
-209.83202      -209.82891      0.00310         64.00000       
-200.75303      -200.65474      0.09829         64.00000       
-207.08871      -206.95339      0.13532         64.00000       
-206.77606      -206.66081      0.11525         64.00000       
-207.43735      -207.55134      0.11399         64.00000       
-202.51199      -202.28653      0.22546         64.00000       
-203.20828      -203.23108      0.02280         64.00000       
-209.54208      -209.62547      0.08338         64.00000       
-208.02352      -208.06797      0.04445         64.00000       
-209.32113      -209.39124      0.07011         64.00000       
-209.55511      -209.51291      0.04220         64.00000       
-208.13280      -208.21699      0.08419         64.00000       
-207.91443      -208.01424      0.09981         64.00000       
-208.62093      -208.65177      0.03084         64.00000       
-208.19342      -208.06593      0.12749         64.00000       
-206.12547      -206.32816      0.20269         64.00000       
-209.27758      -209.36912      0.09154         64.00000       
-208.48074      -208.53873      0.05798         64.00000       
-203.62512      -203.69388      0.06875         64.00000       
-200.61686      -200.29599      0.32087         64.00000       
-209.76544      -209.75156      0.01388         64.00000       
-208.06259      -208.09789      0.03530         64.00000       
-207.75974      -207.87353      0.11380         64.00000       
-209.39722      -209.40814      0.01093         64.00000       
-201.37010      -201.55286      0.18277         64.00000       
-203.42214      -203.35134      0.07080         64.00000       
-202.09973      -202.10246      0.00274         64.00000       
-201.27617      -201.17034      0.10583         64.00000       
-207.70097      -207.77140      0.07043         64.00000       
-207.15412      -207.09902      0.05510         64.00000       
-206.26232      -206.23484      0.02748         64.00000       
-205.54786      -205.64311      0.09525         64.00000       
-206.36624      -206.38367      0.01743         64.00000       
-205.65832      -205.74711      0.08879         64.00000       
-209.31316      -209.37690      0.06374         64.00000       
-206.99713      -207.08829      0.09116         64.00000       
-209.35059      -209.35165      0.00106         64.00000       
-206.38679      -206.47773      0.09094         64.00000       
-204.95354      -204.98648      0.03293         64.00000       
-204.21059      -204.18815      0.02244         64.00000       
-206.06149      -205.90785      0.15364         64.00000       
-209.56706      -209.48861      0.07845         64.00000       
-201.98806      -202.04858      0.06052         64.00000       
-197.55883      -197.43554      0.12329         64.00000       
-204.29647      -204.43074      0.13428         64.00000       
-205.67252      -205.77922      0.10670         64.00000       
-206.34358      -206.44029      0.09671         64.00000       
-208.17399      -208.29703      0.12304         64.00000       
-201.96601      -202.11623      0.15022         64.00000       
-206.62440      -206.73973      0.11533         64.00000       
-209.48050      -209.40499      0.07550         64.00000       
-205.06687      -205.05805      0.00882         64.00000       
-204.71632      -204.73273      0.01641         64.00000       
-202.98250      -202.80629      0.17620         64.00000       
-208.93997      -208.90850      0.03147         64.00000       
-209.82403      -209.87354      0.04951         64.00000       
-208.78976      -208.70737      0.08239         64.00000       
-210.98833      -211.01979      0.03146         64.00000       
-203.27532      -203.15751      0.11781         64.00000       
-210.39102      -210.39783      0.00681         64.00000       
-209.73118      -209.72113      0.01005         64.00000       
-207.42188      -207.48809      0.06621         64.00000       
-209.22835      -209.21629      0.01206         64.00000       
-210.03232      -210.07392      0.04160         64.00000       
