# Reference      Predicted      Error          #atoms         
-194.90633      -195.28532      0.37899         64.00000       
-195.84503      -195.42603      0.41900         64.00000       
-194.17008      -194.27369      0.10361         64.00000       
-194.28434      -194.38327      0.09893         64.00000       
-195.63336      -195.26609      0.36727         64.00000       
-195.69816      -195.37305      0.32511         64.00000       
-195.27205      -195.31576      0.04372         64.00000       
-197.25076      -197.41048      0.15972         64.00000       
-195.39847      -195.11635      0.28212         64.00000       
-194.45658      -194.71651      0.25994         64.00000       
-195.31988      -195.55616      0.23628         64.00000       
-195.85749      -195.63668      0.22081         64.00000       
-194.45204      -194.43463      0.01742         64.00000       
-194.08694      -193.44746      0.63948         64.00000       
-196.41030      -196.26547      0.14482         64.00000       
-194.29812      -194.20413      0.09398         64.00000       
-196.47268      -196.23179      0.24089         64.00000       
-193.16369      -193.06580      0.09789         64.00000       
-196.10320      -196.20877      0.10557         64.00000       
-194.91505      -195.65651      0.74146         64.00000       
-193.89507      -194.22353      0.32846         64.00000       
-195.59165      -195.46154      0.13011         64.00000       
-195.59831      -195.54245      0.05586         64.00000       
-196.31302      -196.11175      0.20127         64.00000       
-194.95242      -195.07973      0.12731         64.00000       
-196.26056      -196.45130      0.19074         64.00000       
-195.71532      -195.39799      0.31733         64.00000       
-195.17204      -194.98411      0.18792         64.00000       
-195.39717      -195.32950      0.06767         64.00000       
-194.43792      -194.12748      0.31044         64.00000       
-194.69453      -194.82191      0.12737         64.00000       
-194.09550      -194.21710      0.12160         64.00000       
-192.34620      -192.35431      0.00812         64.00000       
-195.07975      -195.22447      0.14472         64.00000       
-194.40238      -194.52654      0.12416         64.00000       
-196.46367      -196.10455      0.35913         64.00000       
-194.00148      -194.30745      0.30598         64.00000       
-193.56256      -193.41305      0.14951         64.00000       
-196.23898      -195.94433      0.29465         64.00000       
-192.46195      -192.13520      0.32674         64.00000       
-196.47132      -196.50937      0.03805         64.00000       
-193.96957      -194.20987      0.24030         64.00000       
-195.18417      -195.60567      0.42150         64.00000       
-193.27204      -193.22995      0.04208         64.00000       
-194.58768      -194.53262      0.05506         64.00000       
-195.10432      -195.40041      0.29610         64.00000       
-195.36321      -195.43138      0.06816         64.00000       
-191.33387      -192.20128      0.86741         64.00000       
-195.01709      -195.14795      0.13086         64.00000       
-194.90391      -194.95475      0.05084         64.00000       
-196.22916      -196.37500      0.14585         64.00000       
-195.41449      -195.28281      0.13168         64.00000       
-194.58448      -194.63272      0.04824         64.00000       
-193.54434      -193.27350      0.27083         64.00000       
-195.38058      -195.20791      0.17266         64.00000       
-195.46636      -195.50170      0.03534         64.00000       
-194.73748      -195.01464      0.27716         64.00000       
-195.76964      -195.77189      0.00225         64.00000       
-194.67456      -194.88818      0.21362         64.00000       
-194.03270      -193.55883      0.47387         64.00000       
-193.09822      -193.33327      0.23505         64.00000       
-195.40237      -195.33690      0.06547         64.00000       
-195.07180      -194.84672      0.22507         64.00000       
-195.72111      -195.54952      0.17159         64.00000       
-196.18896      -196.20851      0.01955         64.00000       
-196.93628      -196.92018      0.01610         64.00000       
-196.03346      -195.58462      0.44884         64.00000       
-195.43052      -195.68274      0.25222         64.00000       
-196.34934      -196.34989      0.00055         64.00000       
-196.30210      -196.05351      0.24859         64.00000       
-195.47063      -195.51116      0.04053         64.00000       
-197.19290      -196.82930      0.36360         64.00000       
-196.11230      -195.88524      0.22706         64.00000       
-195.19530      -195.39681      0.20151         64.00000       
-194.25412      -194.26435      0.01023         64.00000       
-195.34339      -195.10088      0.24251         64.00000       
-195.63346      -195.63856      0.00510         64.00000       
-195.50443      -195.32979      0.17464         64.00000       
-194.20969      -194.79264      0.58295         64.00000       
-195.75824      -195.68615      0.07209         64.00000       
-196.74686      -196.45737      0.28949         64.00000       
-195.99040      -196.03326      0.04286         64.00000       
-195.31642      -195.26165      0.05477         64.00000       
-193.49802      -193.42658      0.07144         64.00000       
-197.48804      -197.40539      0.08265         64.00000       
-197.95519      -197.61817      0.33702         64.00000       
-194.51269      -194.55390      0.04122         64.00000       
-197.43749      -197.65890      0.22141         64.00000       
-195.36078      -195.28693      0.07385         64.00000       
-193.28009      -193.60794      0.32785         64.00000       
-196.72126      -196.54644      0.17482         64.00000       
-193.54712      -193.70992      0.16280         64.00000       
-194.36610      -194.74601      0.37991         64.00000       
-193.74800      -193.98139      0.23339         64.00000       
-196.72348      -196.99566      0.27218         64.00000       
-193.62707      -194.10249      0.47541         64.00000       
-194.50606      -194.25572      0.25035         64.00000       
-196.75234      -197.05276      0.30042         64.00000       
-194.56896      -194.58120      0.01223         64.00000       
-196.25255      -196.03292      0.21963         64.00000       
-195.10992      -195.12008      0.01016         64.00000       
-194.97407      -194.73886      0.23521         64.00000       
-194.37291      -194.79838      0.42547         64.00000       
-195.28795      -195.28542      0.00253         64.00000       
-195.21035      -195.13174      0.07861         64.00000       
-196.54553      -196.74376      0.19823         64.00000       
-194.49019      -194.39565      0.09453         64.00000       
-193.39106      -193.56150      0.17045         64.00000       
-195.10365      -195.49242      0.38877         64.00000       
-196.65821      -196.49613      0.16208         64.00000       
-195.46469      -195.36670      0.09799         64.00000       
-194.64520      -194.79748      0.15228         64.00000       
