# Reference      Predicted      Error          #atoms         
-194.90633      -195.28565      0.37933         64.00000       
-195.84503      -195.44612      0.39891         64.00000       
-194.17008      -194.24027      0.07018         64.00000       
-194.28434      -194.41117      0.12683         64.00000       
-195.63336      -195.55906      0.07430         64.00000       
-195.69816      -195.28409      0.41407         64.00000       
-195.27205      -195.28262      0.01058         64.00000       
-197.25076      -197.28868      0.03792         64.00000       
-195.39847      -195.06447      0.33400         64.00000       
-194.45658      -194.60611      0.14954         64.00000       
-195.31988      -195.63880      0.31892         64.00000       
-195.85749      -195.70847      0.14902         64.00000       
-194.45204      -194.38297      0.06907         64.00000       
-194.08694      -193.50575      0.58119         64.00000       
-196.41030      -196.02437      0.38593         64.00000       
-194.29812      -194.25447      0.04364         64.00000       
-196.47268      -196.20640      0.26628         64.00000       
-193.16369      -193.22785      0.06417         64.00000       
-196.10320      -196.04125      0.06194         64.00000       
-194.91505      -195.66762      0.75257         64.00000       
-193.89507      -194.22351      0.32844         64.00000       
-195.59165      -195.55160      0.04005         64.00000       
-195.59831      -195.63873      0.04041         64.00000       
-196.31302      -196.12321      0.18981         64.00000       
-194.95242      -194.87632      0.07609         64.00000       
-196.26056      -196.40892      0.14836         64.00000       
-195.71532      -195.51293      0.20239         64.00000       
-195.17204      -194.85268      0.31936         64.00000       
-195.39717      -195.34115      0.05602         64.00000       
-194.43792      -194.00755      0.43037         64.00000       
-194.69453      -194.65900      0.03553         64.00000       
-194.09550      -194.25087      0.15537         64.00000       
-192.34620      -192.61873      0.27253         64.00000       
-195.07975      -195.04452      0.03524         64.00000       
-194.40238      -194.56115      0.15877         64.00000       
-196.46367      -196.05206      0.41161         64.00000       
-194.00148      -194.62313      0.62166         64.00000       
-193.56256      -193.41869      0.14387         64.00000       
-196.23898      -196.18781      0.05117         64.00000       
-192.46195      -192.27763      0.18432         64.00000       
-196.47132      -196.65236      0.18103         64.00000       
-193.96957      -194.38582      0.41626         64.00000       
-195.18417      -195.79343      0.60926         64.00000       
-193.27204      -193.35777      0.08573         64.00000       
-194.58768      -194.53360      0.05408         64.00000       
-195.10432      -195.41688      0.31257         64.00000       
-195.36321      -195.47289      0.10968         64.00000       
-191.33387      -192.17872      0.84485         64.00000       
-195.01709      -195.10571      0.08862         64.00000       
-194.90391      -194.94820      0.04429         64.00000       
-196.22916      -196.37777      0.14861         64.00000       
-195.41449      -195.30898      0.10551         64.00000       
-194.58448      -194.62959      0.04510         64.00000       
-193.54434      -193.44267      0.10167         64.00000       
-195.38058      -195.18943      0.19115         64.00000       
-195.46636      -195.44839      0.01796         64.00000       
-194.73748      -195.12155      0.38407         64.00000       
-195.76964      -195.84090      0.07126         64.00000       
-194.67456      -195.03739      0.36283         64.00000       
-194.03270      -193.43004      0.60265         64.00000       
-193.09822      -193.42839      0.33017         64.00000       
-195.40237      -195.19133      0.21104         64.00000       
-195.07180      -194.78002      0.29178         64.00000       
-195.72111      -195.60853      0.11258         64.00000       
-196.18896      -196.17926      0.00970         64.00000       
-196.93628      -196.95994      0.02366         64.00000       
-196.03346      -195.45385      0.57961         64.00000       
-195.43052      -195.93195      0.50143         64.00000       
-196.34934      -196.06217      0.28717         64.00000       
-196.30210      -196.13544      0.16666         64.00000       
-195.47063      -195.36470      0.10594         64.00000       
-197.19290      -196.77677      0.41613         64.00000       
-196.11230      -195.92644      0.18586         64.00000       
-195.19530      -195.52832      0.33303         64.00000       
-194.25412      -194.31523      0.06111         64.00000       
-195.34339      -195.29757      0.04582         64.00000       
-195.63346      -195.57436      0.05910         64.00000       
-195.50443      -195.51366      0.00922         64.00000       
-194.20969      -194.69617      0.48648         64.00000       
-195.75824      -195.42067      0.33757         64.00000       
-196.74686      -196.49313      0.25372         64.00000       
-195.99040      -195.91827      0.07213         64.00000       
-195.31642      -195.09020      0.22622         64.00000       
-193.49802      -193.39109      0.10692         64.00000       
-197.48804      -197.50677      0.01872         64.00000       
-197.95519      -197.62649      0.32870         64.00000       
-194.51269      -194.40690      0.10579         64.00000       
-197.43749      -197.71825      0.28076         64.00000       
-195.36078      -195.26065      0.10013         64.00000       
-193.28009      -193.74437      0.46428         64.00000       
-196.72126      -196.53177      0.18949         64.00000       
-193.54712      -193.60115      0.05403         64.00000       
-194.36610      -194.84594      0.47984         64.00000       
-193.74800      -193.83617      0.08816         64.00000       
-196.72348      -197.05092      0.32744         64.00000       
-193.62707      -194.04150      0.41442         64.00000       
-194.50606      -194.26512      0.24094         64.00000       
-196.75234      -197.01683      0.26449         64.00000       
-194.56896      -194.57410      0.00513         64.00000       
-196.25255      -196.00973      0.24282         64.00000       
-195.10992      -195.02767      0.08224         64.00000       
-194.97407      -195.03899      0.06492         64.00000       
-194.37291      -194.65468      0.28177         64.00000       
-195.28795      -195.42788      0.13993         64.00000       
-195.21035      -195.25889      0.04854         64.00000       
-196.54553      -196.56186      0.01633         64.00000       
-194.49019      -194.28455      0.20564         64.00000       
-193.39106      -193.82871      0.43765         64.00000       
-195.10365      -195.51985      0.41620         64.00000       
-196.65821      -196.28569      0.37252         64.00000       
-195.46469      -195.30250      0.16218         64.00000       
-194.64520      -194.90313      0.25792         64.00000       
-194.64892      -194.96461      0.31570         64.00000       
-198.47920      -198.46595      0.01325         64.00000       
