# Reference      Predicted      Error          #atoms         
-194.90633      -195.23458      0.32825         64.00000       
-195.84503      -195.43958      0.40545         64.00000       
-194.17008      -194.26276      0.09268         64.00000       
-194.28434      -194.46075      0.17641         64.00000       
-195.63336      -195.41092      0.22244         64.00000       
-195.69816      -195.25902      0.43914         64.00000       
-195.27205      -195.30239      0.03034         64.00000       
-197.25076      -197.03601      0.21474         64.00000       
-195.39847      -195.25658      0.14189         64.00000       
-194.45658      -194.36025      0.09632         64.00000       
-195.31988      -195.46760      0.14772         64.00000       
-195.85749      -195.62060      0.23689         64.00000       
-194.45204      -194.34303      0.10902         64.00000       
-194.08694      -193.70487      0.38207         64.00000       
-196.41030      -196.21532      0.19498         64.00000       
-194.29812      -194.08197      0.21615         64.00000       
-196.47268      -196.16362      0.30906         64.00000       
-193.16369      -193.37005      0.20637         64.00000       
-196.10320      -196.05563      0.04757         64.00000       
-194.91505      -195.30839      0.39334         64.00000       
-193.89507      -194.10038      0.20531         64.00000       
-195.59165      -195.35127      0.24038         64.00000       
-195.59831      -195.65141      0.05310         64.00000       
-196.31302      -195.92603      0.38699         64.00000       
-194.95242      -195.06041      0.10799         64.00000       
-196.26056      -196.33806      0.07750         64.00000       
-195.71532      -195.57161      0.14371         64.00000       
-195.17204      -194.89988      0.27216         64.00000       
-195.39717      -195.16724      0.22993         64.00000       
-194.43792      -194.26191      0.17601         64.00000       
-194.69453      -194.83939      0.14486         64.00000       
-194.09550      -194.00177      0.09373         64.00000       
-192.34620      -192.50632      0.16013         64.00000       
-195.07975      -195.31997      0.24022         64.00000       
-194.40238      -194.42233      0.01995         64.00000       
-196.46367      -196.11534      0.34833         64.00000       
-194.00148      -194.35978      0.35831         64.00000       
-193.56256      -193.59147      0.02891         64.00000       
-196.23898      -196.08952      0.14945         64.00000       
-192.46195      -192.53518      0.07324         64.00000       
-196.47132      -196.46203      0.00929         64.00000       
-193.96957      -194.21266      0.24310         64.00000       
-195.18417      -195.45856      0.27439         64.00000       
-193.27204      -193.27927      0.00724         64.00000       
-194.58768      -194.61679      0.02911         64.00000       
-195.10432      -194.99879      0.10553         64.00000       
-195.36321      -195.42452      0.06131         64.00000       
-191.33387      -192.27616      0.94229         64.00000       
-195.01709      -194.93157      0.08551         64.00000       
-194.90391      -194.78030      0.12362         64.00000       
-196.22916      -196.27524      0.04608         64.00000       
-195.41449      -195.23402      0.18047         64.00000       
-194.58448      -194.35700      0.22748         64.00000       
-193.54434      -193.51321      0.03113         64.00000       
-195.38058      -195.06304      0.31754         64.00000       
-195.46636      -195.20199      0.26436         64.00000       
-194.73748      -194.95240      0.21492         64.00000       
-195.76964      -195.78499      0.01535         64.00000       
-194.67456      -194.90807      0.23351         64.00000       
-194.03270      -193.55724      0.47546         64.00000       
-193.09822      -193.45959      0.36137         64.00000       
-195.40237      -195.12071      0.28166         64.00000       
-195.07180      -195.10261      0.03081         64.00000       
-195.72111      -195.76381      0.04270         64.00000       
-196.18896      -196.29123      0.10227         64.00000       
-196.93628      -196.86859      0.06769         64.00000       
-196.03346      -195.64918      0.38428         64.00000       
-195.43052      -195.58423      0.15370         64.00000       
-196.34934      -196.15483      0.19451         64.00000       
-196.30210      -196.27580      0.02630         64.00000       
-195.47063      -195.52561      0.05498         64.00000       
-197.19290      -196.88679      0.30610         64.00000       
-196.11230      -195.99668      0.11562         64.00000       
-195.19530      -195.06605      0.12924         64.00000       
-194.25412      -194.35614      0.10202         64.00000       
-195.34339      -195.42457      0.08118         64.00000       
-195.63346      -195.34573      0.28773         64.00000       
-195.50443      -195.20814      0.29630         64.00000       
-194.20969      -194.76323      0.55354         64.00000       
-195.75824      -195.28480      0.47344         64.00000       
-196.74686      -196.45459      0.29227         64.00000       
-195.99040      -196.04673      0.05633         64.00000       
-195.31642      -195.00634      0.31008         64.00000       
-193.49802      -193.45279      0.04523         64.00000       
-197.48804      -197.43011      0.05793         64.00000       
-197.95519      -197.22453      0.73065         64.00000       
-194.51269      -194.34276      0.16992         64.00000       
-197.43749      -197.57166      0.13417         64.00000       
-195.36078      -195.23076      0.13002         64.00000       
-193.28009      -193.37113      0.09104         64.00000       
-196.72126      -196.55169      0.16958         64.00000       
-193.54712      -193.68112      0.13400         64.00000       
-194.36610      -194.47853      0.11243         64.00000       
-193.74800      -194.02238      0.27438         64.00000       
-196.72348      -196.90143      0.17795         64.00000       
-193.62707      -193.97384      0.34676         64.00000       
-194.50606      -194.15780      0.34826         64.00000       
-196.75234      -196.85913      0.10679         64.00000       
-194.56896      -194.64994      0.08097         64.00000       
-196.25255      -196.25615      0.00360         64.00000       
-195.10992      -195.34965      0.23974         64.00000       
