# Reference      Predicted      Error          #atoms         
-194.90633      -195.23456      0.32823         64.00000       
-195.84503      -195.43930      0.40573         64.00000       
-194.17008      -194.26351      0.09342         64.00000       
-194.28434      -194.46110      0.17676         64.00000       
-195.63336      -195.41216      0.22120         64.00000       
-195.69816      -195.25913      0.43903         64.00000       
-195.27205      -195.30344      0.03140         64.00000       
-197.25076      -197.03466      0.21610         64.00000       
-195.39847      -195.25727      0.14120         64.00000       
-194.45658      -194.35903      0.09755         64.00000       
-195.31988      -195.46748      0.14761         64.00000       
-195.85749      -195.62057      0.23692         64.00000       
-194.45204      -194.34439      0.10766         64.00000       
-194.08694      -193.70621      0.38073         64.00000       
-196.41030      -196.21518      0.19512         64.00000       
-194.29812      -194.08170      0.21642         64.00000       
-196.47268      -196.16325      0.30943         64.00000       
-193.16369      -193.37118      0.20749         64.00000       
-196.10320      -196.05545      0.04775         64.00000       
-194.91505      -195.30766      0.39261         64.00000       
-193.89507      -194.09996      0.20489         64.00000       
-195.59165      -195.35243      0.23923         64.00000       
-195.59831      -195.65214      0.05382         64.00000       
-196.31302      -195.92479      0.38823         64.00000       
-194.95242      -195.06059      0.10817         64.00000       
-196.26056      -196.33775      0.07719         64.00000       
-195.71532      -195.57208      0.14324         64.00000       
-195.17204      -194.90007      0.27196         64.00000       
-195.39717      -195.16728      0.22989         64.00000       
-194.43792      -194.26341      0.17451         64.00000       
-194.69453      -194.84017      0.14564         64.00000       
-194.09550      -194.00159      0.09391         64.00000       
-192.34620      -192.50384      0.15764         64.00000       
-195.07975      -195.32012      0.24037         64.00000       
-194.40238      -194.42155      0.01917         64.00000       
-196.46367      -196.11493      0.34875         64.00000       
-194.00148      -194.35763      0.35615         64.00000       
-193.56256      -193.59180      0.02924         64.00000       
-196.23898      -196.08902      0.14996         64.00000       
-192.46195      -192.53478      0.07283         64.00000       
-196.47132      -196.46130      0.01002         64.00000       
-193.96957      -194.21243      0.24286         64.00000       
-195.18417      -195.45728      0.27311         64.00000       
-193.27204      -193.28091      0.00887         64.00000       
-194.58768      -194.61687      0.02920         64.00000       
-195.10432      -194.99756      0.10676         64.00000       
-195.36321      -195.42456      0.06135         64.00000       
-191.33387      -192.27729      0.94342         64.00000       
-195.01709      -194.93061      0.08648         64.00000       
-194.90391      -194.78053      0.12339         64.00000       
-196.22916      -196.27425      0.04509         64.00000       
-195.41449      -195.23344      0.18105         64.00000       
-194.58448      -194.35645      0.22803         64.00000       
-193.54434      -193.51382      0.03052         64.00000       
-195.38058      -195.06147      0.31911         64.00000       
-195.46636      -195.20089      0.26547         64.00000       
-194.73748      -194.95144      0.21396         64.00000       
-195.76964      -195.78458      0.01494         64.00000       
-194.67456      -194.90742      0.23286         64.00000       
-194.03270      -193.55791      0.47479         64.00000       
-193.09822      -193.45944      0.36123         64.00000       
-195.40237      -195.12075      0.28162         64.00000       
-195.07180      -195.10315      0.03136         64.00000       
-195.72111      -195.76342      0.04231         64.00000       
-196.18896      -196.29183      0.10287         64.00000       
-196.93628      -196.86817      0.06811         64.00000       
-196.03346      -195.65006      0.38340         64.00000       
-195.43052      -195.58285      0.15233         64.00000       
-196.34934      -196.15549      0.19385         64.00000       
-196.30210      -196.27646      0.02564         64.00000       
-195.47063      -195.52572      0.05508         64.00000       
-197.19290      -196.88736      0.30554         64.00000       
-196.11230      -195.99674      0.11557         64.00000       
-195.19530      -195.06453      0.13077         64.00000       
-194.25412      -194.35600      0.10189         64.00000       
-195.34339      -195.42506      0.08166         64.00000       
-195.63346      -195.34480      0.28867         64.00000       
-195.50443      -195.20815      0.29628         64.00000       
-194.20969      -194.76354      0.55385         64.00000       
-195.75824      -195.28417      0.47407         64.00000       
-196.74686      -196.45389      0.29297         64.00000       
-195.99040      -196.04679      0.05639         64.00000       
-195.31642      -195.00555      0.31087         64.00000       
-193.49802      -193.45281      0.04521         64.00000       
-197.48804      -197.43006      0.05798         64.00000       
-197.95519      -197.22228      0.73291         64.00000       
-194.51269      -194.34251      0.17018         64.00000       
-197.43749      -197.57021      0.13273         64.00000       
-195.36078      -195.23076      0.13002         64.00000       
-193.28009      -193.37250      0.09241         64.00000       
-196.72126      -196.55136      0.16990         64.00000       
-193.54712      -193.68179      0.13467         64.00000       
-194.36610      -194.47751      0.11141         64.00000       
-193.74800      -194.02433      0.27633         64.00000       
-196.72348      -196.90092      0.17745         64.00000       
-193.62707      -193.97387      0.34679         64.00000       
-194.50606      -194.15727      0.34879         64.00000       
-196.75234      -196.85801      0.10568         64.00000       
-194.56896      -194.65044      0.08147         64.00000       
-196.25255      -196.25653      0.00398         64.00000       
-195.10992      -195.35129      0.24138         64.00000       
-194.97407      -195.04929      0.07522         64.00000       
-194.37291      -194.75086      0.37795         64.00000       
-195.28795      -195.42138      0.13343         64.00000       
-195.21035      -195.03560      0.17475         64.00000       
-196.54553      -196.49796      0.04757         64.00000       
-194.49019      -194.59653      0.10635         64.00000       
-193.39106      -193.61191      0.22086         64.00000       
-195.10365      -195.28728      0.18364         64.00000       
-196.65821      -196.41450      0.24370         64.00000       
-195.46469      -195.32521      0.13947         64.00000       
-194.64520      -195.08904      0.44384         64.00000       
-194.64892      -194.92569      0.27677         64.00000       
-198.47920      -198.45629      0.02292         64.00000       
-194.55172      -194.05104      0.50068         64.00000       
-196.00472      -196.34703      0.34231         64.00000       
-196.40171      -196.20864      0.19306         64.00000       
-196.24235      -195.92139      0.32096         64.00000       
-195.27140      -195.30269      0.03128         64.00000       
-194.70728      -194.82865      0.12137         64.00000       
-196.58168      -196.81829      0.23661         64.00000       
-197.12188      -196.79756      0.32433         64.00000       
-194.16407      -194.11716      0.04692         64.00000       
-194.34151      -194.42424      0.08273         64.00000       
-194.68988      -194.64471      0.04517         64.00000       
-194.68901      -194.78970      0.10069         64.00000       
-194.67293      -194.84567      0.17274         64.00000       
-194.94235      -194.99706      0.05471         64.00000       
-194.97423      -194.88845      0.08577         64.00000       
-197.13229      -196.86328      0.26901         64.00000       
-196.82068      -196.28199      0.53869         64.00000       
-196.24584      -195.86878      0.37706         64.00000       
-195.96976      -195.58388      0.38588         64.00000       
-194.70031      -195.06285      0.36254         64.00000       
-194.99341      -195.12454      0.13113         64.00000       
-196.77758      -196.22878      0.54880         64.00000       
-194.08236      -194.14698      0.06462         64.00000       
-194.29863      -194.80794      0.50932         64.00000       
-195.77020      -195.87747      0.10728         64.00000       
-195.14824      -195.39784      0.24960         64.00000       
-195.13995      -195.21647      0.07652         64.00000       
-193.68472      -193.62073      0.06399         64.00000       
-196.22341      -196.17692      0.04649         64.00000       
-197.21659      -196.89797      0.31862         64.00000       
-192.88404      -193.00086      0.11682         64.00000       
-195.76302      -195.80746      0.04444         64.00000       
-193.48329      -193.87892      0.39564         64.00000       
-196.59108      -196.32948      0.26160         64.00000       
-195.83079      -195.86829      0.03750         64.00000       
-197.21964      -196.78078      0.43885         64.00000       
-194.89227      -195.12449      0.23222         64.00000       
-194.62218      -194.33189      0.29029         64.00000       
-196.47107      -196.30496      0.16611         64.00000       
-197.37355      -197.15229      0.22126         64.00000       
-194.53626      -194.53769      0.00144         64.00000       
-197.61188      -197.57095      0.04093         64.00000       
-193.26416      -193.19433      0.06983         64.00000       
-194.78586      -194.73955      0.04631         64.00000       
-195.70523      -195.93813      0.23291         64.00000       
-195.89639      -195.65933      0.23706         64.00000       
-197.39050      -197.02256      0.36794         64.00000       
-195.71346      -195.85928      0.14582         64.00000       
-195.31717      -195.38222      0.06506         64.00000       
-197.35114      -196.86579      0.48535         64.00000       
-194.36471      -194.87516      0.51045         64.00000       
-195.77927      -195.59692      0.18235         64.00000       
-194.72305      -194.60719      0.11585         64.00000       
-192.76653      -192.93215      0.16562         64.00000       
-193.61918      -193.68071      0.06153         64.00000       
-195.16453      -194.77951      0.38502         64.00000       
-196.20669      -196.10904      0.09765         64.00000       
-193.63202      -193.84885      0.21683         64.00000       
-193.89658      -194.27861      0.38203         64.00000       
-192.98007      -193.29627      0.31620         64.00000       
-194.41476      -194.68649      0.27173         64.00000       
-195.36624      -195.25483      0.11141         64.00000       
-194.80572      -194.53215      0.27357         64.00000       
-196.40381      -196.23631      0.16750         64.00000       
-195.66689      -195.49966      0.16722         64.00000       
-193.15311      -193.38688      0.23377         64.00000       
-194.41818      -194.53132      0.11315         64.00000       
-196.09670      -196.08349      0.01320         64.00000       
-196.73647      -196.72481      0.01166         64.00000       
-193.47050      -193.38246      0.08805         64.00000       
-195.39163      -195.42862      0.03699         64.00000       
-195.14695      -195.00586      0.14109         64.00000       
-195.09921      -195.17473      0.07552         64.00000       
