# Reference      Predicted      Error          #atoms         
-4.22426        -4.22426        0.00000         2.00000        
-5.29666        -5.29666        0.00000         2.00000        
-6.20910        -6.20910        0.00000         2.00000        
-6.98075        -6.98075        0.00000         2.00000        
-8.96757        -8.96757        0.00000         2.00000        
-9.25200        -9.25200        0.00000         2.00000        
-9.47206        -9.47206        0.00000         2.00000        
-9.63591        -9.63591        0.00000         2.00000        
-9.75076        -9.75076        0.00000         2.00000        
-9.82316        -9.82316        0.00000         2.00000        
-9.85890        -9.85890        0.00000         2.00000        
-9.86297        -9.86297        0.00000         2.00000        
-9.83967        -9.83967        0.00000         2.00000        
-9.79280        -9.79280        0.00000         2.00000        
-9.72579        -9.72579        0.00000         2.00000        
-9.64156        -9.64156        0.00000         2.00000        
-9.54259        -9.54259        0.00000         2.00000        
-9.43101        -9.43101        0.00000         2.00000        
-9.30873        -9.30873        0.00000         2.00000        
-9.17745        -9.17745        0.00000         2.00000        
-9.03860        -9.03860        0.00000         2.00000        
-8.89342        -8.89342        0.00000         2.00000        
-7.94390        -7.94390        0.00000         2.00000        
-7.77962        -7.77962        0.00000         2.00000        
-7.61520        -7.61520        0.00000         2.00000        
-7.45108        -7.45108        0.00000         2.00000        
-7.28761        -7.28761        0.00000         2.00000        
-7.12519        -7.12519        0.00000         2.00000        
-6.96413        -6.96413        0.00000         2.00000        
-6.80471        -6.80471        0.00000         2.00000        
-6.64712        -6.64712        0.00000         2.00000        
-6.49158        -6.49158        0.00000         2.00000        
-6.33827        -6.33827        0.00000         2.00000        
-6.18734        -6.18734        0.00000         2.00000        
-6.03891        -6.03891        0.00000         2.00000        
-4.25316        -4.25316        0.00000         2.00000        
-4.14709        -4.14709        0.00000         2.00000        
-4.04381        -4.04381        0.00000         2.00000        
-3.94333        -3.94333        0.00000         2.00000        
-3.84558        -3.84558        0.00000         2.00000        
-3.75054        -3.75054        0.00000         2.00000        
-3.65813        -3.65813        0.00000         2.00000        
-3.56834        -3.56834        0.00000         2.00000        
-3.48113        -3.48113        0.00000         2.00000        
-3.39644        -3.39644        0.00000         2.00000        
-3.31419        -3.31419        0.00000         2.00000        
-3.23434        -3.23434        0.00000         2.00000        
-3.15686        -3.15686        0.00000         2.00000        
-3.08167        -3.08167        0.00000         2.00000        
-3.00873        -3.00873        0.00000         2.00000        
-2.93795        -2.93795        0.00000         2.00000        
# MSE = 1.06540E-24
# Maxerror = 2.24176E-12
