# Reference      Predicted      Error          #atoms         
34426.94561     34376.66903     50.27657        64.00000       
37309.75262     37424.51278     114.76016       64.00000       
39640.16777     39711.02197     70.85420        64.00000       
15517.44824     15498.01620     19.43203        64.00000       
15410.28523     15405.40441     4.88082         64.00000       
16781.30694     16798.49247     17.18553        64.00000       
7321.49357      7327.26757      5.77401         64.00000       
7603.74268      7603.53915      0.20353         64.00000       
7859.67283      7864.06308      4.39024         64.00000       
3613.86055      3618.55254      4.69199         64.00000       
3467.21830      3474.15576      6.93747         64.00000       
3607.81962      3622.51823      14.69861        64.00000       
1874.72663      1886.39616      11.66953        64.00000       
1920.60657      1930.70626      10.09970        64.00000       
2063.86943      2075.10302      11.23359        64.00000       
1034.32635      1042.91985      8.59350         64.00000       
1054.22477      1062.34763      8.12286         64.00000       
1044.18126      1047.55924      3.37798         64.00000       
619.28520       610.51181       8.77339         64.00000       
657.77833       649.99933       7.77901         64.00000       
636.25879       626.73765       9.52113         64.00000       
412.45319       397.48115       14.97204        64.00000       
429.54968       415.08774       14.46194        64.00000       
435.72110       422.47499       13.24611        64.00000       
310.93085       302.39243       8.53842         64.00000       
320.29724       311.29222       9.00503         64.00000       
335.69212       326.09881       9.59331         64.00000       
264.48012       262.14051       2.33960         64.00000       
269.88230       267.16691       2.71538         64.00000       
285.13434       281.70434       3.43000         64.00000       
247.86817       250.08118       2.21301         64.00000       
252.09219       254.02359       1.93140         64.00000       
263.23112       264.52733       1.29621         64.00000       
34426.94561     34376.66903     50.27657        64.00000       
36441.40748     36550.12000     108.71252       64.00000       
45494.47589     45377.66576     116.81013       64.00000       
15517.44824     15498.01620     19.43203        64.00000       
15559.61611     15556.36154     3.25457         64.00000       
16027.12345     16020.61026     6.51319         64.00000       
7321.49357      7327.26757      5.77401         64.00000       
7784.84625      7780.59927      4.24698         64.00000       
8027.15950      8022.29475      4.86475         64.00000       
3613.86055      3618.55254      4.69199         64.00000       
3873.75424      3889.34151      15.58727        64.00000       
4146.72948      4160.66610      13.93662        64.00000       
1874.72663      1886.39616      11.66953        64.00000       
1910.79582      1921.29093      10.49511        64.00000       
2087.57659      2096.26517      8.68858         64.00000       
1034.32635      1042.91985      8.59350         64.00000       
1046.55646      1053.27688      6.72042         64.00000       
1136.47398      1141.60135      5.12736         64.00000       
619.28520       610.51181       8.77339         64.00000       
626.98446       617.81741       9.16706         64.00000       
641.54168       633.71167       7.83001         64.00000       
412.45319       397.48115       14.97204        64.00000       
428.23393       413.89321       14.34072        64.00000       
427.74359       414.90898       12.83461        64.00000       
