# Reference      Predicted      Error          #atoms         
33318.23699     33348.22224     29.98525        64.00000       
36194.72966     36241.91046     47.18080        64.00000       
38530.62756     38533.98339     3.35583         64.00000       
4164.18293      4154.41558      9.76735         64.00000       
4127.52105      4117.97650      9.54455         64.00000       
4543.14951      4537.14095      6.00856         64.00000       
185.69312       205.84675       20.15363        64.00000       
216.01582       234.03854       18.02271        64.00000       
247.50623       261.10470       13.59848        64.00000       
-434.81110      -454.33346      19.52236        64.00000       
-436.21428      -455.71317      19.49890        64.00000       
-419.52191      -438.52191      18.99999        64.00000       
-507.92263      -527.54817      19.62553        64.00000       
-504.32852      -523.96041      19.63188        64.00000       
-493.61985      -513.26566      19.64580        64.00000       
33318.23699     33348.22224     29.98525        64.00000       
34280.84093     34321.44132     40.60039        64.00000       
33709.49838     33727.34533     17.84694        64.00000       
4164.18293      4154.41558      9.76735         64.00000       
4564.57475      4555.02856      9.54619         64.00000       
4152.90420      4146.17950      6.72470         64.00000       
185.69312       205.84675       20.15363        64.00000       
241.86031       261.22289       19.36258        64.00000       
237.73506       251.23959       13.50453        64.00000       
-434.81110      -454.33346      19.52236        64.00000       
-423.72988      -443.08264      19.35276        64.00000       
-408.80378      -427.51633      18.71254        64.00000       
-507.92263      -527.54817      19.62553        64.00000       
-504.54034      -524.17141      19.63107        64.00000       
-492.94917      -512.59544      19.64627        64.00000       
33318.23699     33348.22224     29.98525        64.00000       
32299.56309     32336.65194     37.08885        64.00000       
40402.64616     40444.00205     41.35589        64.00000       
4164.18293      4154.41558      9.76735         64.00000       
4401.48328      4391.93783      9.54544         64.00000       
5442.78922      5434.91027      7.87895         64.00000       
185.69312       205.84675       20.15363        64.00000       
190.64211       208.70399       18.06188        64.00000       
223.41634       236.19817       12.78183        64.00000       
-434.81110      -454.33346      19.52236        64.00000       
-424.05745      -443.33694      19.27950        64.00000       
-412.85006      -431.87497      19.02491        64.00000       
-507.92263      -527.54817      19.62553        64.00000       
-504.49159      -524.12327      19.63169        64.00000       
-494.37200      -514.01677      19.64477        64.00000       
33318.23699     33348.22224     29.98525        64.00000       
34206.41220     34247.97955     41.56735        64.00000       
38955.59707     38965.80176     10.20469        64.00000       
4164.18293      4154.41558      9.76735         64.00000       
4186.00737      4177.13842      8.86895         64.00000       
4718.59480      4712.31657      6.27823         64.00000       
185.69312       205.84675       20.15363        64.00000       
194.63500       212.89536       18.26036        64.00000       
221.17647       234.95116       13.77469        64.00000       
-434.81110      -454.33346      19.52236        64.00000       
-424.11431      -443.46915      19.35484        64.00000       
-419.19455      -437.91708      18.72253        64.00000       
-507.92263      -527.54817      19.62553        64.00000       
-504.15680      -523.78826      19.63146        64.00000       
-493.28229      -512.92915      19.64686        64.00000       
33318.23699     33348.22224     29.98525        64.00000       
36851.95964     36899.50511     47.54547        64.00000       
38887.62827     38900.98319     13.35491        64.00000       
4164.18293      4154.41558      9.76735         64.00000       
4490.44082      4480.71254      9.72828         64.00000       
4422.17683      4417.24053      4.93629         64.00000       
185.69312       205.84675       20.15363        64.00000       
174.73689       192.71363       17.97674        64.00000       
333.93427       348.73468       14.80041        64.00000       
-434.81110      -454.33346      19.52236        64.00000       
-431.66947      -451.11656      19.44708        64.00000       
-401.89309      -420.41735      18.52426        64.00000       
-507.92263      -527.54817      19.62553        64.00000       
-505.32672      -524.95683      19.63011        64.00000       
-494.08432      -513.73043      19.64611        64.00000       
# MSE = 4.42326E+02
# Maxerror = 4.75455E+01
