# Reference      Predicted      Error          
15073.65602     15056.58599     17.07003       
7485.09830      7474.39940      10.69890       
7488.94787      7478.24203      10.70584       
-7586.88388     -7580.93948     5.94439        
7485.09830      7474.39940      10.69890       
-86.96243       -91.29997       4.33754        
-83.97792       -88.33079       4.35287        
-15164.87427    -15152.58205    12.29222       
7488.94787      7478.24203      10.70584       
-83.97792       -88.33079       4.35287        
-80.98536       -85.34841       4.36305        
-15161.13920    -15148.86606    12.27315       
-7586.88388     -7580.93948     5.94439        
-15164.87427    -15152.58205    12.29222       
-15161.13920    -15148.86606    12.27315       
-30329.36542    -30307.85588    21.50955       
15168.29264     15155.57087     12.72178       
7575.14331      7568.78358      6.35973        
7578.69335      7572.32164      6.37171        
1.68527         1.68271         0.00257        
7575.14331      7568.78358      6.35973        
-1.31365        -1.31721        0.00356        
1.51203         1.49799         0.01404        
-7575.45377     -7569.09847     6.35529        
7578.69335      7572.32164      6.37171        
1.51203         1.49799         0.01404        
4.34389         4.32104         0.02285        
-7571.86056     -7565.51945     6.34111        
1.68527         1.68271         0.00257        
-7575.45377     -7569.09847     6.35529        
-7571.86056     -7565.51945     6.34111        
-15164.86808    -15152.16654    12.70154       
15164.86808     15152.16654     12.70154       
7571.86056      7565.51945      6.34111        
7575.45377      7569.09847      6.35529        
-1.68527        -1.68271        0.00257        
7571.86056      7565.51945      6.34111        
-4.34389        -4.32104        0.02285        
-1.51203        -1.49799        0.01404        
-7578.69335     -7572.32164     6.37171        
7575.45377      7569.09847      6.35529        
-1.51203        -1.49799        0.01404        
1.31365         1.31721         0.00356        
-7575.14331     -7568.78358     6.35973        
-1.68527        -1.68271        0.00257        
-7578.69335     -7572.32164     6.37171        
-7575.14331     -7568.78358     6.35973        
-15168.29264    -15155.57087    12.72178       
30329.36542     30307.85588     21.50955       
15161.13920     15148.86606     12.27315       
15164.87427     15152.58205     12.29222       
7586.88388      7580.93948      5.94439        
15161.13920     15148.86606     12.27315       
80.98536        85.34841        4.36305        
83.97792        88.33079        4.35287        
-7488.94787     -7478.24203     10.70584       
15164.87427     15152.58205     12.29222       
83.97792        88.33079        4.35287        
86.96243        91.29997        4.33754        
-7485.09830     -7474.39940     10.69890       
7586.88388      7580.93948      5.94439        
-7488.94787     -7478.24203     10.70584       
-7485.09830     -7474.39940     10.69890       
-15073.65602    -15056.58599    17.07003       
18111.03656     18206.10326     95.06670       
8827.72546      8819.74563      7.97984        
7739.72834      7724.35200      15.37634       
-5856.81992     -5855.86984     0.95009        
8741.95543      8759.28251      17.32708       
-117.16115      -123.28078      6.11964        
-114.82951      -117.23141      2.40191        
-18865.77126    -18921.86117    56.08991       
7513.42170      7514.31840      0.89670        
127.91224       126.46476       1.44748        
-83.05653       -90.21951       7.16299        
-13286.81333    -13317.51391    30.70058       
-10210.55461    -10305.99622    95.44161       
-18402.39112    -18465.02665    62.63553       
-12140.64170    -12146.42423    5.78253        
-29527.24517    -29582.79385    55.54868       
17567.61636     17608.49985     40.88349       
10002.72987     10067.40532     64.67545       
8538.14834      8545.13562      6.98728        
4538.24137      4553.81144      15.57008       
8114.34882      8117.27293      2.92411        
-4.01719        -4.01831        0.00112        
1.37923         1.36390         0.01534        
-8116.89329     -8119.74937     2.85609        
8787.80023      8804.10088      16.30064       
-1.95192        -1.95878        0.00686        
-1.83369        -1.85781        0.02411        
-8771.89792     -8787.42428     15.52635       
334.61829       367.77693       33.15863       
-9991.92446     -10054.45174    62.52727       
-8537.47548     -8544.70692     7.23144        
-22409.72030    -22495.80194    86.08165       
19135.49464     19107.21868     28.27596       
12524.01917     12576.41659     52.39743       
7865.31154      7864.51824      0.79330        
-9862.09246     -9823.19838     38.89408       
11838.38422     11934.27889     95.89467       
-3.73129        -3.71123        0.02006        
0.23023         0.24718         0.01695        
-11826.98871    -11921.07302    94.08431       
6323.43484      6327.60973      4.17488        
0.12485         0.14147         0.01662        
-3.99102        -3.98532        0.00570        
-6313.93343     -6317.58512     3.65169        
256.12795       256.74584       0.61789        
-12520.32700    -12571.72915    51.40215       
-7871.85529     -7872.56918     0.71388        
-9595.04683     -9613.86193     18.81510       
19803.44565     19830.43164     26.98598       
17955.68789     18029.77046     74.08257       
10557.58751     10576.77161     19.18410       
16735.40097     16864.91198     129.51101      
17631.29557     17658.48204     27.18648       
116.42010       123.51031       7.09021        
131.06367       135.59261       4.52894        
-7528.88204     -7518.64382     10.23822       
9150.94916      9183.46059      32.51143       
-77.28876       -69.88081       7.40795        
58.94519        61.40138        2.45619        
-3392.58542     -3396.74120     4.15577        
9685.73419      9668.18047      17.55372       
-8416.86845     -8425.56453     8.69608        
-6150.52174     -6149.70191     0.81983        
-18711.20860    -18790.89080    79.68220       
8101.63947      8105.50220      3.86273        
15315.43369     14950.46372     364.96997      
6129.96604      6131.50418      1.53814        
-3763.59141     -3769.95559     6.36417        
5488.51236      5484.44573      4.06664        
-808.06395      -824.07280      16.00884       
1060.44199      1022.79695      37.64504       
-12952.05798    -12948.35772    3.70026        
7664.41026      7660.72996      3.68030        
88.40143        85.45383        2.94760        
-31.75244       -41.31452       9.56208        
-31756.00307    -31419.51728    336.48580      
-9316.08850     -9408.78842     92.69991       
-32437.29811    -31891.99117    545.30694      
-26040.31970    -25522.85981    517.45989      
-26036.34750    -26065.75570    29.40820       
17030.17554     17106.26749     76.09195       
2393.94875      2401.17973      7.23098        
2618.36605      2628.03964      9.67358        
17090.79376     17255.92399     165.13024      
4481.57362      4487.74896      6.17534        
-5.07213        -5.06150        0.01062        
-2.78281        -2.79205        0.00924        
-4516.64625     -4526.00806     9.36181        
5801.17438      5804.79397      3.61960        
0.94777         0.94338         0.00439        
14.47225        14.42321        0.04904        
-5797.69519     -5803.59280     5.89760        
-4476.30230     -4543.59188     67.28958       
-2414.92439     -2424.67879     9.75439        
-2608.65142     -2617.10002     8.44859        
-29605.57716    -29777.68283    172.10567      
17466.96133     17526.79773     59.83640       
6660.01634      6664.86144      4.84510        
3431.43315      3441.63102      10.19787       
5949.05314      5997.50164      48.44850       
5000.73492      5004.13242      3.39750        
-4.80909        -4.77961        0.02948        
-0.04101        -0.02497        0.01603        
-5020.93795     -5024.40204     3.46409        
5945.02344      5948.90935      3.88592        
13.01704        13.01969        0.00264        
0.44055         0.44125         0.00070        
-5934.03340     -5938.03992     4.00652        
-2352.38409     -2418.72782     66.34373       
-6689.45373     -6694.93419     5.48047        
-3399.30598     -3407.84720     8.54122        
-21134.92521    -21181.91151    46.98630       
35838.96411     36017.85299     178.88888      
21802.29310     21639.69092     162.60218      
