# Reference      Predicted      Error          #atoms         
-21.09414       -21.21880       0.12466         8.00000        
-35.85786       -35.88859       0.03073         8.00000        
-31.86992       -32.00169       0.13177         8.00000        
-35.73328       -35.77664       0.04336         8.00000        
-35.82884       -35.87540       0.04656         8.00000        
-32.64646       -32.70327       0.05681         8.00000        
-32.35750       -32.42596       0.06847         8.00000        
-31.64489       -31.68453       0.03964         8.00000        
-35.11329       -35.03102       0.08227         8.00000        
-34.47745       -34.37021       0.10724         8.00000        
-34.81439       -34.71703       0.09736         8.00000        
-33.48307       -33.52122       0.03816         8.00000        
-35.57815       -35.59629       0.01813         8.00000        
-31.36689       -31.56966       0.20277         8.00000        
-35.46841       -35.45523       0.01318         8.00000        
-35.81232       -35.81506       0.00273         8.00000        
-34.17020       -34.16694       0.00326         8.00000        
-25.62378       -25.59199       0.03179         8.00000        
-35.15063       -35.12237       0.02826         8.00000        
-34.10659       -34.00477       0.10182         8.00000        
-33.70567       -33.62705       0.07862         8.00000        
-29.07680       -29.04393       0.03287         8.00000        
-27.47247       -27.41802       0.05445         8.00000        
-32.82798       -32.83557       0.00759         8.00000        
-33.27817       -33.23601       0.04215         8.00000        
-23.50683       -23.65171       0.14487         8.00000        
-34.72201       -34.69423       0.02778         8.00000        
-35.68580       -35.67423       0.01157         8.00000        
-35.36956       -35.33817       0.03140         8.00000        
-30.46110       -30.46759       0.00649         8.00000        
-11.02388       -10.92051       0.10337         4.00000        
-18.20424       -18.14010       0.06414         4.00000        
-16.23381       -16.30656       0.07275         4.00000        
-16.92996       -16.91635       0.01361         4.00000        
-18.14202       -18.04386       0.09815         4.00000        
-18.18948       -18.10331       0.08617         4.00000        
-16.64147       -16.86978       0.22830         4.00000        
-16.47513       -16.52806       0.05293         4.00000        
-16.15373       -16.39034       0.23661         4.00000        
-15.57742       -15.80765       0.23023         4.00000        
-17.83670       -17.73911       0.09759         4.00000        
-17.52206       -17.41897       0.10309         4.00000        
-17.68861       -17.57939       0.10923         4.00000        
-17.04891       -17.26874       0.21984         4.00000        
-18.06546       -17.96542       0.10003         4.00000        
-15.98498       -16.07623       0.09126         4.00000        
-18.01608       -18.07713       0.06105         4.00000        
-18.18313       -18.15295       0.03019         4.00000        
-17.38338       -17.59306       0.20968         4.00000        
-13.22443       -13.32713       0.10270         4.00000        
-17.86108       -17.98055       0.11947         4.00000        
-17.33871       -17.25873       0.07999         4.00000        
-17.14084       -17.09134       0.04951         4.00000        
-14.90429       -15.11033       0.20604         4.00000        
-14.12371       -14.28647       0.16277         4.00000        
-16.70757       -16.73224       0.02467         4.00000        
-12.19559       -12.23789       0.04230         4.00000        
-17.65215       -17.82490       0.17275         4.00000        
-18.12184       -18.13416       0.01232         4.00000        
-17.96286       -17.86858       0.09428         4.00000        
-34.31729       -34.42923       0.11195         8.00000        
-36.21548       -36.22402       0.00854         8.00000        
-35.34914       -35.44403       0.09488         8.00000        
-35.19891       -35.29082       0.09191         8.00000        
-35.73815       -35.81724       0.07909         8.00000        
-36.17802       -36.20539       0.02737         8.00000        
-35.98301       -36.05349       0.07048         8.00000        
-35.29571       -35.18363       0.11208         8.00000        
-36.02246       -36.08539       0.06293         8.00000        
-36.13193       -36.17417       0.04224         8.00000        
-35.48934       -35.57913       0.08979         8.00000        
-33.91295       -34.01832       0.10537         8.00000        
-35.03941       -35.13361       0.09420         8.00000        
-35.75759       -35.83569       0.07810         8.00000        
-34.11839       -34.22576       0.10737         8.00000        
