# Reference      Predicted      Error          #atoms         
-20.55840       -20.47008       0.08832         6.00000        
-19.61686       -20.46165       0.84479         6.00000        
-19.55847       -18.86679       0.69168         6.00000        
-18.88291       -18.01937       0.86354         6.00000        
-19.37692       -20.34555       0.96863         6.00000        
-18.84496       -20.04115       1.19619         6.00000        
-17.15459       -19.08827       1.93369         6.00000        
-20.12501       -20.64459       0.51959         6.00000        
-16.49490       -18.74824       2.25334         6.00000        
-19.49956       -20.40662       0.90706         6.00000        
-17.61977       -16.53725       1.08252         6.00000        
-17.95273       -19.51938       1.56665         6.00000        
-16.99098       -19.00288       2.01190         6.00000        
-20.35047       -20.67798       0.32752         6.00000        
-18.41041       -19.78045       1.37004         6.00000        
-20.51671       -20.31702       0.19969         6.00000        
-17.97835       -16.94640       1.03195         6.00000        
-17.23040       -16.09992       1.13048         6.00000        
-15.99381       -18.49623       2.50242         6.00000        
-16.66103       -18.83282       2.17179         6.00000        
-20.55104       -20.57904       0.02800         6.00000        
-20.20772       -20.66217       0.45444         6.00000        
-20.50016       -20.64636       0.14619         6.00000        
-17.31694       -19.17396       1.85702         6.00000        
-20.53077       -20.61777       0.08701         6.00000        
-20.28302       -20.67334       0.39032         6.00000        
-20.56016       -20.52985       0.03031         6.00000        
-18.10743       -19.60636       1.49894         6.00000        
-16.35228       -15.11412       1.23816         6.00000        
-18.55808       -19.86748       1.30940         6.00000        
-16.82638       -18.91771       2.09133         6.00000        
-16.32839       -18.66390       2.33551         6.00000        
-19.93934       -20.59016       0.65082         6.00000        
-20.15953       -19.68303       0.47650         6.00000        
-20.03816       -19.50870       0.52946         6.00000        
-20.54387       -20.39951       0.14436         6.00000        
-19.13191       -18.32604       0.80588         6.00000        
-19.24988       -20.27833       1.02846         6.00000        
-19.11872       -20.20504       1.08632         6.00000        
-19.73851       -19.10223       0.63629         6.00000        
-18.98374       -20.12564       1.14191         6.00000        
-16.16117       -18.57984       2.41868         6.00000        
-18.60832       -17.68742       0.92090         6.00000        
-18.26010       -19.69345       1.43335         6.00000        
-20.03551       -20.62056       0.58506         6.00000        
-20.34942       -19.98294       0.36648         6.00000        
-18.70307       -19.95440       1.25132         6.00000        
-20.45938       -20.66529       0.20592         6.00000        
-19.83738       -20.55342       0.71604         6.00000        
-17.47818       -19.25992       1.78173         6.00000        
-17.63799       -19.34615       1.70816         6.00000        
-16.80843       -15.62795       1.18048         6.00000        
-20.47555       -20.22072       0.25483         6.00000        
-20.42004       -20.10951       0.31054         6.00000        
-17.79622       -19.43267       1.63645         6.00000        
-19.72965       -20.51058       0.78093         6.00000        
-19.89846       -19.31560       0.58287         6.00000        
-20.40930       -20.67552       0.26622         6.00000        
-20.26275       -19.84081       0.42194         6.00000        
-18.30742       -17.32972       0.97770         6.00000        
-19.35665       -18.60830       0.74836         6.00000        
-74.27615       -73.90908       0.36706         18.00000       
-75.56312       -75.56648       0.00336         18.00000       
-64.14075       -63.45576       0.68499         18.00000       
-59.24629       -58.28864       0.95765         18.00000       
-75.07429       -75.08200       0.00771         18.00000       
-73.78020       -73.67393       0.10627         18.00000       
-68.68062       -69.25163       0.57101         18.00000       
-76.23238       -76.11716       0.11522         18.00000       
-66.45947       -67.70472       1.24525         18.00000       
-75.33393       -75.34299       0.00906         18.00000       
-50.82620       -49.54581       1.28038         18.00000       
-71.22120       -71.23965       0.01845         18.00000       
-68.13868       -68.86145       0.72277         18.00000       
-76.17448       -75.97005       0.20443         18.00000       
-72.58061       -72.45570       0.12491         18.00000       
-73.18188       -72.78222       0.39965         18.00000       
-53.15414       -51.92176       1.23237         18.00000       
-48.33693       -47.02379       1.31314         18.00000       
-64.71538       -66.57023       1.85484         18.00000       
-67.02746       -68.08800       1.06053         18.00000       
-75.10442       -74.78541       0.31902         18.00000       
-76.25591       -76.10871       0.14721         18.00000       
-75.69384       -75.42251       0.27134         18.00000       
-69.21194       -69.64412       0.43217         18.00000       
-75.42761       -75.13327       0.29434         18.00000       
-76.23731       -76.05980       0.17751         18.00000       
-74.72064       -74.37758       0.34306         18.00000       
-71.69001       -71.64442       0.04558         18.00000       
-42.84073       -41.39843       1.44231         18.00000       
-72.99964       -72.86140       0.13824         18.00000       
-67.58727       -68.47357       0.88630         18.00000       
-65.88480       -67.32376       1.43896         18.00000       
-76.06865       -76.01282       0.05583         18.00000       
-69.08808       -68.56700       0.52108         18.00000       
-68.00417       -67.45986       0.54431         18.00000       
-73.76348       -73.37907       0.38441         18.00000       
-61.00241       -60.14744       0.85497         18.00000       
-74.78766       -74.78280       0.00486         18.00000       
-74.47562       -74.44529       0.03033         18.00000       
-65.53542       -64.91199       0.62344         18.00000       
-74.13962       -74.07114       0.06848         18.00000       
-65.30273       -66.94536       1.64263         18.00000       
-57.35661       -56.29310       1.06351         18.00000       
-72.14363       -72.05003       0.09361         18.00000       
-76.16961       -76.08518       0.08443         18.00000       
-70.97771       -70.50964       0.46807         18.00000       
-73.40009       -73.26760       0.13249         18.00000       
-75.90483       -75.65540       0.24943         18.00000       
-75.93308       -75.90145       0.03163         18.00000       
-69.73292       -70.03905       0.30613         18.00000       
-70.24194       -70.43662       0.19468         18.00000       
-45.67783       -44.31799       1.35984         18.00000       
-72.52518       -72.10842       0.41675         18.00000       
-71.79201       -71.35159       0.44041         18.00000       
-70.73832       -70.83684       0.09852         18.00000       
-75.76357       -75.75263       0.01094         18.00000       
-66.82269       -66.24406       0.57863         18.00000       
-76.06408       -75.83643       0.22765         18.00000       
-70.07783       -69.58167       0.49616         18.00000       
-55.32888       -54.17050       1.15838         18.00000       
-62.63173       -61.86902       0.76270         18.00000       
-115.79381      -115.51276      0.28105         64.00000       
-235.40028      -235.95151      0.55123         64.00000       
67.43606        67.41775        0.01831         64.00000       
138.76718       138.74363       0.02355         64.00000       
-244.02640      -244.82529      0.79889         64.00000       
-257.59200      -258.30434      0.71234         64.00000       
-275.19615      -275.13188      0.06426         64.00000       
-207.45428      -207.57759      0.12331         64.00000       
-276.28494      -276.56303      0.27810         64.00000       
-239.88618      -240.56170      0.67553         64.00000       
252.55397       252.61921       0.06525         64.00000       
-270.23673      -270.28262      0.04589         64.00000       
-275.68719      -275.63825      0.04894         64.00000       
-185.58713      -185.95995      0.37282         64.00000       
-264.94534      -265.16720      0.22186         64.00000       
-90.07209       -90.02286       0.04923         64.00000       
221.92925       221.97682       0.04756         64.00000       
284.76476       284.73632       0.02844         64.00000       
-275.72502      -276.57132      0.84631         64.00000       
-276.22422      -276.35591      0.13169         64.00000       
-138.75416      -138.73153      0.02264         64.00000       
-200.62729      -200.86559      0.23830         64.00000       
-159.18414      -159.42970      0.24556         64.00000       
-274.55123      -274.51404      0.03720         64.00000       
-149.26472      -149.39550      0.13079         64.00000       
-193.34649      -193.68103      0.33454         64.00000       
-127.59731      -127.43147      0.16584         64.00000       
