# Reference      Predicted      Error          
1.45260         0.29401         1.15860        
1.45260         0.29401         1.15859        
1.45260         0.29390         1.15870        
-1.45260        -0.29402        1.15858        
-1.45260        -0.29401        1.15859        
-1.45260        -0.29389        1.15871        
2.62547         1.68091         0.94456        
2.62547         1.68090         0.94457        
2.62547         1.68091         0.94456        
-2.62547        -1.68090        0.94457        
-2.62547        -1.68091        0.94456        
-2.62547        -1.68090        0.94457        
-0.50391        -1.86915        1.36525        
-0.50391        -1.86916        1.36525        
-0.50391        -1.86915        1.36525        
0.50391         1.86915         1.36525        
0.50391         1.86915         1.36524        
0.50391         1.86916         1.36526        
-1.29048        -2.70269        1.41221        
-1.29048        -2.70270        1.41222        
-1.29048        -2.70245        1.41197        
1.29048         2.70272         1.41224        
1.29048         2.70270         1.41222        
1.29048         2.70242         1.41195        
2.70010         1.82838         0.87172        
2.70010         1.82841         0.87169        
2.70010         1.82837         0.87173        
-2.70010        -1.82837        0.87173        
-2.70010        -1.82842        0.87168        
-2.70010        -1.82837        0.87173        
2.80953         2.08793         0.72159        
2.80953         2.08794         0.72159        
2.80953         2.08794         0.72159        
-2.80953        -2.08794        0.72159        
-2.80953        -2.08792        0.72161        
-2.80953        -2.08795        0.72158        
2.90239         1.94651         0.95588        
2.90239         1.94651         0.95588        
2.90239         1.94652         0.95588        
-2.90239        -1.94651        0.95588        
-2.90239        -1.94651        0.95589        
-2.90239        -1.94652        0.95587        
2.36867         1.31203         1.05664        
2.36867         1.31202         1.05664        
2.36867         1.31199         1.05667        
-2.36867        -1.31202        1.05665        
-2.36867        -1.31202        1.05664        
-2.36867        -1.31200        1.05666        
2.88271         1.89088         0.99183        
2.88271         1.89089         0.99182        
2.88271         1.89089         0.99182        
-2.88271        -1.89089        0.99182        
-2.88271        -1.89088        0.99183        
-2.88271        -1.89089        0.99182        
2.66425         1.75466         0.90958        
2.66425         1.75466         0.90958        
2.66425         1.75459         0.90966        
-2.66425        -1.75466        0.90959        
-2.66425        -1.75466        0.90958        
-2.66425        -1.75460        0.90965        
-2.56779        -3.91724        1.34946        
-2.56779        -3.91742        1.34963        
-2.56779        -3.91740        1.34962        
2.56779         3.91720         1.34942        
2.56779         3.91744         1.34966        
2.56779         3.91742         1.34963        
2.89065         2.01605         0.87460        
2.89065         2.01605         0.87460        
2.89065         2.01604         0.87461        
-2.89065        -2.01605        0.87460        
-2.89065        -2.01605        0.87460        
-2.89065        -2.01605        0.87460        
2.89960         1.93261         0.96698        
2.89960         1.93260         0.96700        
2.89960         1.93261         0.96699        
-2.89960        -1.93261        0.96699        
-2.89960        -1.93261        0.96699        
-2.89960        -1.93260        0.96699        
2.15711         1.08807         1.06904        
2.15711         1.08806         1.06904        
2.15711         1.08807         1.06903        
-2.15711        -1.08807        1.06904        
-2.15711        -1.08808        1.06903        
-2.15711        -1.08806        1.06905        
2.86020         2.05776         0.80244        
2.86020         2.05778         0.80242        
2.86020         2.05777         0.80243        
-2.86020        -2.05777        0.80243        
-2.86020        -2.05776        0.80244        
-2.86020        -2.05777        0.80243        
1.18648         -0.00162        1.18810        
1.18648         -0.00153        1.18801        
1.18648         -0.00163        1.18811        
-1.18648        0.00163         1.18811        
-1.18648        0.00153         1.18801        
-1.18648        0.00162         1.18811        
-2.22131        -3.61333        1.39202        
-2.22131        -3.61351        1.39221        
-2.22131        -3.61351        1.39220        
2.22131         3.61333         1.39202        
2.22131         3.61350         1.39219        
2.22131         3.61352         1.39221        
-2.93459        -4.24851        1.31393        
-2.93459        -4.24848        1.31389        
-2.93459        -4.24848        1.31390        
2.93459         4.24847         1.31388        
2.93459         4.24850         1.31391        
2.93459         4.24851         1.31392        
2.85479         1.84917         1.00562        
2.85479         1.84917         1.00562        
2.85479         1.84917         1.00562        
-2.85479        -1.84917        1.00562        
-2.85479        -1.84917        1.00562        
-2.85479        -1.84917        1.00562        
2.88968         1.90480         0.98487        
2.88968         1.90480         0.98487        
2.88968         1.90481         0.98487        
-2.88968        -1.90481        0.98487        
-2.88968        -1.90480        0.98487        
-2.88968        -1.90480        0.98487        
1.68736         0.55218         1.13518        
1.68736         0.55211         1.13525        
1.68736         0.55229         1.13507        
-1.68736        -0.55218        1.13518        
-1.68736        -0.55211        1.13525        
-1.68736        -0.55230        1.13506        
2.30347         1.23828         1.06519        
2.30347         1.23827         1.06521        
2.30347         1.23823         1.06524        
-2.30347        -1.23827        1.06520        
-2.30347        -1.23828        1.06519        
-2.30347        -1.23823        1.06525        
1.89451         0.79695         1.09755        
1.89451         0.79702         1.09749        
1.89451         0.79702         1.09748        
-1.89451        -0.79695        1.09755        
-1.89451        -0.79702        1.09748        
-1.89451        -0.79702        1.09749        
2.90363         1.96042         0.94321        
2.90363         1.96042         0.94321        
2.90363         1.96042         0.94321        
-2.90363        -1.96042        0.94322        
-2.90363        -1.96042        0.94322        
-2.90363        -1.96042        0.94321        
1.79431         0.67694         1.11737        
1.79431         0.67701         1.11730        
1.79431         0.67701         1.11730        
-1.79431        -0.67694        1.11737        
-1.79431        -0.67701        1.11730        
-1.79431        -0.67701        1.11730        
2.23293         1.16440         1.06853        
2.23293         1.16441         1.06852        
2.23293         1.16448         1.06845        
-2.23293        -1.16441        1.06852        
-2.23293        -1.16441        1.06853        
-2.23293        -1.16448        1.06846        
1.57328         0.42383         1.14945        
1.57328         0.42383         1.14945        
1.57328         0.42376         1.14952        
-1.57328        -0.42383        1.14945        
-1.57328        -0.42384        1.14944        
-1.57328        -0.42375        1.14953        
2.88270         2.02996         0.85274        
2.88270         2.02994         0.85276        
2.88270         2.02996         0.85274        
-2.88270        -2.02995        0.85275        
-2.88270        -2.02996        0.85274        
-2.88270        -2.02995        0.85275        
-3.73329        -5.19786        1.46457        
-3.73329        -5.19757        1.46428        
-3.73329        -5.19787        1.46458        
3.73329         5.19790         1.46461        
3.73329         5.19754         1.46425        
3.73329         5.19786         1.46457        
2.84536         2.07167         0.77369        
2.84536         2.07167         0.77369        
2.84536         2.07167         0.77369        
-2.84536        -2.07167        0.77369        
-2.84536        -2.07167        0.77369        
-2.84536        -2.07167        0.77369        
2.89534         1.91870         0.97664        
2.89534         1.91870         0.97665        
2.89534         1.91870         0.97664        
-2.89534        -1.91871        0.97664        
-2.89534        -1.91871        0.97664        
-2.89534        -1.91869        0.97665        
2.87457         1.87697         0.99760        
2.87457         1.87698         0.99759        
2.87457         1.87698         0.99760        
-2.87457        -1.87698        0.99760        
-2.87457        -1.87697        0.99760        
-2.87457        -1.87698        0.99759        
2.48454         1.45958         1.02496        
2.48454         1.45957         1.02497        
2.48454         1.45952         1.02502        
-2.48454        -1.45957        1.02497        
-2.48454        -1.45957        1.02496        
-2.48454        -1.45953        1.02501        
0.35693         -0.93889        1.29582        
0.35693         -0.93889        1.29581        
0.35693         -0.93889        1.29581        
-0.35693        0.93889         1.29581        
-0.35693        0.93889         1.29582        
-0.35693        0.93888         1.29581        
0.15994         -1.14356        1.30350        
0.15994         -1.14358        1.30352        
0.15994         -1.14338        1.30332        
-0.15994        1.14357         1.30351        
-0.15994        1.14355         1.30349        
-0.15994        1.14340         1.30333        
1.32377         0.15738         1.16639        
1.32377         0.15730         1.16647        
1.32377         0.15730         1.16647        
-1.32377        -0.15739        1.16638        
-1.32377        -0.15729        1.16648        
-1.32377        -0.15729        1.16647        
-1.01339        -2.41190        1.39851        
-1.01339        -2.41189        1.39851        
-1.01339        -2.41189        1.39850        
1.01339         2.41189         1.39850        
1.01339         2.41189         1.39851        
1.01339         2.41190         1.39851        
2.73221         1.90220         0.83001        
2.73221         1.90220         0.83001        
2.73221         1.90224         0.82997        
-2.73221        -1.90221        0.83000        
-2.73221        -1.90221        0.83000        
-2.73221        -1.90223        0.82998        
2.76125         1.97595         0.78530        
2.76125         1.97596         0.78530        
2.76125         1.97600         0.78526        
-2.76125        -1.97596        0.78530        
-2.76125        -1.97595        0.78530        
-2.76125        -1.97600        0.78526        
-0.26994        -1.60621        1.33627        
-0.26994        -1.60607        1.33613        
-0.26994        -1.60622        1.33628        
0.26994         1.60622         1.33628        
0.26994         1.60606         1.33612        
0.26994         1.60622         1.33628        
2.78682         2.04810         0.73872        
2.78682         2.04810         0.73872        
2.78682         2.04811         0.73871        
-2.78682        -2.04810        0.73872        
-2.78682        -2.04810        0.73872        
-2.78682        -2.04810        0.73872        
2.86524         1.86306         1.00217        
2.86524         1.86308         1.00215        
2.86524         1.86308         1.00216        
-2.86524        -1.86308        1.00215        
-2.86524        -1.86307        1.00217        
-2.86524        -1.86308        1.00216        
-1.58363        -3.00568        1.42206        
-1.58363        -3.00570        1.42207        
-1.58363        -3.00552        1.42190        
1.58363         3.00569         1.42207        
1.58363         3.00570         1.42207        
1.58363         3.00551         1.42189        
2.87257         2.04385         0.82873        
2.87257         2.04386         0.82871        
2.87257         2.04386         0.82871        
-2.87257        -2.04385        0.82872        
-2.87257        -2.04386        0.82872        
-2.87257        -2.04386        0.82871        
2.42904         1.38582         1.04322        
2.42904         1.38581         1.04322        
2.42904         1.38586         1.04318        
-2.42904        -1.38581        1.04322        
-2.42904        -1.38582        1.04322        
-2.42904        -1.38586        1.04318        
0.71565         -0.55479        1.27043        
0.71565         -0.55479        1.27044        
0.71565         -0.55479        1.27044        
-0.71565        0.55479         1.27044        
-0.71565        0.55479         1.27044        
-0.71565        0.55479         1.27043        
2.82926         2.08557         0.74370        
2.82926         2.08559         0.74368        
2.82926         2.08558         0.74368        
-2.82926        -2.08559        0.74368        
-2.82926        -2.08557        0.74370        
-2.82926        -2.08558        0.74368        
1.98814         0.90622         1.08193        
1.98814         0.90617         1.08197        
1.98814         0.90616         1.08198        
-1.98814        -0.90622        1.08192        
-1.98814        -0.90616        1.08199        
-1.98814        -0.90617        1.08198        
2.53575         1.53333         1.00242        
2.53575         1.53332         1.00242        
2.53575         1.53332         1.00242        
-2.53575        -1.53333        1.00242        
-2.53575        -1.53332        1.00242        
-2.53575        -1.53332        1.00242        
2.90314         1.97433         0.92882        
2.90314         1.97433         0.92881        
2.90314         1.97432         0.92882        
-2.90314        -1.97432        0.92882        
-2.90314        -1.97433        0.92881        
-2.90314        -1.97432        0.92882        
2.90077         1.98825         0.91253        
2.90077         1.98822         0.91255        
2.90077         1.98823         0.91254        
-2.90077        -1.98824        0.91254        
-2.90077        -1.98824        0.91254        
-2.90077        -1.98823        0.91255        
-3.32266        -4.68132        1.35866        
-3.32266        -4.68132        1.35866        
-3.32266        -4.68174        1.35908        
3.32266         4.68133         1.35867        
3.32266         4.68132         1.35867        
3.32266         4.68172         1.35907        
1.03831         -0.17939        1.21770        
1.03831         -0.17940        1.21771        
1.03831         -0.17939        1.21771        
-1.03831        0.17940         1.21771        
-1.03831        0.17939         1.21771        
-1.03831        0.17939         1.21770        
0.88156         -0.36457        1.24614        
0.88156         -0.36469        1.24625        
0.88156         -0.36458        1.24614        
-0.88156        0.36457         1.24614        
-0.88156        0.36469         1.24625        
-0.88156        0.36457         1.24614        
2.89676         2.00215         0.89461        
2.89676         2.00213         0.89463        
2.89676         2.00213         0.89464        
-2.89676        -2.00213        0.89463        
-2.89676        -2.00215        0.89462        
-2.89676        -2.00214        0.89463        
2.58254         1.60712         0.97542        
2.58254         1.60712         0.97542        
2.58254         1.60711         0.97543        
-2.58254        -1.60711        0.97543        
-2.58254        -1.60712        0.97542        
-2.58254        -1.60712        0.97542        
-0.04880        -1.36280        1.31400        
-0.04880        -1.36280        1.31400        
-0.04880        -1.36280        1.31400        
0.04880         1.36280         1.31400        
0.04880         1.36280         1.31400        
0.04880         1.36280         1.31400        
2.07558         1.00245         1.07314        
2.07558         1.00246         1.07313        
2.07558         1.00246         1.07312        
-2.07558        -1.00246        1.07312        
-2.07558        -1.00245        1.07313        
-2.07558        -1.00245        1.07313        
0.54017         -0.74543        1.28560        
0.54017         -0.74542        1.28559        
0.54017         -0.74560        1.28577        
-0.54017        0.74542         1.28559        
-0.54017        0.74544         1.28561        
-0.54017        0.74558         1.28575        
-1.89347        -3.30960        1.41613        
-1.89347        -3.30942        1.41595        
-1.89347        -3.30985        1.41638        
1.89347         3.30958         1.41611        
1.89347         3.30941         1.41594        
1.89347         3.30987         1.41640        
-0.75156        -2.13695        1.38539        
-0.75156        -2.13710        1.38554        
-0.75156        -2.13695        1.38539        
0.75156         2.13695         1.38539        
0.75156         2.13711         1.38555        
0.75156         2.13695         1.38539        
0.00442         0.00494         0.00052        
0.00442         0.00494         0.00051        
0.00442         0.00469         0.00027        
0.00442         0.00474         0.00032        
0.00442         0.00475         0.00032        
0.00442         0.00488         0.00046        
0.00442         0.00488         0.00046        
0.00442         0.00488         0.00046        
0.00442         0.00475         0.00033        
-0.00442        -0.00488        0.00045        
-0.00442        -0.00488        0.00046        
-0.00442        -0.00475        0.00033        
-0.00442        -0.00475        0.00032        
-0.00442        -0.00474        0.00031        
-0.00442        -0.00488        0.00046        
-0.00442        -0.00494        0.00052        
-0.00442        -0.00493        0.00051        
-0.00442        -0.00469        0.00027        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
