# Reference      Predicted      Error          #atoms         
-20.55840       -19.72073       0.83767         6.00000        
-19.61686       -19.60149       0.01537         6.00000        
-19.55847       -18.12416       1.43431         6.00000        
-18.88291       -17.35969       1.52323         6.00000        
-19.37692       -19.44470       0.06778         6.00000        
-18.84496       -19.06211       0.21715         6.00000        
-17.15459       -17.70273       0.54815         6.00000        
-20.12501       -19.87017       0.25484         6.00000        
-16.49490       -17.16418       0.66928         6.00000        
-19.49956       -19.52622       0.02666         6.00000        
-17.61977       -16.08239       1.53739         6.00000        
-17.95273       -18.35869       0.40597         6.00000        
-16.99098       -17.56820       0.57722         6.00000        
-20.35047       -19.93203       0.41844         6.00000        
-18.41041       -18.72616       0.31575         6.00000        
-20.51671       -19.55549       0.96121         6.00000        
-17.97835       -16.43104       1.54731         6.00000        
-17.23040       -15.71266       1.51774         6.00000        
-15.99381       -16.76702       0.77321         6.00000        
-16.66103       -17.29850       0.63748         6.00000        
-20.55104       -19.83686       0.71418         6.00000        
-20.20772       -19.89980       0.30793         6.00000        
-20.50016       -19.90689       0.59328         6.00000        
-17.31694       -17.83664       0.51971         6.00000        
-20.53077       -19.87746       0.65331         6.00000        
-20.28302       -19.92057       0.36245         6.00000        
-20.56016       -19.78473       0.77543         6.00000        
-18.10743       -18.48408       0.37665         6.00000        
-16.35228       -14.90657       1.44571         6.00000        
-18.55808       -18.84216       0.28408         6.00000        
-16.82638       -17.43332       0.60694         6.00000        
-16.32839       -17.03058       0.70218         6.00000        
-19.93934       -19.78572       0.15361         6.00000        
-20.15953       -18.90810       1.25143         6.00000        
-20.03816       -18.73562       1.30254         6.00000        
-20.54387       -19.64444       0.89943         6.00000        
-19.13191       -17.63233       1.49958         6.00000        
-19.24988       -19.35712       0.10724         6.00000        
-19.11872       -19.26395       0.14523         6.00000        
-19.73851       -18.34425       1.39427         6.00000        
-18.98374       -19.16548       0.18175         6.00000        
-16.16117       -16.89807       0.73691         6.00000        
-18.60832       -17.06888       1.53944         6.00000        
-18.26010       -18.60674       0.34663         6.00000        
-20.03551       -19.83198       0.20353         6.00000        
-20.34942       -19.20903       1.14039         6.00000        
-18.70307       -18.95419       0.25112         6.00000        
-20.45938       -19.92553       0.53384         6.00000        
-19.83738       -19.73159       0.10579         6.00000        
-17.47818       -17.96956       0.49138         6.00000        
-17.63799       -18.10113       0.46314         6.00000        
-16.80843       -15.32108       1.48735         6.00000        
-20.47555       -19.45352       1.02202         6.00000        
-20.42004       -19.33816       1.08189         6.00000        
-17.79622       -18.23099       0.43477         6.00000        
-19.72965       -19.67006       0.05959         6.00000        
-19.89846       -18.54785       1.35062         6.00000        
-20.40930       -19.93377       0.47553         6.00000        
-20.26275       -19.06579       1.19696         6.00000        
-18.30742       -16.75954       1.54789         6.00000        
-19.35665       -17.88705       1.46960         6.00000        
-74.27615       -74.88724       0.61110         18.00000       
-75.56312       -76.64863       1.08552         18.00000       
-64.14075       -63.21652       0.92423         18.00000       
-59.24629       -58.08209       1.16420         18.00000       
-75.07429       -76.05830       0.98402         18.00000       
-73.78020       -74.53740       0.75720         18.00000       
-68.68062       -68.87135       0.19073         18.00000       
-76.23238       -77.44734       1.21496         18.00000       
-66.45947       -66.54547       0.08599         18.00000       
-75.33393       -76.36996       1.03602         18.00000       
-50.82620       -50.25345       0.57274         18.00000       
-71.22120       -71.64562       0.42442         18.00000       
-68.13868       -68.29417       0.15549         18.00000       
-76.17448       -77.34435       1.16988         18.00000       
-72.58061       -73.16783       0.58721         18.00000       
-73.18188       -73.52260       0.34072         18.00000       
-53.15414       -52.40807       0.74607         18.00000       
-48.33693       -47.98105       0.35587         18.00000       
-64.71538       -64.80261       0.08722         18.00000       
-67.02746       -67.12970       0.10223         18.00000       
-75.10442       -75.94358       0.83916         18.00000       
-76.25591       -77.46750       1.21159         18.00000       
-75.69384       -76.70616       1.01232         18.00000       
-69.21194       -69.44313       0.23119         18.00000       
-75.42761       -76.36056       0.93296         18.00000       
-76.23731       -77.43417       1.19685         18.00000       
-74.72064       -75.45307       0.73242         18.00000       
-71.69001       -72.16769       0.47769         18.00000       
-42.84073       -43.05807       0.21734         18.00000       
-72.99964       -73.64314       0.64350         18.00000       
-67.58727       -67.71311       0.12584         18.00000       
-65.88480       -65.96195       0.07716         18.00000       
-76.06865       -77.25850       1.18984         18.00000       
-69.08808       -68.67586       0.41222         18.00000       
-68.00417       -67.44943       0.55474         18.00000       
-73.76348       -74.24434       0.48086         18.00000       
-61.00241       -59.89882       1.10359         18.00000       
-74.78766       -75.71649       0.92882         18.00000       
-74.47562       -75.34733       0.87171         18.00000       
-65.53542       -64.72320       0.81222         18.00000       
-74.13962       -74.95361       0.81399         18.00000       
-65.30273       -65.38068       0.07795         18.00000       
-57.35661       -56.39594       0.96068         18.00000       
-72.14363       -72.67555       0.53192         18.00000       
-76.16961       -77.37668       1.20707         18.00000       
-70.97771       -70.86778       0.10993         18.00000       
-73.40009       -74.10012       0.70004         18.00000       
-75.90483       -76.98334       1.07851         18.00000       
-75.93308       -77.09578       1.16270         18.00000       
-69.73292       -70.00797       0.27505         18.00000       
-70.24194       -70.56434       0.32240         18.00000       
-45.67783       -45.58426       0.09357         18.00000       
-72.52518       -72.72029       0.19511         18.00000       
-71.79201       -71.83584       0.04383         18.00000       
-70.73832       -71.11071       0.37239         18.00000       
-75.76357       -76.89152       1.12794         18.00000       
-66.82269       -66.13302       0.68967         18.00000       
-76.06408       -77.19507       1.13099         18.00000       
-70.07783       -69.81487       0.26296         18.00000       
-55.32888       -54.45289       0.87599         18.00000       
-62.63173       -61.60951       1.02222         18.00000       
-115.79381      -111.21381      4.58000         64.00000       
-235.40028      -238.35765      2.95736         64.00000       
67.43606        67.52937        0.09331         64.00000       
138.76718       141.15529       2.38811         64.00000       
-244.02640      -246.71200      2.68560         64.00000       
-257.59200      -257.32909      0.26290         64.00000       
-275.19615      -274.23199      0.96415         64.00000       
-207.45428      -209.55310      2.09882         64.00000       
-276.28494      -274.43045      1.85449         64.00000       
-239.88618      -242.74281      2.85664         64.00000       
252.55397       252.39057       0.16339         64.00000       
-270.23673      -270.53090      0.29417         64.00000       
-275.68719      -274.45568      1.23152         64.00000       
-185.58713      -186.35264      0.76551         64.00000       
-264.94534      -265.39759      0.45225         64.00000       
-90.07209       -88.48357       1.58852         64.00000       
221.92925       222.01307       0.08382         64.00000       
284.76476       284.15409       0.61067         64.00000       
-275.72502      -273.66869      2.05632         64.00000       
-276.22422      -274.53981      1.68441         64.00000       
-138.75416      -136.03476      2.71940         64.00000       
-200.62729      -202.33739      1.71010         64.00000       
-159.18414      -158.06562      1.11851         64.00000       
-274.55123      -273.86668      0.68455         64.00000       
-149.26472      -147.38410      1.88062         64.00000       
-193.34649      -194.61313      1.26665         64.00000       
-127.59731      -123.98802      3.60929         64.00000       
-268.68454      -269.10815      0.42361         64.00000       
354.19763       351.95020       2.24743         64.00000       
-262.74077      -263.06503      0.32426         64.00000       
-276.02522      -274.55325      1.47197         64.00000       
-276.22033      -274.24026      1.98006         64.00000       
-219.81379      -222.50510      2.69131         64.00000       
-11.93182       -12.10668       0.17486         64.00000       
6.37103         6.01095         0.36008         64.00000       
-103.30192      -101.53470      1.76722         64.00000       
113.76370       115.17228       1.40858         64.00000       
-247.85871      -250.28633      2.42762         64.00000       
-251.38996      -249.91979      1.47016         64.00000       
46.01149        45.75915        0.25234         64.00000       
-254.62903      -253.85628      0.77274         64.00000       
-276.03016      -273.98416      2.04600         64.00000       
165.07822       165.30080       0.22257         64.00000       
-266.92721      -267.40450      0.47729         64.00000       
-213.84589      -216.27326      2.42736         64.00000       
-45.75468       -45.22425       0.53043         64.00000       
-260.29336      -260.38445      0.09110         64.00000       
-168.52738      -168.10499      0.42239         64.00000       
-225.37724      -228.25594      2.87870         64.00000       
-273.73924      -273.33876      0.40048         64.00000       
-272.75792      -272.62324      0.13469         64.00000       
318.61252       317.33026       1.28226         64.00000       
-76.10322       -74.79386       1.30936         64.00000       
-61.34023       -60.40514       0.93509         64.00000       
-271.59510      -271.69513      0.10003         64.00000       
-230.57298      -233.53537      2.96239         64.00000       
25.66765        25.27437        0.39328         64.00000       
-177.31424      -177.52594      0.21170         64.00000       
-29.30088       -29.15633       0.14455         64.00000       
192.80490       192.99325       0.18835         64.00000       
89.99643        90.64731        0.65087         64.00000       
-246.53152      -245.61560      0.91592         64.00000       
-283.76737      -286.84130      3.07393         64.00000       
-167.17505      -166.75584      0.41921         64.00000       
-133.62061      -133.74721      0.12660         64.00000       
-284.86920      -287.77416      2.90496         64.00000       
-285.19517      -286.51299      1.31782         64.00000       
-276.31571      -276.79241      0.47670         64.00000       
-277.69094      -280.25349      2.56255         64.00000       
-270.58768      -270.80631      0.21863         64.00000       
-284.39867      -287.41605      3.01738         64.00000       
-78.34116       -80.09608       1.75492         64.00000       
-281.80863      -283.14689      1.33826         64.00000       
-274.98381      -275.34088      0.35707         64.00000       
-271.35137      -273.14596      1.79459         64.00000       
-284.00081      -285.61532      1.61451         64.00000       
-236.29653      -234.24474      2.05179         64.00000       
-93.40344       -94.54028       1.13684         64.00000       
-62.38662       -64.93235       2.54573         64.00000       
-265.67191      -266.09194      0.42002         64.00000       
-272.11429      -272.34342      0.22913         64.00000       
-255.25401      -255.26664      0.01263         64.00000       
-275.82411      -278.15585      2.33175         64.00000       
-262.60615      -263.41036      0.80421         64.00000       
-277.57714      -278.20602      0.62889         64.00000       
-259.09012      -259.51414      0.42402         64.00000       
-273.71599      -275.78903      2.07304         64.00000       
-251.07100      -250.64271      0.42829         64.00000       
-282.64175      -284.11529      1.47355         64.00000       
-27.58983       -32.34066       4.75082         64.00000       
-284.52888      -286.11241      1.58354         64.00000       
-273.58128      -273.85642      0.27514         64.00000       
-269.00148      -269.24949      0.24800         64.00000       
-280.74102      -283.65833      2.91731         64.00000       
-203.09999      -201.71000      1.38999         64.00000       
-194.97027      -193.85068      1.11959         64.00000       
-241.61143      -240.15853      1.45290         64.00000       
-145.49219      -145.43977      0.05242         64.00000       
-285.16799      -287.93316      2.76517         64.00000       
-285.32151      -286.86855      1.54703         64.00000       
-177.04645      -176.41292      0.63353         64.00000       
-285.33032      -286.38137      1.05105         64.00000       
-267.36009      -267.67734      0.31726         64.00000       
-121.00196      -121.36241      0.36045         64.00000       
-283.37072      -284.94377      1.57305         64.00000       
-279.32683      -282.08617      2.75934         64.00000       
-217.79641      -213.49550      4.30092         64.00000       
-284.92481      -286.41749      1.49268         64.00000       
-265.81100      -266.97177      1.16077         64.00000       
-281.94489      -284.97314      3.02825         64.00000       
-278.76036      -279.56763      0.80727         64.00000       
-279.86415      -280.85652      0.99237         64.00000       
-45.48741       -49.02269       3.53527         64.00000       
-230.57524      -227.84748      2.72776         64.00000       
-224.40963      -220.93999      3.46964         64.00000       
-280.88291      -282.05512      1.17221         64.00000       
-282.95169      -286.03233      3.08064         64.00000       
-186.29364      -185.43529      0.85835         64.00000       
-268.72534      -270.21202      1.48668         64.00000       
-210.69545      -209.07581      1.61964         64.00000       
-107.61183      -108.29122      0.67939         64.00000       
-156.67615      -156.43924      0.23692         64.00000       
-11.02388       -10.61163       0.41225         4.00000        
-18.20424       -18.22909       0.02485         4.00000        
-16.23381       -15.98997       0.24384         4.00000        
-16.92996       -16.70698       0.22298         4.00000        
-18.14202       -18.16557       0.02355         4.00000        
-18.18948       -18.22242       0.03294         4.00000        
-16.64147       -16.60574       0.03573         4.00000        
-16.47513       -16.23472       0.24041         4.00000        
-16.15373       -16.09282       0.06091         4.00000        
-15.57742       -15.45024       0.12718         4.00000        
-17.83670       -17.76357       0.07314         4.00000        
-17.52206       -17.37260       0.14945         4.00000        
-17.68861       -17.57566       0.11295         4.00000        
-17.04891       -17.06618       0.01728         4.00000        
-18.06546       -18.06554       0.00009         4.00000        
-15.98498       -15.73885       0.24613         4.00000        
-18.01608       -18.09983       0.08375         4.00000        
-18.18313       -18.26924       0.08611         4.00000        
-17.38338       -17.43538       0.05201         4.00000        
-13.22443       -12.91471       0.30972         4.00000        
-17.86108       -17.94939       0.08830         4.00000        
-17.33871       -17.15810       0.18062         4.00000        
-17.14084       -16.93531       0.20554         4.00000        
-14.90429       -14.68680       0.21749         4.00000        
-14.12371       -13.78848       0.33523         4.00000        
-16.70757       -16.47358       0.23399         4.00000        
-12.19559       -11.82985       0.36573         4.00000        
-17.65215       -17.72647       0.07432         4.00000        
-18.12184       -18.21262       0.09077         4.00000        
-17.96286       -17.92928       0.03358         4.00000        
-132.27560      -132.71442      0.43882         32.00000       
-138.78137      -138.19284      0.58853         32.00000       
-127.44122      -128.06767      0.62646         32.00000       
-135.74294      -134.45733      1.28561         32.00000       
-138.40146      -137.75605      0.64541         32.00000       
-136.91892      -136.35903      0.55989         32.00000       
-137.39937      -137.00694      0.39243         32.00000       
-134.77223      -134.28437      0.48786         32.00000       
-138.75994      -138.24229      0.51765         32.00000       
-136.90759      -136.49154      0.41605         32.00000       
-139.34216      -138.42524      0.91692         32.00000       
-136.19626      -135.54355      0.65271         32.00000       
-136.51028      -135.89668      0.61359         32.00000       
-137.72594      -137.36780      0.35815         32.00000       
-138.05404      -137.31496      0.73908         32.00000       
-137.79472      -137.41844      0.37627         32.00000       
-139.37239      -138.50433      0.86806         32.00000       
-135.27012      -135.34633      0.07620         32.00000       
-136.32320      -135.67412      0.64908         32.00000       
-138.87780      -138.80436      0.07344         32.00000       
-137.90157      -137.53134      0.37023         32.00000       
-138.37207      -137.62814      0.74394         32.00000       
-134.07365      -134.15827      0.08462         32.00000       
-135.22388      -134.95120      0.27268         32.00000       
-137.17230      -137.32360      0.15129         32.00000       
-138.29985      -138.08718      0.21267         32.00000       
-137.76415      -137.19848      0.56567         32.00000       
-135.85834      -135.60271      0.25563         32.00000       
-135.02822      -134.85288      0.17534         32.00000       
-138.50408      -138.48583      0.01825         32.00000       
-136.54103      -135.64203      0.89900         32.00000       
-138.36475      -137.90640      0.45834         32.00000       
-135.83649      -135.03270      0.80379         32.00000       
-133.13779      -132.43704      0.70075         32.00000       
-139.18339      -139.11989      0.06351         32.00000       
-137.31792      -136.98513      0.33279         32.00000       
-138.41032      -138.11760      0.29272         32.00000       
-134.02229      -133.42137      0.60092         32.00000       
-138.22159      -137.22917      0.99241         32.00000       
-135.71377      -135.60540      0.10837         32.00000       
-138.78756      -137.94294      0.84461         32.00000       
-128.59046      -130.01640      1.42593         32.00000       
-138.53668      -138.20589      0.33079         32.00000       
-138.64633      -138.30069      0.34564         32.00000       
-135.13504      -134.85065      0.28439         32.00000       
-137.33534      -136.61480      0.72053         32.00000       
-139.60733      -139.09270      0.51463         32.00000       
-140.15307      -139.94284      0.21023         32.00000       
-133.71461      -133.06079      0.65383         32.00000       
-138.98379      -138.55371      0.43009         32.00000       
-137.30663      -137.00606      0.30057         32.00000       
-138.02960      -136.70190      1.32771         32.00000       
-138.44877      -138.74529      0.29651         32.00000       
-139.74326      -139.54665      0.19661         32.00000       
-137.78570      -137.34510      0.44060         32.00000       
-136.96142      -136.71489      0.24653         32.00000       
-138.01189      -138.21681      0.20492         32.00000       
-139.68471      -139.40488      0.27982         32.00000       
-135.31228      -134.72345      0.58883         32.00000       
-137.13991      -136.71924      0.42066         32.00000       
-138.26593      -138.21250      0.05343         32.00000       
-138.58207      -138.58335      0.00128         32.00000       
-138.86178      -138.87116      0.00939         32.00000       
-139.63879      -138.98307      0.65571         32.00000       
-139.03134      -138.42818      0.60316         32.00000       
-137.35679      -136.88149      0.47530         32.00000       
-135.70169      -135.64589      0.05579         32.00000       
-136.41224      -135.05023      1.36201         32.00000       
-134.79773      -134.38609      0.41164         32.00000       
-136.15569      -135.84546      0.31023         32.00000       
-135.15734      -134.67064      0.48670         32.00000       
-139.73267      -139.42618      0.30648         32.00000       
-138.17224      -137.21844      0.95380         32.00000       
-139.46249      -139.13481      0.32768         32.00000       
-136.55909      -136.51407      0.04501         32.00000       
-135.10287      -134.59794      0.50493         32.00000       
-136.14537      -136.75000      0.60463         32.00000       
-135.41264      -135.01528      0.39736         32.00000       
-135.69710      -135.53088      0.16622         32.00000       
-136.62103      -135.62662      0.99441         32.00000       
-138.47859      -137.44625      1.03234         32.00000       
-137.28332      -136.54205      0.74126         32.00000       
-138.87447      -137.95743      0.91704         32.00000       
-136.34838      -135.84972      0.49865         32.00000       
-139.84774      -138.99357      0.85416         32.00000       
-138.61970      -138.63776      0.01806         32.00000       
-137.70367      -137.49279      0.21088         32.00000       
-136.68415      -135.23064      1.45350         32.00000       
-139.70177      -138.49214      1.20962         32.00000       
-135.61236      -135.25363      0.35873         32.00000       
-137.30503      -136.74630      0.55873         32.00000       
-135.36001      -134.70400      0.65600         32.00000       
-136.66232      -136.22683      0.43549         32.00000       
-137.04429      -136.80480      0.23949         32.00000       
-133.96695      -133.13528      0.83168         32.00000       
-139.52595      -139.25467      0.27128         32.00000       
-140.40975      -140.01646      0.39329         32.00000       
-138.79005      -138.79721      0.00716         32.00000       
-135.85319      -135.88321      0.03002         32.00000       
-136.46775      -136.09979      0.36796         32.00000       
-134.07380      -133.58837      0.48543         32.00000       
-139.47023      -138.72600      0.74422         32.00000       
-137.41204      -136.82372      0.58832         32.00000       
-139.64004      -139.27035      0.36969         32.00000       
-138.86587      -137.77901      1.08686         32.00000       
-136.55093      -136.34041      0.21052         32.00000       
-138.05726      -136.77706      1.28021         32.00000       
-137.69801      -136.99131      0.70671         32.00000       
-136.79342      -136.64670      0.14673         32.00000       
-138.70122      -138.55627      0.14495         32.00000       
-133.43585      -133.18721      0.24864         32.00000       
-136.12258      -135.61089      0.51169         32.00000       
-137.22950      -137.13469      0.09481         32.00000       
-137.30896      -137.10788      0.20108         32.00000       
-138.80800      -138.03386      0.77415         32.00000       
-138.71418      -138.00541      0.70877         32.00000       
-138.56926      -138.53150      0.03776         32.00000       
-137.02384      -136.37068      0.65315         32.00000       
-139.25101      -139.50371      0.25270         32.00000       
-136.19097      -135.72343      0.46754         32.00000       
-138.06980      -137.51978      0.55002         32.00000       
-138.73671      -137.85382      0.88289         32.00000       
-136.64274      -136.43586      0.20689         32.00000       
-138.86861      -138.57629      0.29232         32.00000       
-138.53310      -137.92180      0.61130         32.00000       
-137.30423      -136.71673      0.58750         32.00000       
-135.40327      -135.33994      0.06333         32.00000       
-138.57864      -138.53708      0.04155         32.00000       
-135.36801      -135.08192      0.28608         32.00000       
-136.58620      -136.76473      0.17853         32.00000       
-137.25059      -136.64647      0.60412         32.00000       
-137.50627      -137.23179      0.27448         32.00000       
-137.14667      -136.58378      0.56288         32.00000       
-137.04440      -136.42778      0.61663         32.00000       
-138.97383      -139.44975      0.47592         32.00000       
-134.32063      -133.75663      0.56400         32.00000       
-138.43273      -137.94244      0.49029         32.00000       
-136.35422      -136.59197      0.23774         32.00000       
-138.36516      -136.95026      1.41491         32.00000       
-136.03196      -135.83276      0.19920         32.00000       
-138.82079      -138.02576      0.79503         32.00000       
-135.55551      -135.20918      0.34634         32.00000       
-137.20571      -136.83030      0.37541         32.00000       
-137.70836      -136.75994      0.94843         32.00000       
-135.17610      -134.09405      1.08205         32.00000       
-137.80916      -137.14872      0.66044         32.00000       
-137.27250      -137.39212      0.11962         32.00000       
-139.38144      -139.01081      0.37063         32.00000       
-138.31187      -137.87086      0.44101         32.00000       
-133.84222      -133.48092      0.36130         32.00000       
-137.55380      -137.54101      0.01279         32.00000       
-137.10002      -136.98854      0.11148         32.00000       
-138.99936      -138.01396      0.98540         32.00000       
-137.64756      -136.93904      0.70852         32.00000       
-137.20338      -136.77854      0.42484         32.00000       
-139.32860      -138.86415      0.46444         32.00000       
-134.91356      -133.20592      1.70764         32.00000       
-137.93707      -138.03465      0.09759         32.00000       
-137.26871      -136.97876      0.28996         32.00000       
-138.78388      -138.61016      0.17372         32.00000       
-136.37365      -136.74274      0.36909         32.00000       
-139.33109      -139.17914      0.15195         32.00000       
-139.49984      -139.41366      0.08618         32.00000       
-137.91456      -137.35557      0.55899         32.00000       
-137.43994      -137.02967      0.41027         32.00000       
-139.53877      -139.08821      0.45057         32.00000       
-138.65894      -137.71335      0.94560         32.00000       
-137.31938      -137.27595      0.04342         32.00000       
-138.53826      -138.21626      0.32200         32.00000       
-132.90938      -131.83350      1.07588         32.00000       
-137.27958      -137.29501      0.01543         32.00000       
-138.26407      -138.09381      0.17026         32.00000       
-137.03003      -137.10676      0.07673         32.00000       
-137.90587      -136.38851      1.51736         32.00000       
-138.86799      -138.53802      0.32996         32.00000       
-136.83028      -134.94818      1.88210         32.00000       
-138.00580      -137.36607      0.63974         32.00000       
-137.13329      -136.41025      0.72303         32.00000       
-139.37112      -138.95806      0.41305         32.00000       
-137.68412      -136.88079      0.80333         32.00000       
-134.58437      -134.62728      0.04291         32.00000       
-137.22817      -136.44717      0.78101         32.00000       
-137.18023      -136.25913      0.92109         32.00000       
-137.47823      -137.17284      0.30539         32.00000       
