# Reference      Predicted      Error          #atoms         
-2.24181        -2.27846        0.03665         8.00000        
-2.67323        -3.08128        0.40804         8.00000        
-2.95572        -3.08330        0.12758         8.00000        
-2.66184        -2.26037        0.40147         8.00000        
-3.54854        -3.05912        0.48941         8.00000        
-0.85254        -0.84067        0.01187         8.00000        
-1.10314        -1.24519        0.14205         8.00000        
-1.74661        -2.16795        0.42134         8.00000        
-1.83514        -1.86840        0.03325         8.00000        
-2.88790        -2.66596        0.22194         8.00000        
-0.35092        -0.34445        0.00647         8.00000        
-0.47571        -0.48732        0.01161         8.00000        
-0.92757        -1.04850        0.12093         8.00000        
-1.20987        -1.15659        0.05328         8.00000        
-2.16844        -2.05635        0.11209         8.00000        
-0.15825        -0.16926        0.01101         8.00000        
-0.23835        -0.24785        0.00950         8.00000        
-0.53290        -0.53762        0.00471         8.00000        
-0.83835        -0.78777        0.05059         8.00000        
-1.59263        -1.61447        0.02184         8.00000        
-0.06984        -0.12650        0.05666         8.00000        
-0.14293        -0.15528        0.01234         8.00000        
-0.35832        -0.34706        0.01126         8.00000        
-0.62062        -0.57269        0.04793         8.00000        
-1.54129        -1.59887        0.05758         8.00000        
-0.03492        -0.09787        0.06295         8.00000        
-0.10770        -0.11567        0.00797         8.00000        
-0.28097        -0.25759        0.02338         8.00000        
-0.49328        -0.44546        0.04782         8.00000        
-1.30929        -1.43400        0.12471         8.00000        
-0.03492        -0.07472        0.03980         8.00000        
-0.09335        -0.09246        0.00089         8.00000        
-0.24774        -0.21877        0.02897         8.00000        
-0.42731        -0.37949        0.04781         8.00000        
-0.89010        -1.05842        0.16831         8.00000        
-0.03492        -0.05514        0.02022         8.00000        
-0.09042        -0.07382        0.01660         8.00000        
-0.23319        -0.19763        0.03556         8.00000        
-0.39384        -0.34543        0.04841         8.00000        
-0.59552        -0.53698        0.05854         8.00000        
-0.03492        -0.03912        0.00420         8.00000        
-0.09042        -0.05902        0.03140         8.00000        
-0.22775        -0.18394        0.04381         8.00000        
-0.37478        -0.32895        0.04582         8.00000        
-0.44196        -0.37401        0.06795         8.00000        
# MSE = 2.10762E-02
# Maxerror = 4.89413E-01
