# Reference      Predicted      Error          
103.43713       103.44280       0.00567        
41.98446        41.98396        0.00050        
-57.56792       -57.57806       0.01015        
41.98446        41.98396        0.00050        
-19.81099       -19.81221       0.00122        
-119.34540      -119.35547      0.01007        
-57.56792       -57.57806       0.01015        
-119.34540      -119.35547      0.01007        
-218.51557      -218.54424      0.02868        
123.23222       123.23132       0.00091        
61.78068        61.77504        0.00564        
0.00000         0.00000         0.00000        
61.78068        61.77504        0.00564        
0.00000         0.00000         0.00000        
-61.78068       -61.77504       0.00564        
0.00000         0.00000         0.00000        
-61.78068       -61.77504       0.00564        
-123.23222      -123.23132      0.00091        
218.51557       218.54424       0.02868        
119.34540       119.35547       0.01007        
57.56792        57.57806        0.01015        
119.34540       119.35547       0.01007        
19.81099        19.81221        0.00122        
-41.98446       -41.98396       0.00050        
57.56792        57.57806        0.01015        
-41.98446       -41.98396       0.00050        
-103.43713      -103.44280      0.00567        
113.33591       113.30305       0.03286        
-8.91224        -8.92678        0.01454        
-60.16818       -60.16312       0.00506        
35.37454        35.35325        0.02130        
-11.51329       -11.51985       0.00656        
-88.56656       -88.55093       0.01563        
-66.87883       -66.86074       0.01809        
-89.79399       -89.75249       0.04150        
-213.48548      -213.48025      0.00523        
202.40463       202.40915       0.00452        
156.69816       156.73417       0.03602        
-58.41623       -58.45832       0.04209        
57.43910        57.43934        0.00024        
-6.90679        -6.91098        0.00419        
-54.81333       -54.83009       0.01676        
-15.86098       -15.83371       0.02726        
-104.04040      -104.07726      0.03686        
-73.44689       -73.43189       0.01501        
188.10134       188.11386       0.01253        
151.99854       152.02086       0.02232        
102.98934       102.98868       0.00065        
113.02114       113.02081       0.00033        
22.58567        22.59305        0.00738        
-77.93584       -77.96135       0.02551        
50.35264        50.33605        0.01659        
-143.96335      -143.99145      0.02811        
-119.59863      -119.56306      0.03557        
29.77268        29.77050        0.00218        
10.19228        10.18960        0.00267        
-16.92594       -16.92373       0.00221        
10.19228        10.18960        0.00267        
-9.50179        -9.50681        0.00502        
-36.61525       -36.61654       0.00129        
-16.92594       -16.92373       0.00221        
-36.61525       -36.61654       0.00129        
-63.60756       -63.60443       0.00313        
39.26496        39.26725        0.00229        
19.68812        19.69090        0.00278        
0.00000         0.00000         0.00000        
19.68812        19.69090        0.00278        
0.00000         0.00000         0.00000        
-19.68812       -19.69090       0.00278        
0.00000         0.00000         0.00000        
-19.68812       -19.69090       0.00278        
-39.26496       -39.26725       0.00229        
63.60756        63.60443        0.00313        
36.61525        36.61654        0.00129        
16.92594        16.92373        0.00221        
36.61525        36.61654        0.00129        
9.50179         9.50681         0.00502        
-10.19228       -10.18960       0.00267        
16.92594        16.92373        0.00221        
-10.19228       -10.18960       0.00267        
-29.77268       -29.77050       0.00218        
25.50113        25.52051        0.01938        
6.15407         6.15434         0.00027        
28.13444        28.13295        0.00150        
19.55990        19.56238        0.00249        
-10.06136       -10.06101       0.00035        
-29.96372       -29.96721       0.00348        
-30.39444       -30.39772       0.00328        
-30.04608       -30.02522       0.02086        
-107.90347      -107.89759      0.00588        
81.41838        81.42673        0.00835        
30.65687        30.64763        0.00924        
29.67718        29.66685        0.01033        
-2.59668        -2.59892        0.00224        
-3.43689        -3.43705        0.00016        
1.89409         1.88475         0.00934        
-40.12386       -40.11131       0.01255        
-17.37206       -17.35716       0.01490        
-18.17933       -18.19448       0.01515        
123.29195       123.31401       0.02205        
33.27911        33.27809        0.00101        
-23.34033       -23.35633       0.01601        
59.86737        59.86932        0.00195        
-2.19416        -2.19695        0.00279        
-44.08301       -44.08260       0.00041        
-46.40299       -46.41031       0.00732        
-4.91710        -4.92523        0.00814        
-28.41901       -28.43847       0.01946        
-16.39622       -16.38656       0.00966        
-9.56520        -9.55851        0.00669        
48.88544        48.90499        0.01956        
60.28418        60.27823        0.00595        
-6.27639        -6.27095        0.00544        
-18.78237       -18.79688       0.01452        
50.00134        49.99355        0.00779        
-14.23820       -14.24385       0.00565        
-134.49978      -134.52675      0.02698        
90.03808        90.03247        0.00561        
1.80926         1.81578         0.00653        
-17.33967       -17.34708       0.00740        
7.57979         7.57923         0.00056        
-36.68447       -36.67628       0.00818        
13.87227        13.85914        0.01313        
-71.18686       -71.18784       0.00099        
24.48342        24.45960        0.02382        
-32.72275       -32.71566       0.00710        
68.74367        68.74883        0.00516        
-33.59241       -33.57147       0.02094        
79.27443        79.26475        0.00968        
39.70443        39.71299        0.00856        
-12.23464       -12.24528       0.01064        
9.40954         9.41028         0.00074        
-75.17192       -75.14683       0.02509        
21.53991        21.54120        0.00130        
-36.93487       -36.92709       0.00778        
-10.04057       -10.01852       0.02205        
79.25848        79.23297        0.02551        
-129.38463      -129.41264      0.02801        
85.74338        85.77248        0.02910        
6.43804         6.42194         0.01610        
23.87564        23.85955        0.01609        
-159.12176      -159.16491      0.04315        
-431.08164      -431.58561      0.50396        
-44.02943       -44.05397       0.02454        
-105.96217      -105.93689      0.02528        
15.13390        15.14726        0.01336        
-30.77584       -30.76100       0.01484        
223.84505       223.79309       0.05196        
-5.43870        -5.43572        0.00298        
-109.14281      -109.15105      0.00824        
43.99715        43.96475        0.03240        
8.63449         8.63720         0.00271        
-57.46454       -57.44014       0.02440        
153.38109       153.40913       0.02805        
386.33317       386.84915       0.51598        
8.20952         8.20353         0.00598        
-10.39914       -10.38853       0.01061        
-10.74364       -10.73449       0.00915        
73.42870        73.47226        0.04356        
-82.27919       -82.27602       0.00317        
52.64496        52.65039        0.00543        
24.94050        24.94580        0.00530        
5.19446         5.18750         0.00696        
1.37237         1.37182         0.00054        
-2.93216        -2.93134        0.00081        
1.37237         1.37182         0.00054        
-2.46272        -2.46076        0.00196        
-6.76709        -6.76375        0.00335        
-2.93216        -2.93134        0.00081        
-6.76709        -6.76375        0.00335        
-11.05820       -11.04962       0.00859        
7.65627         7.64876         0.00751        
3.83460         3.83278         0.00182        
0.00000         0.00000         0.00000        
3.83460         3.83278         0.00182        
0.00000         0.00000         0.00000        
-3.83460        -3.83278        0.00182        
0.00000         0.00000         0.00000        
-3.83460        -3.83278        0.00182        
-7.65627        -7.64876        0.00751        
11.05820        11.04962        0.00859        
6.76709         6.76375         0.00335        
2.93216         2.93134         0.00081        
6.76709         6.76375         0.00335        
2.46272         2.46076         0.00196        
-1.37237        -1.37182        0.00054        
2.93216         2.93134         0.00081        
-1.37237        -1.37182        0.00054        
-5.19446        -5.18750        0.00696        
1.85230         1.83640         0.01590        
17.54637        17.53439        0.01197        
-17.61166       -17.61038       0.00127        
-8.78501        -8.78286        0.00215        
3.93658         3.92670         0.00988        
-0.19690        -0.20486        0.00796        
-7.90962        -7.90044        0.00918        
-8.18878        -8.16800        0.02079        
-0.87993        -0.88602        0.00610        
-5.00450        -4.99720        0.00730        
-8.68813        -8.67690        0.01123        
-5.07496        -5.08057        0.00560        
0.68568         0.68044         0.00524        
-5.83786        -5.83804        0.00018        
-16.98608       -16.98646       0.00038        
-10.61930       -10.61768       0.00162        
28.15939        28.16032        0.00093        
3.64588         3.64069         0.00519        
3.63349         3.64024         0.00676        
32.51526        32.51307        0.00219        
2.10692         2.10062         0.00630        
-5.09946        -5.09514        0.00431        
-5.56357        -5.55085        0.01271        
-2.95614        -2.96412        0.00798        
6.01024         6.01230         0.00206        
9.75224         9.75220         0.00004        
-0.44245        -0.43785        0.00460        
0.48991         0.50148         0.01157        
9.40399         9.40079         0.00321        
43.95676        43.94491        0.01185        
29.09112        29.08618        0.00494        
-3.08019        -3.07811        0.00208        
-38.47194       -38.46586       0.00608        
0.14389         0.16186         0.01797        
5.36422         5.36154         0.00268        
-17.29131       -17.29693       0.00561        
9.45865         9.45875         0.00011        
-7.23672        -7.23532        0.00139        
15.70010        15.68278        0.01732        
-24.13576       -24.12060       0.01516        
-27.31411       -27.29966       0.01446        
12.24456        12.23063        0.01393        
23.34211        23.32653        0.01557        
8.47719         8.47845         0.00126        
11.53151        11.52753        0.00398        
50.32791        50.30962        0.01829        
16.05565        16.05100        0.00466        
-33.49981       -33.46724       0.03256        
16.90990        16.89194        0.01796        
1.51126         1.49911         0.01214        
-47.18483       -47.19040       0.00557        
2.57181         2.58111         0.00929        
-28.47288       -28.45855       0.01433        
-29.89302       -29.88155       0.01147        
-7.38897        -7.39756        0.00859        
9.05142         9.03534         0.01608        
-8.91484        -8.90562        0.00921        
9.79592         9.78909         0.00683        
18.85281        18.83530        0.01750        
-15.11925       -15.09920       0.02005        
23.75856        23.73555        0.02301        
21.80663        21.80251        0.00412        
-50.91124       -50.88735       0.02389        
-29.90850       -29.88422       0.02428        
50.31035        50.30128        0.00907        
25.37446        25.39096        0.01651        
-3.04206        -3.04395        0.00189        
14.86861        14.86700        0.00161        
14.87975        14.86458        0.01518        
-32.84067       -32.82500       0.01568        
-8.84631        -8.84351        0.00280        
-7.12181        -7.12554        0.00373        
-61.31119       -61.33830       0.02711        
14.57851        14.56754        0.01097        
27.52821        27.51371        0.01450        
111.15750       111.18194       0.02443        
-15.71663       -15.70205       0.01458        
-5.80100        -5.78854        0.01246        
1.41610         1.41433         0.00178        
-105.39160      -105.39656      0.00496        
8.93524         8.93828         0.00304        
-2.97013        -2.96887        0.00126        
-0.54081        -0.54022        0.00060        
1.60123         1.60275         0.00153        
-0.54081        -0.54022        0.00060        
1.87702         1.87878         0.00177        
4.01892         4.02165         0.00272        
1.60123         1.60275         0.00153        
4.01892         4.02165         0.00272        
6.17210         6.17396         0.00187        
-4.84778        -4.84859        0.00081        
-2.41811        -2.41943        0.00132        
0.00000         0.00000         0.00000        
-2.41811        -2.41943        0.00132        
0.00000         0.00000         0.00000        
2.41811         2.41943         0.00132        
0.00000         0.00000         0.00000        
2.41811         2.41943         0.00132        
4.84778         4.84859         0.00081        
-6.17210        -6.17396        0.00187        
-4.01892        -4.02165        0.00272        
-1.60123        -1.60275        0.00153        
-4.01892        -4.02165        0.00272        
-1.87702        -1.87878        0.00177        
0.54081         0.54022         0.00060        
-1.60123        -1.60275        0.00153        
0.54081         0.54022         0.00060        
2.97013         2.96887         0.00126        
-4.46361        -4.45545        0.00816        
5.58953         5.59002         0.00049        
-0.28971        -0.28774        0.00196        
-15.16222       -15.15745       0.00477        
-1.62889        -1.62077        0.00812        
2.34498         2.33999         0.00499        
11.31482        11.31485        0.00003        
-4.83010        -4.82013        0.00997        
13.23901        13.22264        0.01637        
11.18513        11.18113        0.00400        
1.01084         1.01531         0.00447        
0.02709         0.02676         0.00033        
-0.03992        -0.05452        0.01460        
0.52969         0.52543         0.00426        
-2.01842        -2.00737        0.01105        
-0.29746        -0.30349        0.00604        
15.82847        15.83131        0.00285        
-0.04358        -0.04157        0.00201        
-10.74003       -10.72800       0.01203        
-0.30830        -0.31433        0.00603        
-7.13795        -7.12316        0.01479        
-4.96031        -4.95585        0.00446        
5.79031         5.78918         0.00113        
5.38784         5.37563         0.01220        
-8.70290        -8.70035        0.00255        
-14.71052       -14.71585       0.00532        
3.08621         3.07376         0.01244        
6.15320         6.16314         0.00993        
4.14700         4.13809         0.00891        
1.38620         1.37357         0.01263        
3.91618         3.90930         0.00687        
-0.15117        -0.15300        0.00182        
-24.53411       -24.51612       0.01799        
-2.55645        -2.55664        0.00019        
-12.01796       -12.01197       0.00599        
36.18399        36.17268        0.01131        
0.06584         0.08117         0.01532        
-4.08925        -4.10517        0.01592        
20.56718        20.56309        0.00409        
-8.47664        -8.45955        0.01709        
-10.20535       -10.20078       0.00456        
-5.05598        -5.06357        0.00759        
-8.48984        -8.49892        0.00908        
7.13820         7.13073         0.00748        
28.23303        28.23498        0.00195        
-15.12060       -15.12334       0.00274        
-5.79958        -5.79343        0.00615        
13.91667        13.91335        0.00333        
-2.50014        -2.51058        0.01043        
-4.17990        -4.17928        0.00061        
-22.38781       -22.37297       0.01484        
0.82950         0.82055         0.00895        
-5.65718        -5.63760        0.01958        
8.68494         8.68227         0.00267        
-74.72514       -74.72212       0.00302        
49.08330        49.05331        0.03000        
3.02208         3.03347         0.01139        
-31.99917       -32.00058       0.00141        
8.07129         8.07881         0.00752        
-14.92683       -14.91526       0.01157        
15.29229        15.27738        0.01491        
-32.32440       -32.31998       0.00442        
93.39699        93.36771        0.02928        
-29.49488       -29.48190       0.01297        
7.16496         7.17771         0.01275        
11.45872        11.44191        0.01681        
3.39078         3.41044         0.01967        
5.10101         5.09573         0.00528        
-30.67403       -30.67294       0.00109        
-7.60324        -7.60325        0.00001        
-50.44903       -50.41700       0.03203        
45.24900        45.25923        0.01024        
6.13166         6.14312         0.01147        
-26.86975       -26.88018       0.01043        
20.05216        20.05577        0.00362        
15.27943        15.27904        0.00039        
-9.64169        -9.67178        0.03009        
24.79040        24.80920        0.01880        
5.96778         5.94202         0.02576        
-17.11207       -17.10588       0.00620        
12.36840        12.36601        0.00238        
35.31742        35.32136        0.00393        
-29.47615       -29.46193       0.01422        
25.02933        25.02239        0.00694        
27.51065        27.49914        0.01151        
-34.57340       -34.58835       0.01495        
121.83184       121.83193       0.00010        
-57.73318       -57.72685       0.00632        
54.72026        54.73633        0.01607        
54.77264        54.77083        0.00182        
-856.81092      -856.62385      0.18707        
890.79315       890.62974       0.16341        
21.54186        21.54340        0.00154        
259.20392       259.23816       0.03423        
-220.17210      -220.16756      0.00454        
-17.80717       -17.82278       0.01561        
-42.91660       -42.94558       0.02898        
0.03195         -0.00026        0.03221        
170.58919       170.63179       0.04261        
-11.86175       -11.83276       0.02899        
-24.13402       -24.13797       0.00395        
29.37008        29.36559        0.00450        
35.26654        35.27835        0.01182        
16.09258        16.09046        0.00212        
-347.10814      -347.16053      0.05239        
-146.21213      -146.22520      0.01308        
64.18568        64.19367        0.00799        
-17.45156       -17.45952       0.00796        
-5.51174        -5.51433        0.00259        
-0.59023        -0.59289        0.00266        
2.74029         2.73831         0.00198        
-0.59023        -0.59289        0.00266        
4.24195         4.24106         0.00089        
7.56955         7.56911         0.00043        
2.74029         2.73831         0.00198        
7.56955         7.56911         0.00043        
10.98136        10.97873        0.00264        
-9.75708        -9.75431        0.00277        
-4.83325        -4.83299        0.00026        
0.00000         0.00000         0.00000        
-4.83325        -4.83299        0.00026        
0.00000         0.00000         0.00000        
4.83325         4.83299         0.00026        
0.00000         0.00000         0.00000        
4.83325         4.83299         0.00026        
9.75708         9.75431         0.00277        
-10.98136       -10.97873       0.00264        
-7.56955        -7.56911        0.00043        
-2.74029        -2.73831        0.00198        
-7.56955        -7.56911        0.00043        
-4.24195        -4.24106        0.00089        
0.59023         0.59289         0.00266        
-2.74029        -2.73831        0.00198        
0.59023         0.59289         0.00266        
5.51174         5.51433         0.00259        
-5.35223        -5.36793        0.01569        
-12.03633       -12.05308       0.01675        
4.47891         4.47382         0.00509        
-4.58741        -4.56427        0.02314        
29.55528        29.58996        0.03468        
9.55497         9.57058         0.01561        
8.84443         8.86316         0.01873        
-0.51079        -0.53864        0.02785        
13.88461        13.88900        0.00439        
-15.11221       -15.11840       0.00619        
-9.34117        -9.36205        0.02088        
-0.10704        -0.12704        0.01999        
-16.21480       -16.23743       0.02263        
14.15960        14.17804        0.01844        
-3.55795        -3.56687        0.00892        
-2.09042        -2.10452        0.01411        
14.09639        14.12630        0.02991        
15.17887        15.19189        0.01302        
-13.90067       -13.89606       0.00462        
-11.44721       -11.47795       0.03074        
-0.46473        -0.41558        0.04915        
1.51042         1.55132         0.04089        
-9.53556        -9.55479        0.01922        
-4.50000        -4.50724        0.00724        
-8.27914        -8.28096        0.00183        
4.10819         4.10109         0.00710        
1.66599         1.63763         0.02836        
-1.62525        -1.61072        0.01453        
1.93427         1.92983         0.00443        
5.42546         5.40222         0.02324        
2.72659         2.76034         0.03375        
0.23832         0.22695         0.01137        
-8.60974        -8.65101        0.04126        
-20.29576       -20.30371       0.00795        
23.98074        23.99891        0.01817        
10.94872        10.93513        0.01359        
-15.29464       -15.28778       0.00686        
-22.24129       -22.25969       0.01840        
26.47247        26.49675        0.02429        
4.67181         4.66969         0.00212        
24.47126        24.45372        0.01755        
5.30742         5.30860         0.00118        
-1.58515        -1.58070        0.00445        
3.46360         3.45874         0.00486        
23.38970        23.38815        0.00155        
-0.78111        -0.77075        0.01036        
-2.01460        -2.00287        0.01173        
-14.37634       -14.39312       0.01677        
-43.79177       -43.80082       0.00905        
11.62767        11.63934        0.01167        
17.53827        17.56776        0.02949        
2.61708         2.65393         0.03686        
-21.42942       -21.43201       0.00259        
-12.76829       -12.79689       0.02860        
-29.82406       -29.82809       0.00403        
12.19203        12.19212        0.00010        
-24.44333       -24.47715       0.03382        
9.10278         9.13082         0.02804        
13.23237        13.22577        0.00661        
65.38134        65.41889        0.03756        
-7.93853        -7.92819        0.01034        
-31.27212       -31.26629       0.00583        
31.44598        31.39768        0.04829        
-1.00687        -1.01197        0.00511        
-145.94765      -145.95104      0.00339        
97.41573        97.40830        0.00743        
-17.23937       -17.23173       0.00764        
-6.45860        -6.47081        0.01221        
