# Reference      Predicted      Error          #atoms         
-52.37790       -52.45544       0.07753         8.00000        
-50.25589       -50.34102       0.08513         8.00000        
-42.30747       -42.30409       0.00338         8.00000        
-58.19797       -58.08498       0.11299         8.00000        
-56.46936       -56.36789       0.10148         8.00000        
-50.12865       -50.01123       0.11743         8.00000        
-61.53540       -61.46862       0.06678         8.00000        
-60.09648       -60.02773       0.06875         8.00000        
-54.91944       -54.86519       0.05424         8.00000        
-43.61401       -43.45743       0.15658         8.00000        
-63.12404       -63.21823       0.09419         8.00000        
-61.89902       -61.98843       0.08941         8.00000        
-57.56891       -57.65981       0.09090         8.00000        
-48.01680       -48.02040       0.00360         8.00000        
-63.49033       -63.65338       0.16305         8.00000        
-62.42336       -62.57987       0.15650         8.00000        
-58.71272       -58.86044       0.14772         8.00000        
-50.43412       -50.53195       0.09782         8.00000        
-63.00995       -63.06574       0.05580         8.00000        
-62.05964       -62.11575       0.05610         8.00000        
-58.80691       -58.85602       0.04911         8.00000        
-51.45696       -51.45245       0.00451         8.00000        
-61.95181       -61.88531       0.06650         8.00000        
-61.08958       -61.02994       0.05964         8.00000        
-58.17834       -58.11284       0.06550         8.00000        
-51.50985       -51.38634       0.12351         8.00000        
-60.52106       -60.45099       0.07007         8.00000        
-59.72748       -59.66595       0.06153         8.00000        
-57.06682       -57.00447       0.06236         8.00000        
-50.89600       -50.78196       0.11404         8.00000        
-58.86842       -58.92971       0.06128         8.00000        
-58.11855       -58.16347       0.04492         8.00000        
-55.63612       -55.67611       0.03999         8.00000        
-49.82733       -49.82356       0.00377         8.00000        
-52.37790       -52.45544       0.07753         8.00000        
-50.25589       -50.34102       0.08513         8.00000        
-42.30747       -42.30409       0.00338         8.00000        
-58.19797       -58.08498       0.11299         8.00000        
-56.46936       -56.36789       0.10148         8.00000        
-50.12865       -50.01123       0.11743         8.00000        
-61.53540       -61.46862       0.06678         8.00000        
-60.09648       -60.02773       0.06875         8.00000        
-54.91944       -54.86519       0.05424         8.00000        
-43.61401       -43.45743       0.15658         8.00000        
-63.12404       -63.21823       0.09419         8.00000        
-61.89902       -61.98843       0.08941         8.00000        
