# Reference      Predicted      Error          
23.78107        23.76585        0.01522        
-13.59053       -13.63538       0.04485        
-13.59053       -13.63538       0.04485        
-50.94953       -50.99495       0.04542        
50.94953        50.99495        0.04542        
13.59053        13.63538        0.04485        
13.59053        13.63538        0.04485        
-23.78107       -23.76585       0.01522        
24.93993        24.86819        0.07174        
-28.26584       -28.25765       0.00819        
-17.00107       -17.12432       0.12326        
-60.10704       -60.34744       0.24040        
55.10985        54.82636        0.28349        
10.04351        10.09665        0.05314        
34.20732        34.49445        0.28712        
-18.92666       -18.55623       0.37043        
26.28871        26.08897        0.19975        
-44.72139       -44.50650       0.21489        
-21.01682       -21.19379       0.17698        
-92.96802       -91.47731       1.49071        
62.51983        63.03724        0.51741        
8.38189         8.28598         0.09591        
77.24985        76.34420        0.90565        
-15.73406       -16.57878       0.84472        
14.31804        14.30357        0.01447        
-8.18983        -8.16135        0.02848        
-8.18983        -8.16135        0.02848        
-30.69246       -30.58816       0.10430        
30.69246        30.58816        0.10430        
8.18983         8.16135         0.02848        
8.18983         8.16135         0.02848        
-14.31804       -14.30357       0.01447        
15.02420        14.94189        0.08231        
-20.14067       -20.07827       0.06239        
-11.39995       -11.52403       0.12408        
-36.69146       -36.33662       0.35485        
33.66989        33.73331        0.06343        
5.69868         5.81963         0.12095        
23.30104        23.01754        0.28351        
-9.46174        -9.57345        0.11171        
15.96505        15.91119        0.05387        
-33.57409       -33.52890       0.04520        
-15.55600       -15.31068       0.24532        
-58.14978       -59.87345       1.72367        
38.76705        38.44005        0.32700        
4.30663         4.06919         0.23743        
53.69222        55.48890        1.79669        
-5.45108        -5.19630        0.25477        
7.73950         7.79853         0.05903        
-4.41471        -4.43401        0.01930        
-4.41471        -4.43401        0.01930        
-16.56741       -16.61893       0.05152        
16.56741        16.61893        0.05152        
4.41471         4.43401         0.01930        
4.41471         4.43401         0.01930        
-7.73950        -7.79853        0.05903        
8.18233         8.19519         0.01286        
-14.21629       -14.33012       0.11382        
-7.39595        -7.42074        0.02479        
-20.35447       -20.39083       0.03637        
18.70652        18.75625        0.04973        
2.59512         2.58981         0.00531        
15.64820        15.73867        0.09047        
-3.16546        -3.13823        0.02723        
8.89158         8.83837         0.05322        
-25.24517       -25.04820       0.19697        
-11.56887       -11.42765       0.14122        
-33.89473       -34.32428       0.42955        
22.16768        22.28776        0.12009        
1.32468         1.15074         0.17394        
37.22899        37.43592        0.20692        
1.09585         1.08735         0.00850        
10.64677        10.58458        0.06220        
