# Reference      Predicted      Error          
15245.26615     15240.78281     4.48334        
15215.18838     15219.09893     3.91055        
14246.75475     14248.96504     2.21029        
18269.90518     18266.64301     3.26217        
5304.43208      5304.70658      0.27450        
5233.40533      5234.14502      0.73968        
5226.99747      5227.71488      0.71741        
5220.78284      5221.50012      0.71729        
5214.73755      5215.48976      0.75221        
5208.97941      5209.67710      0.69769        
5203.42425      5204.05487      0.63062        
5197.98119      5198.62221      0.64102        
5192.85287      5193.36535      0.51247        
5187.80988      5188.27831      0.46843        
5183.07905      5183.35646      0.27742        
5295.14969      5295.49982      0.35013        
5178.44644      5178.59468      0.14824        
5173.96070      5174.00158      0.04088        
5169.42079      5169.54344      0.12265        
5165.25942      5165.23066      0.02876        
5161.16509      5161.07169      0.09340        
5157.21952      5157.03490      0.18462        
5153.42676      5153.12966      0.29710        
5149.64155      5149.35293      0.28861        
5146.07814      5145.69976      0.37838        
5142.66636      5142.16633      0.50004        
5286.40486      5286.68382      0.27895        
5139.17661      5138.73813      0.43848        
5277.91459      5278.23802      0.32343        
5269.67718      5270.13944      0.46226        
5261.80108      5262.36694      0.56586        
5254.26316      5254.90027      0.63711        
5246.95423      5247.72077      0.76653        
5240.01454      5240.80866      0.79412        
5143.25559      5143.10669      0.14890        
5458.53283      5458.26053      0.27230        
5123.23207      5123.44843      0.21637        
5153.31241      5152.99770      0.31471        
5476.72063      5476.51430      0.20633        
5099.09953      5101.36867      2.26914        
5204.60364      5204.31818      0.28546        
5216.59675      5216.28743      0.30932        
5276.36557      5275.70731      0.65826        
5213.95160      5213.35794      0.59366        
5129.25095      5129.42855      0.17760        
5213.94762      5213.58293      0.36469        
5165.26457      5164.50581      0.75876        
5218.36509      5217.75732      0.60777        
5137.91870      5138.05712      0.13843        
5109.66096      5110.95384      1.29288        
5239.06630      5238.19439      0.87191        
5312.83968      5312.42898      0.41070        
5176.94446      5176.02136      0.92311        
5214.81434      5214.19268      0.62165        
5184.92654      5184.19153      0.73501        
5202.89741      5202.48123      0.41618        
5410.28735      5411.14392      0.85657        
5096.31446      5098.87277      2.55831        
5185.38777      5184.70522      0.68255        
5476.31915      5476.48602      0.16688        
5228.20853      5227.73981      0.46873        
5187.12717      5186.42351      0.70366        
5108.69992      5110.22413      1.52421        
5188.63137      5188.00180      0.62958        
191.22381       191.59057       0.36675        
190.65548       191.07133       0.41585        
190.13442       190.59365       0.45923        
189.65926       190.15470       0.49544        
189.22154       189.75231       0.53076        
188.82129       189.38425       0.56296        
188.45163       189.04836       0.59673        
188.11116       188.74254       0.63138        
187.79439       188.46471       0.67032        
187.50071       188.21278       0.71206        
187.22647       187.98465       0.75817        
# MSE = 1.13640E+00
# Maxerror = 4.48334E+00
