# Reference      Predicted      Error          #atoms         
7.69888         7.69886         0.00002         4.00000        
7.23731         7.23739         0.00008         4.00000        
6.80248         6.80241         0.00007         4.00000        
6.39304         6.39306         0.00002         4.00000        
6.00786         6.00757         0.00029         4.00000        
5.64428         5.64443         0.00015         4.00000        
5.30162         5.30212         0.00050         4.00000        
4.97922         4.97919         0.00003         4.00000        
4.67487         4.67468         0.00019         4.00000        
4.38838         4.38785         0.00053         4.00000        
4.11818         4.11798         0.00020         4.00000        
3.86454         3.86440         0.00014         4.00000        
3.62492         3.62612         0.00120         4.00000        
3.39967         3.40003         0.00036         4.00000        
3.18666         3.18633         0.00033         4.00000        
2.98675         2.98596         0.00079         4.00000        
2.79830         2.79792         0.00038         4.00000        
2.62087         2.62114         0.00027         4.00000        
2.45426         2.45459         0.00033         4.00000        
2.29729         2.29751         0.00022         4.00000        
2.14938         2.14949         0.00011         4.00000        
2.01020         2.01014         0.00006         4.00000        
1.87926         1.87908         0.00018         4.00000        
1.75598         1.75586         0.00012         4.00000        
1.64018         1.63999         0.00019         4.00000        
1.53085         1.53097         0.00012         4.00000        
1.42833         1.42839         0.00006         4.00000        
1.33192         1.33206         0.00014         4.00000        
1.24126         1.24154         0.00028         4.00000        
1.15586         1.15571         0.00015         4.00000        
1.07540         1.07517         0.00023         4.00000        
1.00013         0.99984         0.00029         4.00000        
0.92890         0.92911         0.00021         4.00000        
0.86239         0.86243         0.00004         4.00000        
0.79925         0.79948         0.00023         4.00000        
0.74018         0.74016         0.00002         4.00000        
0.68456         0.68439         0.00017         4.00000        
0.63204         0.63209         0.00005         4.00000        
0.58311         0.58305         0.00006         4.00000        
0.53715         0.53704         0.00011         4.00000        
0.49374         0.49383         0.00009         4.00000        
0.45294         0.45319         0.00025         4.00000        
0.41447         0.41495         0.00048         4.00000        
0.37897         0.37896         0.00001         4.00000        
0.34504         0.34503         0.00001         4.00000        
0.31332         0.31308         0.00024         4.00000        
0.28368         0.28309         0.00059         4.00000        
0.25601         0.25507         0.00094         4.00000        
0.22971         0.22902         0.00069         4.00000        
0.20498         0.20493         0.00005         4.00000        
0.18199         0.18279         0.00080         4.00000        
0.16033         0.16201         0.00168         4.00000        
0.14022         0.14111         0.00089         4.00000        
0.12125         0.12103         0.00022         4.00000        
0.10313         0.10263         0.00050         4.00000        
0.08630         0.08577         0.00053         4.00000        
0.07079         0.07028         0.00051         4.00000        
0.05618         0.05601         0.00017         4.00000        
0.04285         0.04278         0.00007         4.00000        
0.03025         0.03040         0.00015         4.00000        
0.01841         0.01879         0.00038         4.00000        
0.00787         0.00792         0.00005         4.00000        
-0.00231        -0.00221        0.00010         4.00000        
-0.01159        -0.01161        0.00002         4.00000        
-0.02020        -0.02031        0.00011         4.00000        
-0.02846        -0.02834        0.00012         4.00000        
-0.03566        -0.03575        0.00009         4.00000        
-0.04239        -0.04256        0.00017         4.00000        
-0.04868        -0.04884        0.00016         4.00000        
-0.05461        -0.05461        0.00000         4.00000        
-0.05993        -0.05992        0.00001         4.00000        
-0.06492        -0.06482        0.00010         4.00000        
-0.06930        -0.06930        0.00000         4.00000        
-0.07346        -0.07336        0.00010         4.00000        
-0.07706        -0.07701        0.00005         4.00000        
-0.08034        -0.08026        0.00008         4.00000        
-0.08332        -0.08316        0.00016         4.00000        
-0.08576        -0.08576        0.00000         4.00000        
-0.08802        -0.08809        0.00007         4.00000        
-0.09018        -0.09019        0.00001         4.00000        
-0.09198        -0.09205        0.00007         4.00000        
-0.09349        -0.09369        0.00020         4.00000        
-0.09485        -0.09511        0.00026         4.00000        
-0.09637        -0.09632        0.00005         4.00000        
-0.09730        -0.09730        0.00000         4.00000        
-0.09816        -0.09807        0.00009         4.00000        
-0.09846        -0.09862        0.00016         4.00000        
-0.09889        -0.09895        0.00006         4.00000        
-0.09917        -0.09907        0.00010         4.00000        
-0.09923        -0.09900        0.00023         4.00000        
-0.09940        -0.09892        0.00048         4.00000        
-0.09916        -0.09903        0.00013         4.00000        
-0.09899        -0.09903        0.00004         4.00000        
-0.09862        -0.09882        0.00020         4.00000        
-0.09822        -0.09841        0.00019         4.00000        
-0.09752        -0.09783        0.00031         4.00000        
-0.09703        -0.09710        0.00007         4.00000        
-0.09629        -0.09624        0.00005         4.00000        
-0.09538        -0.09528        0.00010         4.00000        
-0.09454        -0.09425        0.00029         4.00000        
-0.09354        -0.09316        0.00038         4.00000        
-0.09242        -0.09204        0.00038         4.00000        
-0.09135        -0.09090        0.00045         4.00000        
-0.09033        -0.08975        0.00058         4.00000        
-0.08931        -0.08859        0.00072         4.00000        
-0.08812        -0.08744        0.00068         4.00000        
-0.08698        -0.08629        0.00069         4.00000        
-0.08587        -0.08513        0.00074         4.00000        
-0.08472        -0.08398        0.00074         4.00000        
-0.08361        -0.08283        0.00078         4.00000        
-0.08239        -0.08168        0.00071         4.00000        
-0.08117        -0.08053        0.00064         4.00000        
-0.08014        -0.07939        0.00075         4.00000        
-0.07874        -0.07824        0.00050         4.00000        
-0.07741        -0.07710        0.00031         4.00000        
-0.07620        -0.07595        0.00025         4.00000        
-0.07484        -0.07481        0.00003         4.00000        
-0.07359        -0.07367        0.00008         4.00000        
-0.07245        -0.07253        0.00008         4.00000        
-0.07118        -0.07139        0.00021         4.00000        
-0.06992        -0.07025        0.00033         4.00000        
-0.06930        -0.06912        0.00018         4.00000        
-0.06795        -0.06798        0.00003         4.00000        
-0.06662        -0.06685        0.00023         4.00000        
-0.06547        -0.06571        0.00024         4.00000        
-0.06414        -0.06458        0.00044         4.00000        
-0.06276        -0.06345        0.00069         4.00000        
-0.06146        -0.06232        0.00086         4.00000        
-0.06023        -0.06119        0.00096         4.00000        
-0.05894        -0.06006        0.00112         4.00000        
-0.05769        -0.05894        0.00125         4.00000        
-0.05644        -0.05781        0.00137         4.00000        
-0.05520        -0.05669        0.00149         4.00000        
-0.05403        -0.05556        0.00153         4.00000        
-0.05293        -0.05444        0.00151         4.00000        
-0.05173        -0.05332        0.00159         4.00000        
-0.05060        -0.05220        0.00160         4.00000        
-0.04948        -0.05108        0.00160         4.00000        
-0.04839        -0.04997        0.00158         4.00000        
-0.04731        -0.04885        0.00154         4.00000        
-0.04642        -0.04773        0.00131         4.00000        
-0.04509        -0.04662        0.00153         4.00000        
-0.04404        -0.04551        0.00147         4.00000        
-0.04300        -0.04440        0.00140         4.00000        
-0.04185        -0.04328        0.00143         4.00000        
-0.04085        -0.04217        0.00132         4.00000        
-0.03975        -0.04107        0.00132         4.00000        
-0.03882        -0.03996        0.00114         4.00000        
-0.03786        -0.03885        0.00099         4.00000        
-0.03765        -0.03775        0.00010         4.00000        
-0.03654        -0.03664        0.00010         4.00000        
-0.03561        -0.03554        0.00007         4.00000        
-0.03464        -0.03444        0.00020         4.00000        
-0.03371        -0.03334        0.00037         4.00000        
-0.03270        -0.03224        0.00046         4.00000        
-0.03170        -0.03114        0.00056         4.00000        
-0.03071        -0.03004        0.00067         4.00000        
-0.02981        -0.02895        0.00086         4.00000        
-0.02900        -0.02785        0.00115         4.00000        
