# Reference      Predicted      Error          
-4.22426        -4.22421        0.00005        
-5.29666        -5.29689        0.00023        
-6.20910        -6.20891        0.00020        
-6.98075        -6.98046        0.00029        
-7.62846        -7.62879        0.00033        
-8.16702        -8.16731        0.00029        
-8.60946        -8.60917        0.00029        
-8.96757        -8.96734        0.00023        
-9.25200        -9.25222        0.00023        
-9.47206        -9.47222        0.00016        
-9.63591        -9.63568        0.00024        
-9.75076        -9.75069        0.00007        
-9.82316        -9.82337        0.00021        
-9.85890        -9.85898        0.00008        
-9.86297        -9.86276        0.00021        
-9.83967        -9.83960        0.00007        
-9.79280        -9.79294        0.00014        
-9.72579        -9.72588        0.00009        
-9.64156        -9.64151        0.00005        
-9.54259        -9.54256        0.00002        
-9.43101        -9.43100        0.00001        
-9.30873        -9.30865        0.00008        
-9.17745        -9.17737        0.00008        
-9.03860        -9.03865        0.00005        
-8.89342        -8.89356        0.00014        
-8.74300        -8.74313        0.00014        
-8.58836        -8.58841        0.00004        
-8.43041        -8.43030        0.00011        
-8.26990        -8.26964        0.00027        
-8.10752        -8.10726        0.00027        
-7.94390        -7.94393        0.00004        
-7.77962        -7.78004        0.00041        
-7.61520        -7.61576        0.00055        
-7.45108        -7.45128        0.00020        
-7.28761        -7.28688        0.00074        
-7.12519        -7.12316        0.00203        
-6.96413        -6.96083        0.00330        
-6.80471        -6.80057        0.00413        
-6.64712        -6.64290        0.00423        
-6.49158        -6.48785        0.00372        
-6.33827        -6.33544        0.00283        
-6.18734        -6.18567        0.00167        
-6.03891        -6.03853        0.00037        
-5.89304        -5.89403        0.00099        
-5.74985        -5.75216        0.00231        
-5.60940        -5.61293        0.00353        
-5.47175        -5.47633        0.00458        
-5.33693        -5.34237        0.00544        
-5.20494        -5.21105        0.00610        
-5.07584        -5.08236        0.00651        
-4.94964        -4.95630        0.00666        
-4.82635        -4.83288        0.00653        
-4.70594        -4.71210        0.00615        
-4.58842        -4.59395        0.00552        
-4.47380        -4.47843        0.00464        
-4.36205        -4.36555        0.00351        
-4.25316        -4.25531        0.00215        
-4.14709        -4.14770        0.00062        
-4.04381        -4.04273        0.00108        
-3.94333        -3.94039        0.00293        
-3.84558        -3.84069        0.00489        
-3.75054        -3.74362        0.00691        
-3.65813        -3.64919        0.00894        
-3.56834        -3.55740        0.01095        
-3.48113        -3.46824        0.01289        
-3.39644        -3.38171        0.01472        
-3.31419        -3.29782        0.01637        
-3.23434        -3.21657        0.01777        
-3.15686        -3.13877        0.01809        
-3.08167        -3.07131        0.01037        
-3.00873        -3.02378        0.01505        
-2.93795        -3.00580        0.06785        
# MSE = 9.62880E-05
# Maxerror = 6.78496E-02
