# Reference      Predicted      Error          #atoms         
-1.38948        -1.39230        0.00282         16.00000       
-1.52465        -1.52743        0.00278         16.00000       
-1.71431        -1.71710        0.00280         16.00000       
-1.95406        -1.95682        0.00276         16.00000       
-2.17830        -2.18087        0.00257         16.00000       
-2.08571        -2.08611        0.00040         16.00000       
-0.48602        -0.45127        0.03475         16.00000       
-1.00496        -1.00726        0.00229         16.00000       
-1.09645        -1.09870        0.00225         16.00000       
-1.22947        -1.23171        0.00223         16.00000       
-1.41346        -1.41566        0.00221         16.00000       
-1.64747        -1.64961        0.00215         16.00000       
-1.88089        -1.88300        0.00211         16.00000       
-1.87060        -1.87057        0.00003         16.00000       
-0.65416        -0.61839        0.03576         16.00000       
-0.74354        -0.74540        0.00186         16.00000       
-0.80472        -0.80652        0.00180         16.00000       
-0.89487        -0.89666        0.00178         16.00000       
-1.02311        -1.02487        0.00175         16.00000       
-1.19906        -1.20076        0.00170         16.00000       
-1.42444        -1.42621        0.00178         16.00000       
-1.66076        -1.66267        0.00191         16.00000       
-1.71318        -1.71274        0.00043         16.00000       
-0.56472        -0.56621        0.00149         16.00000       
-0.60558        -0.60702        0.00144         16.00000       
-0.66627        -0.66768        0.00141         16.00000       
-0.75338        -0.75476        0.00138         16.00000       
-0.87566        -0.87697        0.00131         16.00000       
-1.04276        -1.04414        0.00138         16.00000       
-1.25842        -1.26005        0.00162         16.00000       
-1.49450        -1.49612        0.00162         16.00000       
-0.44100        -0.44218        0.00118         16.00000       
-0.46830        -0.46943        0.00113         16.00000       
-0.50928        -0.51038        0.00110         16.00000       
-0.56832        -0.56940        0.00107         16.00000       
-0.65168        -0.65269        0.00100         16.00000       
-0.76771        -0.76877        0.00106         16.00000       
-0.92596        -0.92726        0.00130         16.00000       
-1.13217        -1.13359        0.00141         16.00000       
-0.35423        -0.35517        0.00094         16.00000       
-0.37244        -0.37332        0.00088         16.00000       
-0.40027        -0.40113        0.00086         16.00000       
-0.44057        -0.44139        0.00082         16.00000       
-0.49749        -0.49825        0.00076         16.00000       
-0.57692        -0.57773        0.00081         16.00000       
-0.68684        -0.68787        0.00104         16.00000       
-0.83706        -0.83818        0.00113         16.00000       
-0.29251        -0.29327        0.00076         16.00000       
-0.30456        -0.30525        0.00069         16.00000       
-0.32356        -0.32422        0.00067         16.00000       
-0.35134        -0.35197        0.00063         16.00000       
-0.39060        -0.39115        0.00055         16.00000       
-0.44526        -0.44585        0.00059         16.00000       
-0.52087        -0.52168        0.00081         16.00000       
-0.62544        -0.62635        0.00091         16.00000       
-0.24801        -0.24860        0.00059         16.00000       
-0.25581        -0.25635        0.00053         16.00000       
-0.26882        -0.26931        0.00049         16.00000       
-0.28818        -0.28862        0.00045         16.00000       
-0.31563        -0.31601        0.00038         16.00000       
-0.35373        -0.35416        0.00043         16.00000       
-0.40615        -0.40679        0.00064         16.00000       
-0.47859        -0.47932        0.00073         16.00000       
-0.21548        -0.21589        0.00040         16.00000       
-0.22034        -0.22071        0.00037         16.00000       
-0.22921        -0.22956        0.00035         16.00000       
-0.24284        -0.24314        0.00030         16.00000       
-0.26233        -0.26256        0.00023         16.00000       
-0.28933        -0.28961        0.00028         16.00000       
-0.32625        -0.32675        0.00049         16.00000       
-0.37701        -0.37759        0.00059         16.00000       
-0.19142        -0.19168        0.00026         16.00000       
-0.19419        -0.19443        0.00024         16.00000       
-0.20018        -0.20041        0.00022         16.00000       
-0.20985        -0.21003        0.00018         16.00000       
-0.22390        -0.22402        0.00011         16.00000       
-0.24341        -0.24358        0.00017         16.00000       
-0.26992        -0.27031        0.00039         16.00000       
-0.30616        -0.30663        0.00047         16.00000       
-0.17340        -0.17359        0.00019         16.00000       
-0.17468        -0.17484        0.00015         16.00000       
-0.17864        -0.17878        0.00014         16.00000       
-0.18554        -0.18563        0.00009         16.00000       
-0.19583        -0.19587        0.00005         16.00000       
-0.21020        -0.21028        0.00009         16.00000       
-0.22966        -0.22995        0.00029         16.00000       
-0.25614        -0.25651        0.00037         16.00000       
-0.15976        -0.15987        0.00012         16.00000       
-0.15996        -0.16006        0.00009         16.00000       
-0.16246        -0.16253        0.00007         16.00000       
-0.16739        -0.16742        0.00003         16.00000       
-0.17505        -0.17500        0.00005         16.00000       
-0.18585        -0.18585        0.00000         16.00000       
-0.20048        -0.20068        0.00021         16.00000       
-0.22033        -0.22062        0.00029         16.00000       
-0.14932        -0.14934        0.00001         16.00000       
-0.14874        -0.14874        0.00000         16.00000       
-0.15017        -0.15015        0.00002         16.00000       
-0.15370        -0.15364        0.00006         16.00000       
-0.15948        -0.15937        0.00011         16.00000       
-0.16778        -0.16773        0.00005         16.00000       
-0.17904        -0.17925        0.00021         16.00000       
-0.19434        -0.19467        0.00034         16.00000       
-0.14127        -0.14111        0.00016         16.00000       
-0.14009        -0.13996        0.00013         16.00000       
-0.14075        -0.14066        0.00010         16.00000       
-0.14326        -0.14318        0.00008         16.00000       
-0.14769        -0.14761        0.00007         16.00000       
-0.15421        -0.15427        0.00006         16.00000       
-0.16309        -0.16348        0.00038         16.00000       
-0.17542        -0.17582        0.00040         16.00000       
-0.13499        -0.13507        0.00008         16.00000       
-0.13337        -0.13338        0.00001         16.00000       
-0.13346        -0.13354        0.00008         16.00000       
-0.13521        -0.13538        0.00017         16.00000       
-0.13891        -0.13894        0.00003         16.00000       
-0.14447        -0.14441        0.00006         16.00000       
-0.15196        -0.15203        0.00008         16.00000       
-0.16210        -0.16222        0.00012         16.00000       
-0.13005        -0.13120        0.00115         16.00000       
-0.12843        -0.12898        0.00055         16.00000       
-0.12839        -0.12861        0.00022         16.00000       
-0.12986        -0.12992        0.00006         16.00000       
-0.13286        -0.13283        0.00002         16.00000       
-0.13740        -0.13743        0.00003         16.00000       
-0.14362        -0.14387        0.00025         16.00000       
-0.15212        -0.15245        0.00033         16.00000       
-0.13005        -0.12952        0.00053         16.00000       
-0.12689        -0.12676        0.00013         16.00000       
-0.12593        -0.12582        0.00011         16.00000       
-0.12671        -0.12652        0.00019         16.00000       
-0.12912        -0.12877        0.00035         16.00000       
-0.13293        -0.13258        0.00035         16.00000       
-0.13820        -0.13803        0.00016         16.00000       
-0.14549        -0.14538        0.00011         16.00000       
-0.13005        -0.12941        0.00064         16.00000       
-0.12689        -0.12624        0.00065         16.00000       
-0.12501        -0.12463        0.00037         16.00000       
-0.12505        -0.12464        0.00041         16.00000       
-0.12663        -0.12619        0.00044         16.00000       
-0.12947        -0.12931        0.00016         16.00000       
-0.13403        -0.13400        0.00003         16.00000       
-0.14043        -0.14039        0.00004         16.00000       
-0.13005        -0.12939        0.00066         16.00000       
