# Reference      Predicted      Error          
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
-0.01061        0.00000         0.01061        
-0.00095        0.00000         0.00095        
0.00000         0.00000         0.00000        
0.01156         0.00000         0.01156        
-0.00285        0.00000         0.00285        
0.00014         0.00000         0.00014        
0.00024         0.00000         0.00024        
0.00248         0.00000         0.00248        
0.00807         -0.00000        0.00807        
0.00059         -0.00000        0.00059        
-0.00024        -0.00000        0.00024        
-0.00842        -0.00000        0.00842        
-0.01295        -0.00000        0.01295        
-0.00073        -0.00000        0.00073        
0.00124         -0.00000        0.00124        
0.01244         -0.00000        0.01244        
-0.03046        0.00000         0.03046        
-0.00181        0.00000         0.00181        
0.00015         0.00000         0.00015        
0.03212         0.00000         0.03212        
-0.00499        0.00000         0.00499        
0.00024         0.00000         0.00024        
0.00050         0.00000         0.00050        
0.00425         0.00000         0.00425        
0.01929         -0.00000        0.01929        
0.00126         -0.00000        0.00126        
-0.00061        -0.00000        0.00061        
-0.01994        -0.00000        0.01994        
-0.02589        -0.00000        0.02589        
-0.00139        -0.00000        0.00139        
0.00251         -0.00000        0.00251        
0.02477         -0.00000        0.02477        
-0.05566        0.00000         0.05566        
-0.00259        0.00000         0.00259        
0.00040         0.00000         0.00040        
0.05786         0.00000         0.05786        
-0.00654        0.00000         0.00654        
0.00032         0.00000         0.00032        
0.00078         0.00000         0.00078        
0.00545         0.00000         0.00545        
0.03427         -0.00000        0.03427        
0.00202         0.00000         0.00202        
-0.00112        -0.00000        0.00112        
-0.03517        -0.00000        0.03517        
-0.03867        -0.00000        0.03867        
-0.00197        -0.00000        0.00197        
0.00381         -0.00000        0.00381        
0.03683         -0.00000        0.03683        
-0.03709        0.00001         0.03710        
-0.00330        0.00000         0.00330        
0.00072         0.00000         0.00072        
