# Reference      Predicted      Error          #atoms         
-1.38948        -1.39284        0.00336         16.00000       
-1.52465        -1.52824        0.00359         16.00000       
-1.71431        -1.71797        0.00366         16.00000       
-1.95406        -1.95743        0.00337         16.00000       
-2.17830        -2.18482        0.00652         16.00000       
-2.08571        -2.10585        0.02015         16.00000       
-0.48602        -0.35106        0.13495         16.00000       
-1.00496        -1.00805        0.00309         16.00000       
-1.09645        -1.09965        0.00320         16.00000       
-1.22947        -1.23325        0.00377         16.00000       
-1.41346        -1.41780        0.00434         16.00000       
-1.64747        -1.65240        0.00494         16.00000       
-1.88089        -1.88818        0.00729         16.00000       
-1.87060        -1.88465        0.01405         16.00000       
-0.74354        -0.74637        0.00283         16.00000       
-0.80472        -0.80770        0.00298         16.00000       
-0.89487        -0.89843        0.00355         16.00000       
-1.02311        -1.02652        0.00341         16.00000       
-1.19906        -1.20260        0.00354         16.00000       
-1.42444        -1.42839        0.00395         16.00000       
-1.66076        -1.66625        0.00549         16.00000       
-0.56472        -0.56857        0.00385         16.00000       
-0.60558        -0.60910        0.00352         16.00000       
-0.66627        -0.66913        0.00287         16.00000       
-0.75338        -0.75548        0.00211         16.00000       
-0.87566        -0.87764        0.00199         16.00000       
-1.04276        -1.04510        0.00234         16.00000       
-1.25842        -1.26091        0.00248         16.00000       
-0.44100        -0.44220        0.00121         16.00000       
-0.46830        -0.46963        0.00133         16.00000       
-0.50928        -0.51092        0.00164         16.00000       
-0.56832        -0.56967        0.00135         16.00000       
-0.65168        -0.65322        0.00154         16.00000       
-0.76771        -0.76905        0.00134         16.00000       
-0.92596        -0.92722        0.00126         16.00000       
-0.35423        -0.35527        0.00105         16.00000       
-0.37244        -0.37330        0.00086         16.00000       
-0.40027        -0.40120        0.00093         16.00000       
-0.44057        -0.44144        0.00087         16.00000       
-0.49749        -0.49878        0.00129         16.00000       
-0.57692        -0.57863        0.00171         16.00000       
-0.68684        -0.68830        0.00146         16.00000       
-0.29251        -0.29247        0.00004         16.00000       
-0.30456        -0.30474        0.00018         16.00000       
-0.32356        -0.32430        0.00075         16.00000       
-0.35134        -0.35206        0.00072         16.00000       
-0.39060        -0.39159        0.00099         16.00000       
-0.44526        -0.44650        0.00124         16.00000       
-0.52087        -0.52219        0.00132         16.00000       
-0.24801        -0.24820        0.00020         16.00000       
-0.25581        -0.25602        0.00020         16.00000       
-0.26882        -0.26915        0.00033         16.00000       
-0.28818        -0.28834        0.00016         16.00000       
-0.31563        -0.31617        0.00054         16.00000       
-0.35373        -0.35457        0.00084         16.00000       
-0.40615        -0.40694        0.00079         16.00000       
-0.21548        -0.21552        0.00004         16.00000       
-0.22034        -0.22041        0.00007         16.00000       
-0.22921        -0.22947        0.00025         16.00000       
-0.24284        -0.24289        0.00005         16.00000       
-0.26233        -0.26265        0.00032         16.00000       
-0.28933        -0.28991        0.00058         16.00000       
-0.32625        -0.32668        0.00043         16.00000       
-0.19142        -0.19133        0.00009         16.00000       
-0.19419        -0.19411        0.00008         16.00000       
-0.20018        -0.20030        0.00012         16.00000       
-0.20985        -0.20975        0.00010         16.00000       
-0.22390        -0.22404        0.00013         16.00000       
-0.24341        -0.24380        0.00039         16.00000       
-0.26992        -0.27025        0.00033         16.00000       
-0.17340        -0.17323        0.00017         16.00000       
-0.17468        -0.17449        0.00019         16.00000       
-0.17864        -0.17860        0.00004         16.00000       
-0.18554        -0.18531        0.00022         16.00000       
-0.19583        -0.19592        0.00009         16.00000       
-0.21020        -0.21057        0.00038         16.00000       
-0.22966        -0.22990        0.00024         16.00000       
-0.15976        -0.15957        0.00019         16.00000       
-0.15996        -0.15980        0.00016         16.00000       
-0.16246        -0.16241        0.00005         16.00000       
-0.16739        -0.16702        0.00037         16.00000       
