# Reference      Predicted      Error          
0.00000         0.00017         0.00017        
0.00000         -0.00068        0.00068        
0.00000         0.00158         0.00158        
0.00000         -0.00210        0.00210        
0.00000         0.00017         0.00017        
0.00000         -0.00068        0.00068        
0.00000         0.00158         0.00158        
0.00000         -0.00210        0.00210        
0.00000         -0.00017        0.00017        
0.00000         0.00068         0.00068        
0.00000         -0.00158        0.00158        
0.00000         0.00210         0.00210        
0.00000         -0.00017        0.00017        
0.00000         0.00068         0.00068        
0.00000         -0.00158        0.00158        
0.00000         0.00210         0.00210        
-0.01061        -0.00789        0.00272        
-0.00095        -0.00125        0.00030        
0.00000         0.00079         0.00079        
0.01156         0.01184         0.00028        
-0.00285        -0.00080        0.00205        
0.00014         -0.00048        0.00062        
0.00024         -0.00196        0.00220        
0.00248         -0.00019        0.00267        
0.00807         0.00522         0.00285        
0.00059         0.00051         0.00008        
-0.00024        -0.00092        0.00069        
-0.00842        -0.00905        0.00063        
-0.01295        -0.01370        0.00075        
-0.00073        0.00195         0.00268        
0.00124         0.00172         0.00048        
0.01244         0.01421         0.00177        
-0.03046        -0.02586        0.00460        
-0.00181        -0.00018        0.00163        
0.00015         -0.00066        0.00081        
0.03212         0.03297         0.00085        
-0.00499        -0.00021        0.00478        
0.00024         -0.00125        0.00150        
0.00050         -0.00005        0.00054        
0.00425         0.00151         0.00274        
0.01929         0.01373         0.00556        
0.00126         -0.00009        0.00134        
-0.00061        0.00062         0.00123        
-0.01994        -0.02223        0.00230        
-0.02589        -0.02749        0.00160        
-0.00139        -0.00058        0.00081        
0.00251         0.00413         0.00162        
0.02477         0.02564         0.00087        
-0.05566        -0.05463        0.00103        
-0.00259        -0.00382        0.00123        
0.00040         -0.00184        0.00224        
0.05786         0.05887         0.00101        
-0.00654        0.00143         0.00797        
0.00032         -0.00142        0.00174        
0.00078         0.00170         0.00092        
0.00545         0.00283         0.00262        
0.03427         0.02916         0.00511        
0.00202         0.00390         0.00188        
-0.00112        -0.00066        0.00046        
-0.03517        -0.03375        0.00142        
-0.03867        -0.04220        0.00353        
-0.00197        -0.00169        0.00028        
0.00381         0.00585         0.00204        
0.03683         0.03627         0.00057        
-0.03709        -0.04864        0.01154        
-0.00330        -0.00073        0.00256        
0.00072         -0.00019        0.00091        
0.03967         0.02674         0.01293        
-0.00761        0.00211         0.00972        
0.00035         -0.00061        0.00096        
0.00108         0.00262         0.00153        
0.00618         0.00437         0.00181        
0.05335         0.05793         0.00458        
0.00289         0.00386         0.00097        
-0.00177        -0.00367        0.00190        
-0.05447        -0.03889        0.01558        
-0.05118        -0.05607        0.00489        
-0.00247        -0.00273        0.00026        
0.00515         0.00681         0.00166        
0.04850         0.04709         0.00141        
0.30551         0.30161         0.00390        
-0.00394        -0.01045        0.00651        
0.00109         0.00207         0.00097        
-0.30266        -0.32613        0.02348        
-0.00831        0.00019         0.00849        
0.00034         0.00230         0.00196        
0.00142         0.00306         0.00164        
0.00655         0.00587         0.00068        
0.07612         0.09018         0.01405        
0.00387         0.00347         0.00040        
-0.00256        -0.00339        0.00084        
-0.07744        -0.06102        0.01642        
-0.06329        -0.06654        0.00325        
-0.00290        -0.00594        0.00304        
0.00655         0.00659         0.00004        
0.05963         0.05814         0.00149        
2.39113         2.39160         0.00046        
-0.00453        -0.00329        0.00124        
0.00150         0.00268         0.00117        
-2.38811        -2.39798        0.00987        
-0.00871        -0.00478        0.00392        
0.00028         0.00536         0.00508        
0.00180         -0.00021        0.00200        
0.00663         0.00607         0.00056        
0.10048         0.10603         0.00555        
0.00498         0.00437         0.00060        
-0.00349        -0.00366        0.00017        
-0.10196        -0.10271        0.00074        
-0.07488        -0.07342        0.00146        
-0.00325        -0.00554        0.00229        
0.00803         0.00600         0.00203        
0.07010         0.06947         0.00062        
0.00000         -0.00065        0.00065        
0.00000         -0.00064        0.00064        
0.00000         0.00014         0.00014        
0.00000         -0.00144        0.00144        
0.00000         -0.00065        0.00065        
0.00000         -0.00064        0.00064        
0.00000         0.00014         0.00014        
0.00000         -0.00144        0.00144        
0.00000         0.00065         0.00065        
0.00000         0.00064         0.00064        
0.00000         -0.00014        0.00014        
0.00000         0.00144         0.00144        
0.00000         0.00065         0.00065        
0.00000         0.00064         0.00064        
0.00000         -0.00014        0.00014        
0.00000         0.00144         0.00144        
-0.00663        -0.00826        0.00163        
-0.00095        -0.00323        0.00228        
0.00000         -0.00011        0.00012        
0.00757         0.00487         0.00270        
-0.00189        -0.00134        0.00055        
0.00014         -0.00100        0.00113        
0.00024         0.00044         0.00020        
0.00151         -0.00106        0.00257        
0.00506         0.00764         0.00258        
0.00059         0.00219         0.00160        
