# Reference      Predicted      Error          #atoms         
-4.22426        -4.22426        0.00000         2.00000        
-5.29666        -5.29666        0.00000         2.00000        
-6.20910        -6.20911        0.00000         2.00000        
-6.98075        -6.98075        0.00000         2.00000        
-8.96757        -8.96758        0.00001         2.00000        
-9.25200        -9.25199        0.00001         2.00000        
-9.47206        -9.47208        0.00002         2.00000        
-9.63591        -9.63590        0.00002         2.00000        
-9.75076        -9.75077        0.00001         2.00000        
-9.82316        -9.82315        0.00001         2.00000        
-9.85890        -9.85891        0.00001         2.00000        
-9.86297        -9.86296        0.00001         2.00000        
-9.83967        -9.83968        0.00001         2.00000        
-9.79280        -9.79280        0.00000         2.00000        
-9.72579        -9.72579        0.00000         2.00000        
-9.64156        -9.64156        0.00001         2.00000        
-9.54259        -9.54256        0.00002         2.00000        
-9.43101        -9.43106        0.00006         2.00000        
-9.30873        -9.30866        0.00007         2.00000        
-9.17745        -9.17707        0.00037         2.00000        
-9.03860        -9.03862        0.00002         2.00000        
-8.89342        -8.89427        0.00086         2.00000        
-7.94390        -7.93450        0.00939         2.00000        
-7.77962        -7.76816        0.01147         2.00000        
-7.61520        -7.60307        0.01214         2.00000        
-7.45108        -7.44005        0.01103         2.00000        
-7.28761        -7.27913        0.00848         2.00000        
-7.12519        -7.12032        0.00487         2.00000        
-6.96413        -6.96361        0.00052         2.00000        
-6.80471        -6.80901        0.00430         2.00000        
-6.64712        -6.65651        0.00939         2.00000        
-6.49158        -6.50611        0.01454         2.00000        
-6.33827        -6.35782        0.01955         2.00000        
-6.18734        -6.21164        0.02430         2.00000        
-6.03891        -6.06755        0.02865         2.00000        
-4.25316        -4.27134        0.01818         2.00000        
-4.14709        -4.15882        0.01173         2.00000        
-4.04381        -4.04840        0.00459         2.00000        
-3.94333        -3.94009        0.00323         2.00000        
-3.84558        -3.83388        0.01170         2.00000        
-3.75054        -3.72978        0.02075         2.00000        
-3.65813        -3.62778        0.03035         2.00000        
-3.56834        -3.52789        0.04046         2.00000        
-3.48113        -3.43033        0.05080         2.00000        
-3.39644        -3.34031        0.05612         2.00000        
-3.31419        -3.26298        0.05121         2.00000        
-3.23434        -3.19854        0.03580         2.00000        
-3.15686        -3.14701        0.00985         2.00000        
-3.08167        -3.10837        0.02670         2.00000        
-3.00873        -3.08264        0.07391         2.00000        
-2.93795        -3.06980        0.13185         2.00000        
# MSE = 7.76729E-04
# Maxerror = 1.31852E-01
