# Reference      Predicted      Error          #atoms         
-4.22426        -4.22426        0.00000         2.00000        
-5.29666        -5.29666        0.00000         2.00000        
-6.20910        -6.20910        0.00000         2.00000        
-6.98075        -6.98075        0.00000         2.00000        
-7.62846        -7.62846        0.00000         2.00000        
-8.16702        -8.16702        0.00000         2.00000        
-8.60946        -8.60946        0.00000         2.00000        
-8.96757        -8.96757        0.00000         2.00000        
-9.25200        -9.25200        0.00000         2.00000        
-9.47206        -9.47206        0.00000         2.00000        
-9.63591        -9.63591        0.00000         2.00000        
-9.75076        -9.75076        0.00000         2.00000        
-9.82316        -9.82316        0.00000         2.00000        
-9.85890        -9.85890        0.00000         2.00000        
-9.86297        -9.86297        0.00000         2.00000        
-9.83967        -9.83967        0.00000         2.00000        
-9.79280        -9.79280        0.00000         2.00000        
-9.72579        -9.72579        0.00000         2.00000        
-9.64156        -9.64156        0.00000         2.00000        
-9.54259        -9.54259        0.00000         2.00000        
-9.43101        -9.43101        0.00000         2.00000        
-9.30873        -9.30873        0.00000         2.00000        
-9.17745        -9.17745        0.00000         2.00000        
-9.03860        -9.03860        0.00001         2.00000        
-8.89342        -8.89341        0.00000         2.00000        
-7.94390        -7.94390        0.00001         2.00000        
-7.77962        -7.77962        0.00001         2.00000        
-7.61520        -7.61521        0.00000         2.00000        
-7.45108        -7.45107        0.00000         2.00000        
-7.28761        -7.28761        0.00000         2.00000        
-7.12519        -7.12519        0.00000         2.00000        
-6.96413        -6.96413        0.00001         2.00000        
-6.80471        -6.80470        0.00000         2.00000        
-6.64712        -6.64716        0.00003         2.00000        
-6.49158        -6.49157        0.00000         2.00000        
-6.33827        -6.33797        0.00030         2.00000        
-6.18734        -6.18667        0.00067         2.00000        
-6.03891        -6.03812        0.00079         2.00000        
-5.89304        -5.89238        0.00067         2.00000        
-5.74985        -5.74944        0.00041         2.00000        
-5.60940        -5.60931        0.00009         2.00000        
-5.47175        -5.47199        0.00024         2.00000        
-5.33693        -5.33748        0.00055         2.00000        
-5.20494        -5.20577        0.00083         2.00000        
-5.07584        -5.07687        0.00103         2.00000        
-4.94964        -4.95077        0.00113         2.00000        
-4.82635        -4.82749        0.00114         2.00000        
-4.70594        -4.70701        0.00106         2.00000        
-4.58842        -4.58933        0.00091         2.00000        
-4.47380        -4.47446        0.00067         2.00000        
-4.36205        -4.36240        0.00035         2.00000        
-4.25316        -4.25315        0.00001         2.00000        
-4.14709        -4.14670        0.00038         2.00000        
-4.04381        -4.04306        0.00075         2.00000        
-3.94333        -3.94223        0.00110         2.00000        
-3.84558        -3.84420        0.00138         2.00000        
-3.75054        -3.74898        0.00155         2.00000        
-3.65813        -3.65657        0.00156         2.00000        
-3.56834        -3.56696        0.00138         2.00000        
-3.48113        -3.48016        0.00096         2.00000        
-3.39644        -3.39617        0.00026         2.00000        
-3.31419        -3.31499        0.00080         2.00000        
-3.23434        -3.23618        0.00184         2.00000        
-3.15686        -3.15805        0.00119         2.00000        
-3.08167        -3.08190        0.00023         2.00000        
-3.00873        -3.00909        0.00036         2.00000        
-2.93795        -2.93788        0.00007         2.00000        
# MSE = 3.90293E-07
# Maxerror = 1.83855E-03
