# Reference      Predicted      Error          
-11.02388       -11.02926       0.00538        
-12.19559       -12.19061       0.00497        
-13.22443       -13.21697       0.00746        
-14.12371       -14.11749       0.00622        
-14.90429       -14.90131       0.00298        
-15.57742       -15.57760       0.00018        
-16.15373       -16.15547       0.00174        
-16.64147       -16.64322       0.00175        
-17.04891       -17.04820       0.00070        
-17.38338       -17.37770       0.00567        
-17.65215       -17.63901       0.01314        
-17.86108       -17.83942       0.02167        
-18.01608       -17.98621       0.02987        
-18.12184       -18.08668       0.03516        
-18.18313       -18.14810       0.03503        
-18.20424       -18.17615       0.02809        
-18.18948       -18.17286       0.01662        
-18.14202       -18.13963       0.00239        
-18.06546       -18.07786       0.01240        
-17.96286       -17.98894       0.02608        
-17.83670       -17.87429       0.03759        
-17.68861       -17.73530       0.04668        
-17.52206       -17.57336       0.05130        
-17.33871       -17.38970       0.05099        
-17.14084       -17.18465       0.04381        
-16.92996       -16.95821       0.02825        
-16.70757       -16.71038       0.00281        
-16.47513       -16.44116       0.03397        
-16.23381       -16.15056       0.08325        
-15.98498       -15.83855       0.14642        
-61.36543       -61.40660       0.04117        
# MSE = 1.57640E-03
# Maxerror = 1.46424E-01
